Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster,Solar,Wind
Land-Based Wind - Class 1 - Technology 1,1,1.0,1,0,70489.17119788188,-1,0,83289.32916910951,32443.047267129303,0.1,0.0,0.0,0,0,ERCOT,0,0,1
Utility PV - Class 1,1,1.0,1,0,48844.766464960754,-1,0,74134.16401510601,23765.60345636052,0.1,0.0,0.0,0,0,ERCOT,0,1,0
