Unnamed: 0,Resource,Model,New_Build,Can_Retire,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,SOLAR,WIND,Num_VRE_Bins,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Min,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster,LDS
1,Coal-new,,,,,,,,,,,,,,,,,,,,,,203928.14345611486,,,86500.0,,,9.3,,8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HTGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Land-Based Wind - Class 1 - Technology 1,,,,,,,,,,,,,,,,,,,,,,83289.32916910951,,,32443.047267129303,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Microreactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NG 2-on-1 Combined Cycle (F-Frame),,,,,,,,,,,,,,,,,,,,,,74962.65220579866,,,34500.0,,,2.17,,6.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NG 2-on-1 Combined Cycle (H-Frame) 95% CCS,,,,,,,,,,,,,,,,,,,,,,146208.93091514512,,,65800.0,,,4.86,,7.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NG Combined Cycle (F-Frame),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PBR-HTGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,RICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Utility PV - Class 1,,,,,,,,,,,,,,,,,,,,,,74134.16401510601,,,23765.60345636052,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Utility-Scale Battery Storage - 10Hr,,,,,,,,,,,,,,,,,,,,,,226602.9591379785,,,106807.289688,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Utility-Scale Battery Storage - 2Hr,,,,,,,,,,,,,,,,,,,,,,64517.56235760602,,,28621.570104,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Utility-Scale Battery Storage - 4Hr,,,,,,,,,,,,,,,,,,,,,,105038.91155269914,,,48168.00000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Utility-Scale Battery Storage - 6Hr,,,,,,,,,,,,,,,,,,,,,,145560.26074779226,,,67714.429896,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Utility-Scale Battery Storage - 8Hr,,,,,,,,,,,,,,,,,,,,,,186081.60994288538,,,87260.859792,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,iPWR_Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
