Zone,1,2,3,4,5,6,7,8,9,10,11
t1,31.73122222222223,31.73122222222223,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t2,31.731222222222215,31.731222222222215,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t3,31.73122222222222,31.73122222222222,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t4,31.731222222222215,31.731222222222215,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t5,31.731222222222218,31.731222222222218,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t6,31.731222222222218,31.731222222222218,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t7,31.731222222222218,31.731222222222218,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t8,31.731222222222218,31.731222222222218,6.940000000000001,6.940000000000001,6.940000000000001,6.940000000000001,6.940000000000001,6.940000000000001,6.940000000000005,6.940000000000005,6.94
t9,31.73122222222222,31.73122222222222,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.939999999999998,6.939999999999998,6.939999999999998,6.94
t10,31.73122222222221,31.73122222222221,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t11,31.731222222222218,31.731222222222218,6.940000000000001,6.940000000000001,6.940000000000001,6.940000000000001,6.940000000000001,6.940000000000001,6.940000000000001,6.940000000000001,6.940000000000001
t12,31.731222222222218,31.731222222222218,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995
t13,31.731222222222218,31.731222222222218,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t14,31.731222222222218,31.731222222222218,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t15,31.731222222222218,31.731222222222218,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t16,31.73122222222222,31.73122222222222,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t17,47.79,47.79,21.40033333333332,21.40033333333332,21.40033333333332,21.40033333333332,21.40033333333332,21.40033333333332,21.40033333333332,21.40033333333332,21.40033333333332
t18,47.79,47.79,47.79,47.79,47.79,47.79,47.79,47.79,47.79,47.79,47.79
t19,47.79,47.79,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218
t20,47.79,47.79,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218
t21,47.79,47.79,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218,31.731222222222218
t22,31.731222222222218,31.731222222222218,11.951902777777775,11.951902777777775,11.951902777777775,11.951902777777775,11.951902777777775,11.951902777777775,11.951902777777775,11.951902777777775,11.951902777777775
t23,31.731222222222218,31.731222222222218,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t24,31.731222222222218,31.731222222222218,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t25,31.731222222222218,31.731222222222218,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t26,31.73122222222222,31.73122222222222,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t27,31.731222222222218,31.731222222222218,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.9399999999999995,6.94
t28,31.73122222222222,31.73122222222222,6.940000000000001,6.940000000000001,6.940000000000001,6.940000000000001,6.940000000000001,6.939999999999998,6.939999999999998,6.939999999999998,6.94
t29,31.73122222222221,31.73122222222221,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
t30,31.731222222222225,31.731222222222225,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
