Zone,1,2,3,4,5,6,7,8,9,10,11,Total
AnnualSum,1.9139480824049679e6,324213.48290325806,3.890923402076955e6,1.5335710052918196e6,562956.7317111056,3.888402023026344e6,2.731510785419558e6,0.0,0.0,1.1688289921032425e7,1.978370634017059e6,2.851218606788349e7
t1,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,786.610504553285,0.0,1775.5355478583056
t2,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,315.7950674391828,0.0,1304.7201107442033
t3,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,0.0,0.0,988.9250433050206
t4,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,0.0,0.0,988.9250433050206
t5,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,0.0,0.0,988.9250433050206
t6,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,13.382263517124988,0.0,1002.3073068221456
t7,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,25.091744094609357,0.0,1014.01678739963
t8,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,39.95196629272945,0.0,1028.87700959775
t9,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,64.63112700183068,0.0,1053.5561703068513
t10,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,104.55511868728571,0.0,1093.4801619923064
t11,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,609.4365373588644,0.0,1598.361580663885
t12,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1055.9401303348643,0.0,2044.865173639885
t13,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,0.0,2222.0391408343057
t14,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,0.0,2222.0391408343057
t15,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,0.0,2222.0391408343057
t16,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,0.0,2222.0391408343057
t17,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,5.710058393664727,2227.7491992279706
t18,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1.449640006907339,0.0,0.0,0.0,1233.114097529285,115.07326120645665,2338.5620420476694
t19,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,23.622916673065816,0.0,0.0,0.0,1233.114097529285,211.39060130445665,2457.0526588118278
t20,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,59.70129182553352,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2519.8932058009714
t21,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,93.85362659505932,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2554.045540570497
t22,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,59.70129182553352,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2519.8932058009714
t23,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,39.03123973660093,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2499.2231537120388
t24,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,37.58159972969359,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2497.7735137051313
t25,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,15.408323063535118,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2475.6002370389733
t26,144.62647191347267,41.183706526774465,521.1972012898511,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t27,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t28,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t29,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t30,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t31,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,466.14933593235844,25.70009954696961,0.0,0.0,1233.114097529285,238.15277314113257,2952.041349454766
t32,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,874.0300048731721,127.07788616523783,0.0,0.0,1233.114097529285,238.15277314113257,3461.2998050138476
t33,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,990.3926070910259,173.0561197353159,0.0,0.0,1233.114097529285,238.15277314113257,3623.64064080178
t34,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1072.129983485401,273.73789889007577,0.0,0.0,1233.114097529285,238.15277314113257,3806.0597963509153
t35,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1120.8920343645846,486.3121876719838,0.0,0.0,1233.114097529285,238.15277314113257,4067.3961360120065
t36,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1120.8920343645846,545.749472138071,0.0,0.0,1233.114097529285,238.15277314113257,4126.833420478093
t37,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1120.8920343645846,594.1690916617628,0.0,0.0,1233.114097529285,238.15277314113257,4175.253040001785
t38,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1197.103643277896,594.1690916617628,0.0,0.0,1233.114097529285,238.15277314113257,4251.464648915096
t39,150.0554505374585,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1197.103643277896,639.3580339880563,0.0,0.0,1233.114097529285,238.15277314113257,4302.082569865376
t40,207.09162342769721,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1197.103643277896,639.3580339880563,0.0,0.0,1320.750494302385,238.15277314113257,4446.755139528715
t41,356.6561550485232,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1197.103643277896,639.3580339880563,0.0,0.0,1506.123772298316,238.15277314113257,4781.692949145472
t42,497.44453975221444,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1197.103643277896,639.3580339880563,0.0,0.0,1674.582528345864,238.15277314113257,5090.9400898967115
t43,406.8299577536183,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1197.103643277896,639.3580339880563,0.0,0.0,1544.621232031651,238.15277314113257,4870.364211583902
t44,191.62703462592765,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1197.103643277896,639.3580339880563,0.0,0.0,1290.4677087078314,238.15277314113257,4401.007765132392
t45,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,784.6544354936769,606.9824553092228,0.0,0.0,1233.114097529285,238.15277314113257,3851.828804778337
t46,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,327.7836664384879,448.0620738584129,0.0,0.0,1233.114097529285,238.15277314113257,3236.037654272339
t47,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,223.79671651783923,0.0,0.0,1233.114097529285,238.15277314113257,2683.988630493277
t48,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t49,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t50,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t51,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
