Time_Index,Combined_Cycle_Natural_Gas_A,Combined_Cycle_Natural_Gas_B,Combined_Cycle_Natural_Gas_C,Combined_Cycle_Natural_Gas_D,Combined_Cycle_Natural_Gas_E,Combined_Cycle_Natural_Gas_F,Combined_Cycle_Natural_Gas_G,Combined_Cycle_Natural_Gas_J,Combined_Cycle_Natural_Gas_K,Combustion_Turbine_Fuel_Oil_2_K,Combustion_Turbine_Natural_Gas_A,Combustion_Turbine_Natural_Gas_J,Combustion_Turbine_Natural_Gas_K,Jet_Engine_Fuel_Oil_2_K,Jet_Engine_Kerosene_J,Jet_Engine_Kerosene_K,Jet_Engine_Natural_Gas_G,Jet_Engine_Natural_Gas_K,Steam_Turbine_Coal_A,Steam_Turbine_Coal_C,Steam_Turbine_Fuel_Oil_2_J,Steam_Turbine_Fuel_Oil_6_C,Steam_Turbine_Fuel_Oil_6_G,Steam_Turbine_Fuel_Oil_6_J,Steam_Turbine_Fuel_Oil_6_K,Steam_Turbine_Natural_Gas_C,Steam_Turbine_Natural_Gas_G,Steam_Turbine_Natural_Gas_J,Steam_Turbine_Natural_Gas_K
15,0.0,0.0,0.035780134723160335,0.0,0.0,0.07535077082972458,0.5844155844155844,0.5375321967373973,0.30998730427422766,0.0,0.0,0.0,0.05052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005473453749315818,0.0,0.0,0.0,0.06768423233648732,0.1101871101871102
16,0.0,0.0,0.03943116887858486,0.0,0.0,0.08470465962238005,0.577922077922078,0.5396786458972158,0.3575962759204401,0.0,0.0,0.0,0.05052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06768423233648732,0.11746361746361747
17,0.0,0.0,0.04965406451377353,0.0,0.0,0.09457820890351637,0.6467532467532467,0.5556236967987245,0.4506982649174778,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837488776849229,0.1314968814968815
18,0.0,0.0,0.0890852333923584,0.0,0.0,0.10497141867313356,0.7584415584415585,0.5918066969213787,0.4760897164621244,0.0,0.0,0.0,0.10947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837488776849229,0.17671517671517672
19,0.0,0.0,0.0982128187809197,0.0,0.0,0.12315953576996362,0.7610389610389611,0.6482276462651785,0.4866694879390605,0.0,0.0,0.0,0.05052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837488776849229,0.19698544698544698
20,0.0,0.0,0.09748261194983479,0.0,0.0,0.11397886714013511,0.7636363636363637,0.5988593155893537,0.4887854422344477,0.0,0.0,0.0,0.05052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06768423233648732,0.1865904365904366
21,0.0,0.0,0.101681301228573,0.0,0.0,0.11311276632600034,0.7636363636363637,0.5902735189500797,0.4887854422344477,0.0,0.0,0.0,0.05052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837488776849229,0.16735966735966737
22,0.0,0.0,0.0828784753281367,0.0,0.0,0.09509786939199723,0.712987012987013,0.587207163007482,0.42742276766821835,0.0,0.0,0.0,0.04912280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837488776849229,0.13877338877338877
23,0.0,0.0,0.06298033918107304,0.0,0.0,0.023384721981638663,0.6610389610389611,0.543664908622593,0.32268303004655097,0.0,0.0,0.0,0.04912280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837488776849229,0.1288981288981289
24,0.0,0.0,0.030486135197794778,0.0,0.0,0.0199203187250996,0.5753246753246753,0.49674966270084636,0.30892932712653404,0.0,0.0,0.0,0.04912280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06768423233648732,0.10706860706860707
25,0.0,0.0,0.02409682542580186,0.0,0.0,0.020093538887926556,0.577922077922078,0.4823377897706366,0.3110452814219213,0.0,0.0,0.0,0.047719298245614036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837488776849229,0.11642411642411643
26,0.0,0.0,0.024827032256886764,0.0,0.0,0.01974709856227265,0.6077922077922078,0.48356433214767575,0.3131612357173085,0.0,0.0,0.0,0.047719298245614036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06768423233648732,0.11590436590436591
27,0.0,0.0,0.021541101517004693,0.0,0.0,0.0199203187250996,0.5792207792207792,0.4841776033361953,0.3152771900126957,0.0,0.0,0.0,0.04350877192982456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06768423233648732,0.11590436590436591
28,0.014724204326650808,0.0,0.034502272768761756,0.0,0.0,0.020093538887926556,0.577922077922078,0.4903103152213909,0.3247989843419382,0.0,0.0,0.0,0.04350877192982456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837488776849229,0.11642411642411643
29,0.0419073507758523,0.0,0.046003030358349004,0.0,0.0,0.020266759050753508,0.577922077922078,0.5133079847908746,0.37029200169276344,0.0,0.0,0.0,0.04350877192982456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837488776849229,0.11642411642411643
30,0.12119152791935665,0.0,0.09364902608663905,0.0,0.0,0.0225186211675039,0.6064935064935065,0.5427450018398136,0.4739737621667372,0.0,0.0,0.0,0.04491228070175438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837488776849229,0.11642411642411643
31,0.18348623853211007,0.0,0.15005750378794794,0.0,0.0,0.06357179975749178,0.6974025974025974,0.6010057647491721,0.496191282268303,0.0,0.0,0.0,0.05052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06768423233648732,0.11746361746361747
32,0.200475705062861,0.0,0.18547253509556583,0.0,0.0,0.11657716958253941,0.7714285714285715,0.6721452226174415,0.5131189166314007,0.0,0.5285412262156448,0.0,0.051929824561403506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837488776849229,0.14864864864864866
33,0.200475705062861,0.0,0.19259205169864366,0.0,0.0,0.13078122293434954,0.7714285714285715,0.7346988838464369,0.5162928480744816,0.0,0.7822410147991544,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06768423233648732,0.14916839916839916
