localdatetime,datetime_issue,CENTRAL,GENESE,MHKVL,NORTH,WEST
2019-01-02T19:00:00.0,2019-01-01T00:00:00.0,23.04053111,0.098201963,91.0842379,88.44101619,11.32588195
2019-01-02T20:00:00.0,2019-01-01T00:00:00.0,29.1701956,0.078294119,146.1913991,120.3206293,14.93309567
2019-01-02T21:00:00.0,2019-01-01T00:00:00.0,33.82053212,0.035933334,184.8849795,113.2134878,23.60067808
2019-01-02T22:00:00.0,2019-01-01T00:00:00.0,37.27573616,0.032482353,226.2745985,113.510824,36.17695729
2019-01-02T23:00:00.0,2019-01-01T00:00:00.0,39.93863742,0.034703922,257.1615975,129.7700811,55.78115395
2019-01-03T00:00:00.0,2019-01-01T00:00:00.0,45.9639519,0.029850981,259.7392154,151.7680068,92.56117948
2019-01-03T01:00:00.0,2019-01-01T00:00:00.0,54.5516925,0.038176472,257.8210558,176.3257298,139.1091035
2019-01-03T02:00:00.0,2019-01-02T00:00:00.0,87.77795436,0.093154903,265.3882995,135.4057122,255.2240567
2019-01-03T03:00:00.0,2019-01-02T00:00:00.0,121.8498929,0.287790201,232.3514066,83.94206324,328.865936
2019-01-03T04:00:00.0,2019-01-02T00:00:00.0,152.9350527,0.66142354,206.0715029,54.65276317,334.7052264
2019-01-03T05:00:00.0,2019-01-02T00:00:00.0,180.9497383,0.778152947,193.4129491,25.21761988,309.6899274
2019-01-03T06:00:00.0,2019-01-02T00:00:00.0,156.5668319,0.753607854,267.8004908,5.054792658,273.7288766
2019-01-03T07:00:00.0,2019-01-02T00:00:00.0,122.8687162,0.577758833,340.2822665,1.244548355,231.222266
2019-01-03T08:00:00.0,2019-01-02T00:00:00.0,90.86897991,0.442566676,301.2622686,1.025232083,186.6076318
2019-01-03T09:00:00.0,2019-01-02T00:00:00.0,70.78301092,0.379909808,242.6602306,1.547580391,157.7633047
2019-01-03T10:00:00.0,2019-01-02T00:00:00.0,89.52130915,0.346931379,213.7640332,5.470382571,178.6272427
2019-01-03T11:00:00.0,2019-01-02T00:00:00.0,91.57105012,0.368154913,222.0132427,20.60658018,198.2827769
2019-01-03T12:00:00.0,2019-01-02T00:00:00.0,75.73667877,0.300645103,217.7501901,64.03972405,187.6952464
2019-01-03T13:00:00.0,2019-01-02T00:00:00.0,71.7646129,0.255092162,183.3978166,114.6866497,188.2294023
2019-01-03T14:00:00.0,2019-01-02T00:00:00.0,73.43573744,0.227958825,179.7640729,121.5757098,201.1898151
2019-01-03T15:00:00.0,2019-01-02T00:00:00.0,76.61403235,0.256300005,204.5360032,103.8614988,215.5236767
2019-01-03T16:00:00.0,2019-01-02T00:00:00.0,72.71855569,0.293721575,242.7511847,94.39108052,204.477335
2019-01-03T17:00:00.0,2019-01-02T00:00:00.0,58.95870695,0.250929415,204.6016509,66.46023815,177.7097126
2019-01-03T18:00:00.0,2019-01-02T00:00:00.0,30.64054374,0.195713727,174.1700333,64.55193124,115.4275285
2019-01-03T19:00:00.0,2019-01-02T00:00:00.0,28.86888236,0.189350982,153.327432,118.5250112,114.7802666
2019-01-03T20:00:00.0,2019-01-02T00:00:00.0,36.8998471,0.212105884,136.5627067,194.4064462,127.9274757
2019-01-03T21:00:00.0,2019-01-02T00:00:00.0,49.12763452,0.20981961,133.2854619,204.8506927,145.3887691
2019-01-03T22:00:00.0,2019-01-02T00:00:00.0,59.07141509,0.196878435,131.2072258,202.279189,158.7862143
2019-01-03T23:00:00.0,2019-01-02T00:00:00.0,64.41857534,0.166078433,131.9760181,199.2657879,167.9077999
2019-01-04T00:00:00.0,2019-01-02T00:00:00.0,70.85636575,0.144315689,138.8552987,207.807706,181.6271293
2019-01-04T01:00:00.0,2019-01-02T00:00:00.0,76.84952475,0.137586278,148.8401174,223.9457067,193.7009781
2019-01-04T02:00:00.0,2019-01-03T00:00:00.0,94.57406976,0.214974513,210.9525579,275.6882002,223.9743837
2019-01-04T03:00:00.0,2019-01-03T00:00:00.0,102.5047095,0.270535301,201.7091663,296.6961663,242.3013936
2019-01-04T04:00:00.0,2019-01-03T00:00:00.0,111.4476575,0.321415695,213.9280035,348.0227434,265.7941236
2019-01-04T05:00:00.0,2019-01-03T00:00:00.0,115.7459306,0.339209808,243.5456413,411.1352667,277.3573927
2019-01-04T06:00:00.0,2019-01-03T00:00:00.0,115.3929684,0.332847065,268.6796432,453.1885075,275.6215636
2019-01-04T07:00:00.0,2019-01-03T00:00:00.0,112.6944834,0.307633339,270.4129611,456.4596781,271.2443805
