NYISO Name,PTID,Zone,Facility Name,Facility ID,Unit ID,Unit Type,Fuel Type, Operating Time, Gross Load (MWh), Heat Input (MMBtu), Facility Latitude, Facility Longitude, Max Hourly HI Rate (MMBtu/hr),Name Plate Rating (MW),2018 Net Energy (GWh),2019 CRIS Summer (MW),2019 CRIS Winter (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Combined
Syracuse,23985,C,"Syracuse, LLC",10621,1,Combined Cycle,Natural Gas,273.32,15092.83,124672.024,43.0667,-76.2246,416,102.7,32.5,86.8,107.3,85.3,98.9,0
Carr St.-E. Syr,24060,C,Carr Street Generating Station,50978,A,Combined Cycle,Natural Gas,710.69,19721.46,243712.585,43.0611,-76.0819,1531,122.6,150.5,89,116.8,93.2,106.1,1
Carr St.-E. Syr,24060,C,Carr Street Generating Station,50978,B,Combined Cycle,Natural Gas,706.09,19578.08,247726.848,43.0611,-76.0819,789,122.6,150.5,89,116.8,93.2,106.1,1
Saranac Energy,23793,D,"Saranac Power Partners, LP",54574,1,Combined Cycle,Natural Gas,686.88,72748.62,658762.979,44.7132,-73.4557,583,285.6,70.8,253.7,298.4,249.8,276.2,1
Saranac Energy,23793,D,"Saranac Power Partners, LP",54574,2,Combined Cycle,Natural Gas,112.06,12395.39,111039.749,44.7132,-73.4557,551,285.6,70.8,253.7,298.4,249.8,276.2,1
Massena,23902,D,Massena Energy Facility,54592,1,Combined Cycle,Natural Gas,23.41,956.03,13519.895,44.9503,-74.8928,585,102.1,1.7,82.2,107.9,81.2,92.3,0
Sterling,23777,E,Sterling Power Plant,50744,1,Combined Cycle,Natural Gas,162.46,5512.7,63452.529,43.0803,-75.6003,551,65.3,26.2,57.4,72.1,50.9,62.5,0
Carthage Energy,23857,E,Carthage Energy,10620,1,Combined Cycle,Natural Gas,78.08,3207.75,29396.529,43.9842,-75.6225,628,62.9,19.9,59,70.6,56.3,64.5,0
Beaver Falls,23983,E,"Beaver Falls, LLC",10617,1,Combined Cycle,Natural Gas,33,2166.1,18357.198,43.8861,-75.4342,2133,107.8,10.8,80.2,94.9,81.3,91.7,0
Athens 1,23668,F,Athens Generating Company,55405,1,Combined Cycle,Natural Gas,3854.4,1175512.28,8092731.939,42.2728,-73.8492,3165,441,1450.1,316.6,399.9,331,395.1,0
Athens 2,23670,F,Athens Generating Company,55405,2,Combined Cycle,Natural Gas,2042.53,594985.43,4165772.261,42.2728,-73.8492,3165,441,879.8,315.6,398.6,328.8,399,0
Athens 3,23677,F,Athens Generating Company,55405,3,Combined Cycle,Natural Gas,3933.51,1218293.56,8701527.559,42.2728,-73.8492,554,441,1292.1,312.8,395.1,329,395,0
Rensselaer,23796,F,Rensselaer Cogen,54034,1GTDBS,Combined Cycle,Natural Gas,48.02,3466.1,30699.642,42.63,-73.75,2550,96.9,4.2,79,79,77,82.7,0
Selkirk-II,23799,F,Selkirk Cogen Partners,10725,CTG201,Combined Cycle,Natural Gas,613.67,67241.6,565267.556,42.5744,-73.8592,2550,338.8,389.2,291.3,380.5,281,333.1,1
Selkirk-II,23799,F,Selkirk Cogen Partners,10725,CTG301,Combined Cycle,Natural Gas,519.01,53030.43,445271.768,42.5744,-73.8592,1279,338.8,389.2,291.3,380.5,281,333.1,1
Selkirk-I,23801,F,Selkirk Cogen Partners,10725,CTG101,Combined Cycle,Natural Gas,206.67,22212.41,180260.147,42.5744,-73.8592,2550,107.2,25.1,82.1,107.2,80.3,105.5,0
Indeck-Corinth,23802,F,Indeck-Corinth Energy Center,50458,1,Combined Cycle,Natural Gas,4519.25,583751.25,4748012.825,43.25,-73.8125,3100,147,694.2,131.2,134,130.7,135.2,0
Castleton Energy Center,23900,F,"Castleton Power, LLC",10190,1,Combined Cycle,Natural Gas,2372.31,135263.36,1216663.482,42.5375,-73.7433,2650,72,131.2,69,86.6,68.3,78.7,0
Bethlehem Energy Center,323570,F,Bethlehem Energy Center (Albany),2539,10001,Combined Cycle,Natural Gas,5755.07,882464.97,9124371.635,42.5905,-73.7636,2133,893.1,5142.1,835,924.8,814.6,908.5,1
Bethlehem Energy Center,323570,F,Bethlehem Energy Center (Albany),2539,10002,Combined Cycle,Natural Gas,5455.54,781227.31,8658709.014,42.5905,-73.7636,2133,893.1,5142.1,835,924.8,814.6,908.5,1
Bethlehem Energy Center,323570,F,Bethlehem Energy Center (Albany),2539,10003,Combined Cycle,Natural Gas,8382.36,1328452.77,1.38E+07,42.5905,-73.7636,2133,893.1,5142.1,835,924.8,814.6,908.5,1
EMPIRE_CC_1,323656,F,"Empire Generating Co, LLC",56259,CT-1,Combined Cycle,Natural Gas,5492.93,1272080.12,9114781.466,42.6296,-73.749,540,335,1355.4,294.2,360.2,299.8,333,0
EMPIRE_CC_2,323658,F,"Empire Generating Co, LLC",56259,CT-2,Combined Cycle,Natural Gas,5466.4,1263947.01,8996661.595,42.6296,-73.749,900,335,843.1,298.2,365.1,299.8,333,0
CPV_VALLEY___CC1,323721,G,Valley Energy Center,56940,1,Combined Cycle,Natural Gas,6770.29,2059962.43,1.41E+07,41.413,-74.435,416,385,686.8,340,380.5,309.3,377.8,0
CPV_VALLEY___CC2,323722,G,Valley Energy Center,56940,2,Combined Cycle,Natural Gas,6821.43,2076578.27,1.42E+07,41.413,-74.435,730,385,667.3,340,380.5,312.4,377.2,0
Brooklyn Navy Yard,23515,J,Brooklyn Navy Yard Cogeneration,54914,1,Combined Cycle,Natural Gas,8004.59,802921.1,9240785.888,40.6994,-73.9758,670,322,1964.7,266.9,348.6,266.8,311.3,1
Brooklyn Navy Yard,23515,J,Brooklyn Navy Yard Cogeneration,54914,2,Combined Cycle,Natural Gas,7657.7,790177.24,8956621.825,40.6994,-73.9758,1531,322,1964.7,266.9,348.6,266.8,311.3,1
KIAC_JFK_GT1,23816,J,KIAC Cogeneration,54114,GT1,Combined Cycle,Natural Gas,4186.16,184571.88,1826754.962,40.6417,-73.7778,2080,60.6,301.55,58.7,58.7,57.5,60.8,0
KIAC_JFK_GT2,23817,J,KIAC Cogeneration,54114,GT2,Combined Cycle,Natural Gas,6665.37,278665.19,2709653.184,40.6417,-73.7778,2041,60.6,301.55,58.3,58.3,56.4,59.4,0
Ravenswood CC 04,23820,J,Ravenswood Generating Station,2500,UCC001,Combined Cycle,Natural Gas,6890.63,1594237.21,1.18E+07,40.7585,-73.9451,786.8,250,1347.4,231.2,276.7,221.8,272.5,0
East River 1,323558,J,East River,2493,1,Combined Cycle,Natural Gas,7902.5,1293232,1.35E+07,40.7281,-73.9742,1259,185,1141.4,160.5,199,154.7,200.3,0
East River 2,323559,J,East River,2493,2,Combined Cycle,Natural Gas,6633.5,1054034.25,1.10E+07,40.7281,-73.9742,1250,185,1092.8,162.4,201.4,153.1,197.3,0
Astoria CC 1,323568,J,Poletti 500 MW CC,56196,CTG7A,Combined Cycle,Natural Gas,6989.14,1245011.55,9042359.05,40.7881,-73.9056,2450,288,1070.2,246.2,270.2,235.4,260,0
Astoria CC 2,323569,J,Poletti 500 MW CC,56196,CTG7B,Combined Cycle,Natural Gas,6999.55,1270138.22,9147395.949,40.7881,-73.9056,2450,288,1070.2,246.2,270.2,235.4,260,0
Astoria East Energy - CC1,323581,J,Astoria Energy,55375,CT1,Combined Cycle,Natural Gas,7855.44,1743215.03,1.21E+07,40.7825,-73.8964,2750,320,1792.1,292.6,355.3,290.1,332.5,0
Astoria East Energy - CC2,323582,J,Astoria Energy,55375,CT2,Combined Cycle,Natural Gas,7134.28,1572399.89,1.13E+07,40.7825,-73.8964,2750,320,1792.1,292.6,355.3,290.1,332.5,0
Astoria Energy 2 - CC3,323677,J,Astoria Energy,55375,CT3,Combined Cycle,Natural Gas,6464.95,1428442.95,1.08E+07,40.7825,-73.8964,1503,330,1375.15,288,376.3,286.5,331.8,0
Astoria Energy 2 - CC4,323678,J,Astoria Energy,55375,CT4,Combined Cycle,Natural Gas,6672.37,1470678.98,1.10E+07,40.7825,-73.8964,1503,330,1375.15,288,376.3,286.5,331.8,0
Flynn,23794,K,Richard M Flynn (Holtsville),7314,1,Combined Cycle,Natural Gas,3358.92,258380.92,3307903.837,40.8153,-73.0644,2550,170,636.1,135.5,168.4,138.6,162.7,0
Bethpage,23823,K,Bethpage Energy Center,50292,GT1,Combined Cycle,Natural Gas,3781.53,97011.41,740376.487,40.7469,-73.4994,1676,83.6,262,54.9,55.1,51.5,59.7,1
Bethpage,23823,K,Bethpage Energy Center,50292,GT2,Combined Cycle,Natural Gas,4029.46,105120.43,834316.579,40.7469,-73.4994,633,83.6,262,54.9,55.1,51.5,59.7,1
Pinelawn Power 1,323563,K,Pinelawn Power,56188,1,Combined Cycle,Natural Gas,1315.86,72993.86,597748.366,40.7358,-73.3881,718,82,162.2,78,78,75.5,77.9,0
Bethpage 3,323564,K,Bethpage Energy Center,50292,GT4,Combined Cycle,Natural Gas,1900.23,117701.37,985092.67,40.7469,-73.4994,1215,96,121.8,79.9,91.4,76.5,77.9,0
Caithness_CC_1,323624,K,Caithness Long Island Energy Center,56234,1,Combined Cycle,Natural Gas,7308.93,2264238.36,1.51E+07,40.8142,-72.9403,1531,375,2478.2,315.6,389.8,325.9,362.3,0
Nassau Energy Corporation,323695,K,Nassau Energy Corporation,52056,4,Combined Cycle,Natural Gas,8206.18,324520.01,3571380.24,40.7259,-73.5885,2450,55,331,51.6,60.1,43.7,53.9,0
Jamestown 7,1659,A,S A Carlson,2682,20,Combustion Turbine,Natural Gas,3711.75,130991.75,1455550.525,42.0917,-79.2417,254,47.3,109.8,40,40,40.9,46.2,0
Hillburn GT,23639,G,Hillburn,2628,1,Jet Engine,Natural Gas,12.48,298.56,5493.266,41.1269,-74.1653,430,46.5,0.4,37.9,51.8,35.4,45.1,0
Shoemaker GT,23640,G,Shoemaker,2632,1,Jet Engine,Natural Gas,39.29,1050.05,19563.077,41.4278,-74.4186,524,41.9,0.4,33.1,45.2,32.7,40.8,0
Kent,24152,J,North 1st,7915,NO1,Combustion Turbine,Natural Gas,754.12,33613.53,341197.426,40.7168,-73.9665,457,47,53.5,46.9,46.9,45.9,46.6,0
Pouch,24155,J,Pouch Terminal,8053,PT01,Combustion Turbine,Natural Gas,1173.05,52945.52,537918.905,40.6188,-74.069,457,47,59.9,47.1,47.1,45.6,46,0
Gowanus 5,24156,J,23rd and 3rd,7910,2301,Combustion Turbine,Natural Gas,1107.41,45779.84,459403.16,40.663,-74,524,47,71.7,45.4,45.4,40,40,0
Gowanus 6,24157,J,23rd and 3rd,7910,2302,Combustion Turbine,Natural Gas,871.46,35913.34,366949.48,40.663,-74,650,47,48.9,46.1,46.1,39.9,39.9,0
