NYISO Name,PTID,Zone,Facility Name,Facility ID,Unit ID,Unit Type,Fuel Type, Operating Time, Gross Load (MWh), Heat Input (MMBtu), Facility Latitude, Facility Longitude, Max Hourly HI Rate (MMBtu/hr),Name Plate Rating (MW),2018 Net Energy (GWh),2019 CRIS Summer (MW),2019 CRIS Winter (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Combined
Astoria GT 4-4,24105,J,Astoria Gas Turbine Power,55243,CT4-4B,Jet Engine,Kerosene,34.02,596.34,8515,40.7864,-73.9133,255,46.5,2.8,42.8,52.7,33.1,44.5,1
Ravenswood 2-1  (IIFO - 4/1/18),24244,J,Ravenswood Generating Station,2500,CT02-1,Jet Engine,Natural Gas,0,0,0,40.7585,-73.9451,670,42.9,0.2,40.4,51.4,0,0,0
Ravenswood 2-2  (IIFO - 4/1/18),24245,J,Ravenswood Generating Station,2500,CT02-2,Jet Engine,Natural Gas,0,0,0,40.7585,-73.9451,680,42.9,0,37.6,47.8,0,0,0
Ravenswood 2-3  (IIFO - 4/1/18),24246,J,Ravenswood Generating Station,2500,CT02-3,Jet Engine,Natural Gas,0,0,0,40.7585,-73.9451,524,42.9,0,39.2,49.9,0,0,0
Ravenswood 2-4  (IIFO - 4/1/18),24247,J,Ravenswood Generating Station,2500,CT02-4,Jet Engine,Natural Gas,0,0,0,40.7585,-73.9451,524,42.9,0,39.8,50.6,0,0,0
Ravenswood 3-1  (IIFO - 4/1/18),24248,J,Ravenswood Generating Station,2500,CT03-1,Jet Engine,Natural Gas,0,0,0,40.7585,-73.9451,524,42.9,0,40.5,51.5,0,0,0
Ravenswood 3-2  (IIFO - 4/1/18),24249,J,Ravenswood Generating Station,2500,CT03-2,Jet Engine,Natural Gas,0,0,0,40.7585,-73.9451,524,42.9,0,38.1,48.5,0,0,0
Ravenswood 3-3  (IIFO - 4/1/18),24250,J,Ravenswood Generating Station,2500,CT03-3,Jet Engine,Natural Gas,0,0,0,40.7585,-73.9451,524,,0,38.1,48.5,0,0,0
Ravenswood 3-4  (IIFO - 4/1/18),24251,J,Ravenswood Generating Station,2500,CT03-4,Jet Engine,Natural Gas,0,0,0,40.7585,-73.9451,524,42.9,0,35.8,45.5,0,0,0
Wading River 1,23522,K,Wading River Facility,7146,UGT007,Combustion Turbine,Fuel Oil 2,69.25,4291,57348.375,40.9569,-72.8774,1164,79.5,4.2,81.2,106.1,78.1,99.9,0
Wading River 2,23547,K,Wading River Facility,7146,UGT008,Combustion Turbine,Fuel Oil 2,62,3540,47976.75,40.9569,-72.8774,1164,79.5,1.3,81.3,106.2,75.8,98,0
Wading River 3,23601,K,Wading River Facility,7146,UGT009,Combustion Turbine,Fuel Oil 2,82.25,4664.75,62828.15,40.9569,-72.8774,1164,79.5,7.4,81.3,106.2,78.6,99.4,0
Glenwood GT 02,23688,K,Glenwood,2514,U00020,Combustion Turbine,Fuel Oil 2,19,601,8509,40.8269,-73.6479,461,55,2.1,52.7,68.8,51.4,61.7,0
Glenwood GT 03,23689,K,Glenwood,2514,U00021,Combustion Turbine,Fuel Oil 2,14,421,6100,40.8269,-73.6479,461,55,2.5,54.7,71.5,52.9,68,0
