generators,Capacity_MW,Capacity_MWh,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,OperatingRegulationRevenue,OperatingReserveRevenue,Operating_Revenue,Operating_Cost,operating_profit_per_gen,total_inv_costs,diff
NG 2-on-1 Combined Cycle (F-Frame),24713.901327215655,0.0,2.77892938476074e9,0.0,1.2789443936834102e9,0.0,1.423216281284181e8,4.406938713773639e9,0.0,1.7209078904129803e8,0.0,7.689384397625525e9,1.6384501886506265e6,9.518748241194021e6,7.70054159605537e9,6.000295524626764e9,1.7002460714286056e9,2.77892938476074e9,-1.0786833133321342e9
NG Combustion Turbine (F-Frame),10732.27294424315,0.0,1.0856889146889524e9,0.0,4.201684857671193e8,0.0,1.0634379434328116e7,1.7867596247267964e8,0.0,1.4125601858704941e7,0.0,1.237763544235185e9,568738.9902536258,1.28712771313203e6,1.2396194109385707e9,6.23604429532832e8,6.160149814057388e8,1.0856889146889524e9,-4.696739332832136e8
Land-Based Wind - Class 1 - Technology 1,77868.47462117363,0.0,6.48561301461938e9,0.0,2.526290602753995e9,0.0,2.1219607599544577e7,0.0,0.0,0.0,0.0,9.480628430720776e9,0.0,0.0,9.480628430720776e9,2.5475102103535395e9,6.933118220367236e9,6.48561301461938e9,4.4750520574785614e8
Utility PV - Class 1,60816.319099920845,0.0,4.508566974948556e9,0.0,1.4453365234042032e9,0.0,1.2384905829791773e7,0.0,0.0,0.0,0.0,5.928565334838705e9,0.0,0.0,5.928565334838705e9,1.457721429233995e9,4.47084390560471e9,4.508566974948556e9,-3.772306934384632e7
Utility-Scale Battery Storage - 4Hr,41107.58880518948,164430.35522075792,1.0794740961632557e9,0.0,4.9501758439209175e8,0.0,0.0,0.0,0.0,0.0,1.0810981119933848e9,2.671380348473347e9,1.0259265970316526e7,9.009260376357345e6,2.690648874820021e9,1.5761156963854766e9,1.1145331784345446e9,1.0794740961632557e9,3.505908227128887e7
