Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_A,Demand_MW_B,Demand_MW_C,Demand_MW_D,Demand_MW_E,Demand_MW_F,Demand_MW_G,Demand_MW_H,Demand_MW_I,Demand_MW_J,Demand_MW_K
,,,,,,,51,1519.2,942.0,1634.3,603.3,838.1,1179.2,890.9,261.7,518.5,4432.9,1754.7
,,,,,,,52,1521.1,942.1,1630.6,605.9,824.3,1174.1,896.7,240.5,508.7,4378.1,1730.7
,,,,,,,53,1549.0,969.1,1658.0,606.9,841.9,1180.7,898.9,254.1,516.3,4406.8,1760.9
,,,,,,,54,1627.6,1033.6,1759.5,609.7,908.5,1251.3,953.5,276.0,552.5,4639.8,1869.7
,,,,,,,55,1768.1,1142.0,1934.8,631.8,992.0,1381.2,1053.3,309.9,621.2,5140.8,2082.0
,,,,,,,56,1859.1,1227.3,2050.2,640.1,1053.7,1460.1,1125.4,328.2,682.2,5662.7,2243.7
,,,,,,,57,1860.5,1246.1,2064.3,655.1,1062.3,1455.4,1149.5,329.0,692.0,5973.9,2266.6
,,,,,,,58,1897.9,1261.5,2089.7,649.8,1055.0,1431.5,1133.9,327.3,698.8,6157.1,2272.6
,,,,,,,59,1964.5,1272.9,2104.6,649.8,1069.8,1417.1,1130.8,325.6,701.7,6221.5,2283.3
,,,,,,,60,1958.6,1276.2,2116.3,616.0,1083.5,1410.1,1110.3,324.6,702.8,6267.9,2292.1
,,,,,,,61,1931.7,1267.8,2106.7,616.4,1063.6,1415.4,1115.1,315.6,686.5,6289.9,2212.0
,,,,,,,62,1956.3,1264.0,2107.4,616.2,1048.3,1433.5,1113.4,314.4,681.6,6267.3,2190.6
,,,,,,,63,1959.2,1257.8,2083.3,613.3,1054.0,1437.0,1126.6,321.3,682.4,6258.7,2239.9
,,,,,,,64,1961.1,1267.4,2079.1,613.9,1061.1,1453.1,1148.9,334.1,696.7,6320.3,2339.8
,,,,,,,65,1999.2,1312.5,2144.4,624.0,1086.6,1527.7,1222.6,350.8,736.6,6476.0,2540.8
,,,,,,,66,2064.9,1368.1,2219.9,635.6,1131.1,1602.9,1305.2,378.3,786.6,6620.8,2774.7
