Resource,Min_Cap_1,Min_Cap_2,Min_Cap_3
Coal-new,0,0,0
NG Combustion Turbine (F-Frame),0,0,0
NG 2-on-1 Combined Cycle (H-Frame) 95% CCS,0,0,0
NG 2-on-1 Combined Cycle (F-Frame),0,0,0
RICE,0,0,0
HTGR,0,0,0
Microreactor,0,0,0
PBR-HTGR,0,0,0
iPWR_Pack,0,0,0
Utility PV - Class 1,0,0,0
Land-Based Wind - Class 1 - Technology 1,0,0,0
Utility-Scale Battery Storage - 2Hr,0,0,0
