,dlac-p,dlac-i,slac
NG CC,-20.7,44.88,45.08
NG CT,-27.18,45.39,45.79
Wind,6.21,21.89,21.55
Solar,1.48,12.72,8.85
BESS,-19.99,21.84,27.21
