,dlac-p,dlac-i,slac
NG CC,-0.52,62.17,33.48
NG CT,-3.52,63.52,30.61
Wind,13.9,37.84,26.74
Solar,6.96,20.18,14.5
BESS,5.55,53.33,24.53
