,dlac-p,dlac-i,slac
NG CC,-2.23,76.64,42.99
NG CT,-6.95,78.31,37.65
Wind,19.25,50.23,35.42
Solar,12.08,26.47,19.6
BESS,1.13,66.72,31.27
