,dlac-p,dlac-i,slac
NG CC,7.5,50.2,40.98
NG CT,12.48,58.43,50.13
Wind,4.34,13.71,5.32
Solar,-2.15,8.45,5.24
BESS,-9.01,28.07,36.39
