,dlac-p,dlac-i,slac
NG CC,-16.64,52.33,39.79
NG CT,-15.51,59.38,50.65
Wind,0.24,15.52,6.58
Solar,-3.74,10.73,2.28
BESS,-16.99,34.6,40.95
