,dlac-p,dlac-i,slac
NG CC,-22.07,56.46,37.02
NG CT,-20.91,66.31,47.45
Wind,-0.95,15.87,4.93
Solar,-8.69,8.67,0.97
BESS,-17.0,39.44,43.37
