,dlac-p,dlac-i,slac
NG CC,-5.6,44.42,43.37
NG CT,-10.37,43.32,42.64
Wind,8.77,22.28,21.08
Solar,4.93,14.93,9.42
BESS,-17.06,15.43,26.37
