,dlac-p,dlac-i,slac
Thermal_Base,-0.8,27.31,-16.17
2_Hr_BESS,20.75,55.36,43.4
2_Hr_BESS_Fuelx2,-29.61,45.93,34.13
4_Hr_BESS,22.16,62.79,51.76
4_Hr_BESS_Fuelx2,-27.18,45.39,45.79
4_Hr_BESS_Fuelx3,-3.52,63.52,30.61
4_Hr_BESS_Fuelx4,-6.95,78.31,37.65
6_Hr_BESS,12.48,58.43,50.13
6_Hr_BESS_Fuelx2,-10.37,43.32,42.64
8_Hr_BESS,-20.91,66.31,47.45
8_Hr_BESS_Fuelx2,5.54,46.24,23.62
10_Hr_BESS,-15.51,59.38,50.65
10_Hr_BESS_Fuelx2,5.43,48.33,20.78
