Resource,Zone,region,cluster,Technology,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,LDS
Hydro_NY,1,NY,1,Hydro,0,0,4923.999999999999,4923.999999999999,4923.999999999999,0,51543.5483870968,0.58,0,None,0.1,0.5,0.5,12,1
PumpedHydro_NY,1,NY,1,Hydro,0,0,1400.0,1400.0,1400.0,0,20150.0,0.58,0,None,0.1,0.5,0.5,12,1
