Resource,Zone,region,cluster,Technology,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,LDS
Hydro_A,1,A,1,Hydro,0,0,2460.0,2460.0,-1,0,155000.0,0.0,0,None,0.1,0.5,0.5,12,1
Hydro_B,2,B,1,Hydro,0,0,63.8,63.8,-1,0,155000.0,0.0,0,None,0.1,0.5,0.5,12,1
Hydro_C,3,C,1,Hydro,0,0,109.4,109.4,-1,0,155000.0,0.0,0,None,0.1,0.5,0.5,12,1
Hydro_D,4,D,1,Hydro,0,0,909.8,909.8,-1,0,155000.0,0.0,0,None,0.1,0.5,0.5,12,1
Hydro_E,5,E,1,Hydro,0,0,376.3,376.3,-1,0,155000.0,0.0,0,None,0.1,0.5,0.5,12,1
Hydro_F,6,F,1,Hydro,0,0,269.6,269.6,-1,0,155000.0,0.0,0,None,0.1,0.5,0.5,12,1
Hydro_G,7,G,1,Hydro,0,0,75.8,75.8,-1,0,203651.67694390134,0.0,0,None,0.1,0.5,0.5,12,1
