generators,Capacity_MW,Capacity_MWh,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,OperatingRegulationRevenue,OperatingReserveRevenue,Operating_Revenue,Operating_Cost,operating_profit_per_gen,total_inv_costs,diff
NG 2-on-1 Combined Cycle (F-Frame),24749.554022344666,0.0,2.7829383156384726e9,0.0,1.2807894206563365e9,0.0,1.1817618182741968e8,4.8790447157362385e9,0.0,1.7508639416265395e8,0.0,8.313124009611193e9,1.9858716759555186e6,1.151811360349932e7,8.326627994890648e9,6.453096712382648e9,1.8735312825079997e9,2.7829383156384726e9,-9.094070331304729e8
NG Combustion Turbine (F-Frame),8188.3532589710185,0.0,8.283431113807666e8,0.0,3.205740300887154e8,0.0,6.704769476634931e6,1.5020229395841277e8,0.0,1.376581835548588e7,0.0,9.800221114718009e8,2.0335185864079446e6,1.4112186212803032e6,9.834668486794891e8,4.91246911879249e8,4.922199368002401e8,8.283431113807666e8,-3.3612317458052653e8
Land-Based Wind - Class 1 - Technology 1,79198.09375260018,0.0,6.596356100126312e9,0.0,2.5694274990821457e9,0.0,2.185645873015873e7,0.0,0.0,0.0,0.0,1.0546378912070133e10,0.0,0.0,1.0546378912070133e10,2.5912839578123045e9,7.95509495425783e9,6.596356100126312e9,1.3587388541315174e9
Utility PV - Class 1,68234.30987168133,0.0,5.058493519484791e9,0.0,1.6216295505288043e9,0.0,1.2639114588972982e7,0.0,0.0,0.0,0.0,7.157701050199028e9,0.0,0.0,7.157701050199028e9,1.6342686651177773e9,5.523432385081251e9,5.058493519484791e9,4.6493886559646034e8
Utility-Scale Battery Storage - 4Hr,50674.644446826016,202698.57778730406,1.3307023740036585e9,0.0,6.10224068428679e8,0.0,0.0,0.0,0.0,0.0,1.5166008946732538e9,3.297551900869228e9,1.6155147703871101e7,2.544884602089831e7,3.3391558945939975e9,2.1268249631019328e9,1.2123309314920647e9,1.3307023740036585e9,-1.1837144251159382e8
