,Investment [$/MW-Yr],Investment [$/MWh-Yr],FOM [$/MW-Yr],VOM [$/MWh]
NG 2-on-1 Combined Cycle (F-Frame),74962,0,34500,2.17
NG Combustion Turbine (F-Frame),67440,0,26100,6.94
Land-Based Wind - Class 1 - Technology 1,83289,0,32443,0.1
Utility PV - Class 1,74134,0,23765,0.1
Utility-Scale Battery Storage - 2Hr,64517,0,28621,0.0
Utility-Scale Battery Storage - 4Hr,105038,0,48168,0.0
Utility-Scale Battery Storage - 6Hr,145560,0,67714,0.0
Utility-Scale Battery Storage - 8Hr,186081,0,87260,0.0
Utility-Scale Battery Storage - 10Hr,226602,0,106807,0.0
