Resource,CEM,PF,DLAC-p,DLAC-i,SLAC
NG 2-on-1 Combined Cycle (F-Frame),-8.950578696682418e-13,8.583443048984446,4.202465316356295,-6.741768597927955,-8.543528474084223
NG Combustion Turbine (F-Frame),4.800273227223254e-14,9.442250423596434,6.8255561649393055,-9.449584933856178,-11.429490429523035
Land-Based Wind - Class 1 - Technology 1,2.599930415214367e-13,0.09903135111667474,-0.508478585611576,-3.1908524464363373,-8.101604911012867
Utility PV - Class 1,2.036421831200064e-14,3.59239696020694,0.441282075504469,-1.108210662754176,1.2689466504806
Utility-Scale Battery Storage - 4Hr,-5.459144055273899e-14,13.88960917644435,-0.6747372202530342,-13.119592944073824,-1.7621238097903933
