Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,26.066425280737324,25.199409773746634,25.41616629130751,22.14132824615183,25.584114483808463
2_Hr_BESS,16.93163884504229,16.915359812556954,17.102638923094514,18.63919964563078,18.699731292012032
2_Hr_BESS_Fuelx2,16.090824721493323,13.939070573503157,19.989362663823094,19.207830215407455,18.722906151000696
4_Hr_BESS,16.702563765031258,16.43004615837842,16.649293106346043,18.09882020343887,18.11799617127949
4_Hr_BESS_Fuelx2,13.620444096390486,13.881547625011185,17.564000256345224,19.452706410989567,18.621898809071162
4_Hr_BESS_Fuelx3,16.000618084048405,15.711814040253923,16.52297966400497,18.35104754440916,19.4309401948283
4_Hr_BESS_Fuelx4,15.567893536428837,15.046748251654382,15.934881628456472,16.22615603779296,16.088728027382736
6_Hr_BESS,16.865544671670335,15.787578447519719,16.744327133030488,18.627680271835683,18.3233672913557
6_Hr_BESS_Fuelx2,16.385872066453004,16.347214532524443,17.74474732662888,19.72100834399755,19.130259592400176
8_Hr_BESS,16.8014984501359,14.127273899024216,17.819045918660713,17.734436977384902,17.94593157966617
8_Hr_BESS_Fuelx2,16.783256921824528,16.23485006899079,16.280086521848308,22.64137207601862,21.064483073953994
10_Hr_BESS,14.653651649637041,14.41367818313955,18.106753783660636,17.944285526169278,17.850504029577998
10_Hr_BESS_Fuelx2,16.736685745392897,16.215246879244425,16.283581116810705,21.22207593231112,19.994475883288263
