Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,3.7025e+07,3.7025e+07,3.7025e+07,4.3282e+07,3.86e+07
2_Hr_BESS,4.9489e+06,4.9489e+06,4.9489e+06,4.9489e+06,3.92e+06
2_Hr_BESS_Fuelx2,3.9656e+06,3.9656e+06,3.9656e+06,2.1703e+06,2.17e+06
4_Hr_BESS,5.1848e+06,5.1848e+06,5.1848e+06,4.2328e+06,4.23e+06
4_Hr_BESS_Fuelx2,3.9656e+06,3.9656e+06,3.9656e+06,2.1157e+06,2.12e+06
4_Hr_BESS_Fuelx3,2.7716e+06,2.7951e+06,2.7951e+06,2.7682e+06,2.77e+06
4_Hr_BESS_Fuelx4,2.3647e+06,2.4180e+06,2.4180e+06,2.9321e+06,4.11e+06
6_Hr_BESS,4.8538e+06,4.8538e+06,4.8538e+06,3.9980e+06,4.00e+06
6_Hr_BESS_Fuelx2,3.9699e+06,3.9754e+06,3.9754e+06,2.0761e+06,2.08e+06
8_Hr_BESS,4.7455e+06,4.7455e+06,4.7455e+06,3.9322e+06,3.93e+06
8_Hr_BESS_Fuelx2,3.0263e+06,3.0321e+06,3.0321e+06,3.0273e+06,3.03e+06
10_Hr_BESS,1.2290e+07,1.2280e+07,1.2280e+07,9.7071e+06,8.37e+06
10_Hr_BESS_Fuelx2,3.6521e+06,3.6571e+06,3.6571e+06,3.6534e+06,3.66e+06
