Case Name,NG CC,NG CT,Wind,Solar,BESS,Total
Thermal_Base,0.43451754068650034,0.08880364332006994,0.30791122544269584,0.16876759055073387,0.0,0.9999999999999999
2_Hr_BESS,0.253756244010762,0.09487876023071545,0.36594772884067245,0.18991564207981138,0.09550162483803873,1.0
2_Hr_BESS_Fuelx2,0.13349628701435973,0.06059962229133103,0.36307849784742585,0.22112409552408357,0.2217014973227999,1.0000000000000002
4_Hr_BESS,0.2405803234880164,0.08395954986683955,0.38694288750598704,0.17176518531532245,0.11675205382383455,1.0
4_Hr_BESS_Fuelx2,0.13841731701826684,0.06327346432538357,0.3813654462618637,0.2442476825614224,0.17269608983306342,0.9999999999999999
4_Hr_BESS_Fuelx3,0.11482097675668317,0.049862223125423315,0.3617775354921458,0.2825530890223783,0.1909861756033693,0.9999999999999999
4_Hr_BESS_Fuelx4,0.107120079659792,0.03544051955811351,0.3427821812070979,0.2953291482499606,0.2193280713250359,1.0
6_Hr_BESS,0.2522762051107629,0.08051743555994882,0.40948419261916436,0.160209235160482,0.09751293154964191,1.0
6_Hr_BESS_Fuelx2,0.1444694236938118,0.06700988995152739,0.3902113457228163,0.26808695396085874,0.13022238667098568,1.0
8_Hr_BESS,0.26318927238242884,0.07708462860306547,0.4225977454835645,0.15626797236647913,0.08086038116446205,1.0
8_Hr_BESS_Fuelx2,0.14484033395061943,0.06481955945797985,0.39856682679147354,0.27618289794695416,0.11559038185297311,1.0000000000000002
10_Hr_BESS,0.25980819966830265,0.0774548459395909,0.41547914226918314,0.17011291400367567,0.07714489811924763,1.0
10_Hr_BESS_Fuelx2,0.1493482584552217,0.06040468503667902,0.41217904905383407,0.276508281419382,0.10155972603488317,0.9999999999999999
