Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,10833202110.84388,11047728037.021078,11049125074.991665,11063456510.449627,11111350722.883907
2_Hr_BESS,10298860005.633385,10404313179.10331,10405705688.730188,10454256954.263243,10490570287.566967
2_Hr_BESS_Fuelx2,10570324234.859926,10692485541.091307,10702959812.616865,10785997932.754305,10787495546.671759
4_Hr_BESS,10124180191.918741,10197493179.869442,10201077469.812414,10228904032.795774,10256074013.350508
4_Hr_BESS_Fuelx2,10416295498.28149,10520428566.665384,10546575025.30426,10622473925.124645,10609262271.624985
4_Hr_BESS_Fuelx3,10800437624.293982,10938370291.114557,10986709910.547733,11124149178.139223,11079284238.664713
4_Hr_BESS_Fuelx4,11353044585.626495,11532150449.189793,11638063602.62172,11849827080.337437,11780120315.620659
6_Hr_BESS,10198417381.063274,10277310225.993414,10282179068.226646,10304477998.904392,10321919347.46229
6_Hr_BESS_Fuelx2,10383126287.058231,10488475575.645834,10519901008.39624,10598805517.478632,10586126389.72533
8_Hr_BESS,10247918553.375065,10345691190.78763,10354608669.909155,10373101435.588076,10378457284.98839
8_Hr_BESS_Fuelx2,10301465145.336802,10414422254.822002,10465846775.859251,10539483115.11013,10523874625.185333
10_Hr_BESS,10201691279.76702,10297182594.140078,10311209798.002089,10332055981.818743,10332243592.138428
10_Hr_BESS_Fuelx2,10295776158.670942,10427236908.016497,10494628248.95867,10568094251.973465,10548513754.636814
