Resource,CEM,PF,DLAC-p,DLAC-i,SLAC
NG 2-on-1 Combined Cycle (F-Frame),-1.5893904638654137e-12,3.3129590637249433,-9.535550473933313,-15.85190862601064,-22.378640798402692
NG Combustion Turbine (F-Frame),-7.700785495750266e-15,6.720532620554252,-6.75101663090007,-16.891699900570632,-29.255649728632292
Land-Based Wind - Class 1 - Technology 1,-4.1618888601673194e-14,3.3258319643174468,8.853292911223832,22.292563568184892,14.824033749267809
Utility PV - Class 1,9.993409020876263e-14,-0.12597748141788428,4.799543989338821,9.695807048278134,6.960034429358397
Utility-Scale Battery Storage - 4Hr,9.169628488650071e-14,10.003559068279042,-7.311402175889875,13.91637733432345,-6.09870832421925
