NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1
38921.415493525696,0.0,11778.162631474312,0.0
39598.05725581376,0.0,11212.958369186244,0.0
40501.45234591954,0.0,10727.481247830461,0.0
41631.23331798792,0.0,10527.37215076208,0.0
43299.22533581206,0.0,10211.442632937937,0.0
44374.53237264411,671.2684113443523,9663.374997261548,0.0
44854.935672239844,1418.2455007964102,8986.971170713738,0.0
44475.31335901853,2804.1024085646495,8344.001585944554,191.0006152222559
42802.23923944985,2132.833997220297,7445.980757443419,3734.1764746364242
38268.80098905716,1385.8569077682391,6526.249570271437,9548.369876653169
39096.12925917624,0.0,5516.0027694645505,10276.840627609212
38361.70555763782,0.0,4529.24383521284,10634.409982149351
36694.292668867805,0.0,3595.1360243546837,11846.196306777507
36344.202268756926,0.0,2065.4059168748163,12680.32931436826
36341.63543281942,0.0,2825.72578945433,11665.892683976246
37044.71196800829,0.0,2506.475791678797,12522.073959062907
43828.92606907894,1057.8028135093457,2224.7993612166797,8620.049881195033
46274.023418198776,6255.051367895938,2260.81359166021,1500.2465596570723
46274.023418198776,7940.736206146347,3089.1841852293846,0.4038466754932138
46274.023418198776,6672.489647159516,4133.90880964171,0.0
46171.77215844326,4524.798154924349,4987.753905382374,0.0
45608.55321338812,2436.257611426693,5666.154018935196,0.0
44775.594186864175,1092.0191698865863,6117.85539324925,0.0
43679.10674683396,556.3730799298462,6651.0865794861875,0.0
42783.51673954502,556.3730799298462,7021.856274275129,0.0
42646.32361946668,556.3730799298462,7042.459550603468,0.0
42993.41542367162,556.3730799298462,7064.496652648534,0.0
44417.2210766417,556.3730799298462,6939.640218428458,0.0
45566.8817765847,2422.116063364897,6469.131066300413,0.0
46217.31232065517,4823.019002480506,5973.57492686433,0.0
46274.023418198776,6214.039679906975,5532.14002689426,0.0
46274.023418198776,7355.825286325221,4775.082194849486,207.83863187651943
46274.023418198776,5329.493110173317,3827.0978619447424,3670.616078433162
46274.023418198776,7280.0113328295665,3107.4100003369244,2030.3094144553854
46274.023418198776,6601.906809331346,2718.1787207008715,2819.8558955189997
46237.07632699142,5239.208422982157,2559.5160871366575,3635.5858816397667
45313.929894514,4699.441647002009,2650.892673738534,4471.77875349545
44457.74065830629,4699.441647002009,3048.906660114675,4725.332909577023
42223.33536452993,4699.441647002009,3572.344492558051,6752.757402160011
43102.41128282334,4699.441647002009,4164.242299925601,6527.6977389990525
46257.88743322866,5356.860200946214,4565.861190572986,5046.441956502136
46274.023418198776,8837.095662870895,4976.779368606886,1186.6016129387235
46274.023418198776,8840.985350370895,5497.618958329271,0.497042062145494
46274.023418198776,8850.806131620895,5510.5493564303315,0.0
46274.023418198776,6939.256326740747,5410.833536310471,0.0
46010.02191995652,3926.0826959325973,6227.157102860869,0.0
44811.26875750682,1305.5914619640364,8390.796030529149,0.0
42240.92623449002,0.0,11568.558140509978,0.0
38715.52823570767,0.0,14995.784264292328,0.0
36946.16736211189,0.0,17201.39513788811,0.0
36376.49672627795,0.0,18691.210304972046,0.0
37526.88430833317,0.0,19239.846160416837,0.0
40737.93121522941,0.0,19056.115659770596,0.0
43572.88414311186,0.0,19019.572888138136,0.0
43401.22968282257,0.0,19126.004692177423,0.0
41960.24905483064,0.0,18059.90023454159,321.5343043777693
36162.07456143604,0.0,15657.680684393445,5654.9908479205105
31046.200699067485,0.0,9941.816496308604,13266.84217962391
31100.865512869626,0.0,4882.520718887229,15143.625486993147
30539.958744628406,0.0,3261.5835545845184,14406.379575787072
29294.76233362999,0.0,2670.3583653403007,13883.836332279723
28799.586788539153,0.0,2003.497906476085,13081.958273734763
28790.447257289154,0.0,0.0,14180.64258646084
28797.295577601653,0.0,0.0,14858.626297398352
36177.44892242642,0.0,964.3588583800115,10397.051594193568
45368.821647422534,1852.6457131748323,878.2484537444559,2027.1279356581767
46140.6912150535,3989.378890430581,898.215235637033,0.031065128884093376
46187.02405280593,4208.459215489005,1033.0518879550514,0.0
45981.65506461249,3320.742368905238,1293.6064727322741,0.0
45439.6243737945,1882.1054492104597,1620.8834582450481,0.0
44801.326621785396,857.6057923592192,2049.1964921053896,0.0
43842.61092576554,600.650096276115,2822.0163217083373,0.0
43033.83117011012,600.650096276115,3642.6242023637774,0.0
