generators,Capacity_MW,Capacity_MWh,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,OperatingRegulationRevenue,OperatingReserveRevenue,Operating_Revenue,Operating_Cost,operating_profit_per_gen,total_inv_costs,diff
NG 2-on-1 Combined Cycle (F-Frame),46274.023418198776,0.0,2.6016176427460628e9,0.0,1.1973403559458933e9,0.0,3.529114504699773e8,7.285185224772726e9,0.0,3.868275645726615e8,0.0,1.254043219820334e10,7.045551351277131e7,8.48612049475803e7,1.2695748916663692e10,9.222264595761257e9,3.4734843209024353e9,2.6016176427460628e9,8.718666781563725e8
NG Combustion Turbine (F-Frame),9457.159920683394,0.0,4.783485168365093e8,0.0,1.8512390544737747e8,0.0,9.040383553372195e6,1.012627169891847e8,0.0,3.9272790267907366e7,0.0,8.659068706415589e8,5.8932896698472574e7,6.588010145285372e7,9.907198687928852e8,3.346997962578417e8,6.560200725350435e8,4.783485168365093e8,1.776715556985342e8
Land-Based Wind - Class 1 - Technology 1,32791.06117177805,0.0,2.731145487740628e9,0.0,1.0638419475353235e9,0.0,1.114728847934369e7,0.0,0.0,0.0,0.0,3.737154240682053e9,0.0,0.0,3.737154240682053e9,1.0749892360146673e9,2.6621650046673856e9,2.731145487740628e9,-6.898048307324219e7
Utility PV - Class 1,17972.93482108735,0.0,1.3324084978592997e9,0.0,4.2713764190497583e8,0.0,4.365240510884796e6,0.0,0.0,0.0,0.0,1.8083888271214287e9,0.0,0.0,1.8083888271214287e9,4.3150288241586065e8,1.376885944705568e9,1.3324084978592997e9,4.4477446846268415e7
