NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1
322.76178635489913,0.0,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.76178635489913,32.92334260644689,0.0,0.0
322.76178635489913,69.55992823982139,0.0,0.0
322.76178635489913,137.53131048703204,0.0,0.0
322.76178635489913,104.60796788058516,0.0,0.0
322.76178635489913,67.97138224721066,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.76178635489913,51.88148861270656,0.0,0.0
322.76178635489913,276.94484706034956,0.0,0.0
322.76178635489913,276.94484706034956,0.0,0.0
322.76178635489913,267.2748669172472,0.0,0.0
322.76178635489913,199.62922436267925,0.0,0.0
322.76178635489913,119.48982353858803,0.0,0.0
322.76178635489913,53.559679936347266,0.0,0.0
322.76178635489913,27.28813276175103,0.0,0.0
322.76178635489913,27.28813276175103,0.0,0.0
322.76178635489913,27.28813276175103,0.0,0.0
322.76178635489913,27.28813276175103,0.0,0.0
322.76178635489913,27.28813276175103,0.0,0.0
322.76178635489913,118.79623059729107,0.0,0.0
322.76178635489913,211.3702057540936,0.0,0.0
322.76178635489913,276.3198207470564,0.0,0.0
322.76178635489913,276.94484706034956,0.0,0.0
322.76178635489913,230.49100000607964,0.0,0.0
322.76178635489913,230.49100000607964,0.0,0.0
322.76178635489913,230.49100000607964,0.0,0.0
322.76178635489913,230.49100000607964,0.0,0.0
322.76178635489913,230.49100000607964,0.0,0.0
322.76178635489913,230.49100000607964,0.0,0.0
322.76178635489913,230.49100000607964,0.0,0.0
322.76178635489913,230.49100000607964,0.0,0.0
322.76178635489913,233.49676508927274,0.0,0.0
322.76178635489913,276.94484706034956,0.0,0.0
322.76178635489913,276.94484706034956,0.0,0.0
322.76178635489913,276.94484706034956,0.0,0.0
322.76178635489913,276.94484706034956,0.0,0.0
322.76178635489913,177.96272307944952,0.0,0.0
322.76178635489913,64.0346458731891,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.76178635489913,0.0,0.0,0.0
322.69438248748406,0.0,0.0,0.0
322.69438248748406,0.0,0.0,0.0
322.69438248748406,0.0,0.0,0.0
322.69438248748406,0.0,0.0,0.0
322.69438248748406,0.0,0.0,0.0
322.69438248748406,0.0,0.0,0.0
320.5462053165693,0.0,0.0,0.0
274.7559518320588,0.0,0.0,0.0
274.7559518320588,0.0,0.0,0.0
270.74073854082593,0.0,0.0,0.0
256.23577266029366,0.0,0.0,0.0
255.45403829123765,0.0,0.0,0.0
255.45403829123765,0.0,0.0,0.0
255.45403829123765,0.0,0.0,0.0
321.5796434506635,0.0,0.0,0.0
322.76178635489913,90.86572302883222,0.0,0.0
322.76178635489913,177.1768198153071,0.0,0.0
322.76178635489913,185.45318024706626,0.0,0.0
322.76178635489913,152.3947570771535,0.0,0.0
322.76178635489913,92.31061893962594,0.0,0.0
322.76178635489913,42.06253243254671,0.0,0.0
322.76178635489913,29.459763891897644,0.0,0.0
322.76178635489913,29.459763891897644,0.0,0.0
322.76178635489913,29.459763891897644,0.0,0.0
322.76178635489913,29.459763891897644,0.0,0.0
322.76178635489913,29.459763891897644,0.0,0.0
322.76178635489913,104.70960772893271,0.0,0.0
322.76178635489913,175.23691887288146,0.0,0.0
322.76178635489913,150.5035246253462,0.0,0.0
322.76178635489913,70.52731114394875,0.0,0.0
310.10002383498744,0.0,0.0,0.0
231.71639478116572,0.0,0.0,0.0
227.64551019334007,0.0,0.0,0.0
227.64551019334007,0.0,0.0,0.0
227.64551019334007,0.0,0.0,0.0
227.64551019334007,0.0,0.0,0.0
227.64551019334007,0.0,0.0,0.0
227.64551019334007,0.0,0.0,0.0
285.6355570537408,0.0,0.0,0.0
285.81580933642687,0.0,0.0,0.0
285.81580933642687,0.0,0.0,0.0
257.0230664944147,0.0,0.0,0.0
257.0230664944147,0.0,0.0,0.0
257.0230664944147,0.0,0.0,0.0
257.0230664944147,0.0,0.0,0.0
257.0230664944147,0.0,0.0,0.0
257.0230664944147,0.0,0.0,0.0
257.0230664944147,0.0,0.0,0.0
257.0230664944147,0.0,0.0,0.0
257.0230664944147,0.0,0.0,0.0
295.59588343871934,0.0,0.0,0.0
295.59588343871934,0.0,0.0,0.0
295.59588343871934,0.0,0.0,0.0
295.59588343871934,0.0,0.0,0.0
295.59588343871934,0.0,0.0,0.0
253.79468054739334,0.0,0.0,0.0
247.81212351351022,0.0,0.0,0.0
233.95439432199422,0.0,0.0,0.0
231.05462084002778,0.0,0.0,0.0
217.53248966061463,0.0,0.0,0.0
217.53248966061463,0.0,0.0,0.0
217.53248966061463,0.0,0.0,0.0
217.53248966061463,0.0,0.0,0.0
277.539034636913,0.0,0.0,0.0
277.539034636913,0.0,0.0,0.0
277.539034636913,0.0,0.0,0.0
277.539034636913,0.0,0.0,0.0
274.2900448152158,0.0,0.0,0.0
254.76287786521758,0.0,0.0,0.0
245.270128648173,0.0,0.0,0.0
245.270128648173,0.0,0.0,0.0
245.270128648173,0.0,0.0,0.0
245.270128648173,0.0,0.0,0.0
245.270128648173,0.0,0.0,0.0
247.54446338312508,0.0,0.0,0.0
277.03156950737497,0.0,0.0,0.0
277.03156950737497,0.0,0.0,0.0
277.03156950737497,0.0,0.0,0.0
275.7730479307936,0.0,0.0,0.0
231.9093874976816,0.0,0.0,0.0
211.13380936475633,0.0,0.0,0.0
182.6008630262404,0.0,0.0,0.0
159.47713755477363,0.0,0.0,0.0
146.67448172778978,0.0,0.0,0.0
146.67448172778978,0.0,0.0,0.0
146.67448172778978,0.0,0.0,0.0
146.67448172778978,0.0,0.0,0.0
151.90703494134962,0.0,0.0,0.0
130.8919497851485,0.0,0.0,0.0
94.54480163416214,0.0,0.0,0.0
79.20644102613309,0.0,0.0,0.0
65.19856216942786,0.0,0.0,0.0
55.43351022375538,0.0,0.0,0.0
53.60204790078324,0.0,0.0,0.0
52.41790886086226,0.0,0.0,0.0
52.21421891048149,0.0,0.0,0.0
52.21421891048149,0.0,0.0,0.0
52.21421891048149,0.0,0.0,0.0
53.56874172024589,0.0,0.0,0.0
59.41000814571434,0.0,0.0,0.0
69.3013327341,0.0,0.0,0.0
82.15065533283094,0.0,0.0,0.0
82.15065533283094,0.0,0.0,0.0
75.10001719849215,0.0,0.0,0.0
74.64391314226017,0.0,0.0,0.0
74.64391314226017,0.0,0.0,0.0
74.07108302403478,0.0,0.0,0.0
74.07108302403478,0.0,0.0,0.0
74.07108302403478,0.0,0.0,0.0
74.07108302403478,0.0,0.0,0.0
103.24229506965344,0.0,0.0,0.0
138.1408046815276,0.0,0.0,0.0
138.1408046815276,0.0,0.0,0.0
138.1408046815276,0.0,0.0,0.0
138.1408046815276,0.0,0.0,0.0
130.4426584221366,0.0,0.0,0.0
130.4426584221366,0.0,0.0,0.0
130.4426584221366,0.0,0.0,0.0
130.4426584221366,0.0,0.0,0.0
130.4426584221366,0.0,0.0,0.0
156.61776537582233,0.0,0.0,0.0
156.61776537582233,0.0,0.0,0.0
208.9194866030418,0.0,0.0,0.0
208.9194866030418,0.0,0.0,0.0
222.3582918847986,0.0,0.0,0.0
222.3582918847986,0.0,0.0,0.0
222.3582918847986,0.0,0.0,0.0
222.3582918847986,0.0,0.0,0.0
192.43387432209846,0.0,0.0,0.0
181.2954407833241,0.0,0.0,0.0
178.4771132500298,0.0,0.0,0.0
178.4771132500298,0.0,0.0,0.0
178.4771132500298,0.0,0.0,0.0
178.4771132500298,0.0,0.0,0.0
235.20312313109093,0.0,0.0,0.0
248.42085077193204,0.0,0.0,0.0
248.42085077193204,0.0,0.0,0.0
248.42085077193204,0.0,0.0,0.0
248.42085077193204,0.0,0.0,0.0
232.40654937200952,0.0,0.0,0.0
205.6919435571266,0.0,0.0,0.0
184.0423347108978,0.0,0.0,0.0
170.86100458705934,0.0,0.0,0.0
162.97233273243276,0.0,0.0,0.0
162.97233273243276,0.0,0.0,0.0
162.97233273243276,0.0,0.0,0.0
162.97233273243276,0.0,0.0,0.0
189.40797130051283,0.0,0.0,0.0
189.40797130051283,0.0,0.0,0.0
189.40797130051283,0.0,0.0,0.0
185.75301260691387,0.0,0.0,0.0
163.22319683721818,0.0,0.0,0.0
163.22319683721818,0.0,0.0,0.0
163.22319683721818,0.0,0.0,0.0
160.09339405030977,0.0,0.0,0.0
160.09339405030977,0.0,0.0,0.0
160.09339405030977,0.0,0.0,0.0
160.09339405030977,0.0,0.0,0.0
167.02579094535616,0.0,0.0,0.0
187.18513168554324,0.0,0.0,0.0
187.18513168554324,0.0,0.0,0.0
164.91707210941573,0.0,0.0,0.0
139.05994403697426,0.0,0.0,0.0
112.97996603356813,0.0,0.0,0.0
95.11270981839391,0.0,0.0,0.0
82.62199104456148,0.0,0.0,0.0
82.62199104456148,0.0,0.0,0.0
82.62199104456148,0.0,0.0,0.0
82.62199104456148,0.0,0.0,0.0
86.36764455459031,0.0,0.0,0.0
123.49626475958748,0.0,0.0,0.0
137.2646286989376,0.0,0.0,0.0
137.2646286989376,0.0,0.0,0.0
137.2646286989376,0.0,0.0,0.0
137.2646286989376,0.0,0.0,0.0
126.1717024233876,0.0,0.0,0.0
106.70773661687292,0.0,0.0,0.0
77.04159968215482,0.0,0.0,0.0
62.873447904241,0.0,0.0,0.0
61.60433138313545,0.0,0.0,0.0
61.60433138313545,0.0,0.0,0.0
61.60433138313545,0.0,0.0,0.0
91.15360226491181,0.0,0.0,0.0
95.62346721069969,0.0,0.0,0.0
95.62346721069969,0.0,0.0,0.0
95.62346721069969,0.0,0.0,0.0
82.35653588361964,0.0,0.0,0.0
56.846565253755045,0.0,0.0,0.0
53.27655422732474,0.0,0.0,0.0
50.963285106306486,0.0,0.0,0.0
49.689314100585726,0.0,0.0,0.0
49.689314100585726,0.0,0.0,0.0
49.689314100585726,0.0,0.0,0.0
51.527934948333254,0.0,0.0,0.0
56.51989075971447,0.0,0.0,0.0
83.9427910704518,0.0,0.0,0.0
85.67771679091413,0.0,0.0,0.0
85.67771679091413,0.0,0.0,0.0
78.4709986169708,0.0,0.0,0.0
71.45656612005182,0.0,0.0,0.0
64.04108425651489,0.0,0.0,0.0
64.04108425651489,0.0,0.0,0.0
64.04108425651489,0.0,0.0,0.0
64.99877134930621,0.0,0.0,0.0
66.73873127736248,0.0,0.0,0.0
69.00758362418216,0.0,0.0,0.0
89.35085374954443,0.0,0.0,0.0
186.3647621929631,0.0,0.0,0.0
186.3647621929631,0.0,0.0,0.0
224.36498885894662,0.0,0.0,0.0
224.36498885894662,0.0,0.0,0.0
224.36498885894662,0.0,0.0,0.0
224.36498885894662,0.0,0.0,0.0
224.36498885894662,0.0,0.0,0.0
