Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
A,Hydro_A,1,1,1,0.0
B,Hydro_B,2,1,2,0.0
C,Hydro_C,3,1,3,0.0
D,Hydro_D,4,1,4,0.0
E,Hydro_E,5,1,5,0.0
F,Hydro_F,6,1,6,0.0
G,Hydro_G,7,1,7,0.0
A,Combined_Cycle_Natural_Gas_A,1,1,8,0.0
A,Combustion_Turbine_Natural_Gas_A,1,1,9,0.0
A,Steam_Turbine_Coal_A,1,1,10,0.0
B,Combined_Cycle_Natural_Gas_B,2,1,11,0.0
C,Combined_Cycle_Natural_Gas_C,3,1,12,0.0
C,Steam_Turbine_Coal_C,3,1,13,0.0
C,Steam_Turbine_Fuel_Oil_6_C,3,1,14,0.0
C,Steam_Turbine_Natural_Gas_C,3,1,15,0.0
D,Combined_Cycle_Natural_Gas_D,4,1,16,0.0
E,Combined_Cycle_Natural_Gas_E,5,1,17,0.0
F,Combined_Cycle_Natural_Gas_F,6,1,18,0.0
G,Combined_Cycle_Natural_Gas_G,7,1,19,0.0
G,Jet_Engine_Natural_Gas_G,7,1,20,0.0
G,Steam_Turbine_Fuel_Oil_6_G,7,1,21,0.0
G,Steam_Turbine_Natural_Gas_G,7,1,22,0.0
J,Combined_Cycle_Natural_Gas_J,10,1,23,0.0
J,Combustion_Turbine_Natural_Gas_J,10,1,24,0.0
J,Steam_Turbine_Fuel_Oil_2_J,10,1,25,0.0
J,Steam_Turbine_Fuel_Oil_6_J,10,1,26,0.0
J,Steam_Turbine_Natural_Gas_J,10,1,27,0.0
K,Combined_Cycle_Natural_Gas_K,11,1,28,0.0
K,Combustion_Turbine_Fuel_Oil_2_K,11,1,29,0.0
K,Combustion_Turbine_Natural_Gas_K,11,1,30,0.0
K,Jet_Engine_Fuel_Oil_2_K,11,1,31,0.0
K,Jet_Engine_Natural_Gas_K,11,1,32,0.0
K,Steam_Turbine_Fuel_Oil_6_K,11,1,33,0.0
K,Steam_Turbine_Natural_Gas_K,11,1,34,0.0
B,Nuclear_B,2,1,35,0.0
C,Nuclear_C,3,1,36,0.0
A,Wind_Land_A,1,1,37,0.0
B,Wind_Land_B,2,1,38,0.0
C,Wind_Land_C,3,1,39,0.0
D,Wind_Land_D,4,1,40,0.0
E,Wind_Land_E,5,1,41,0.0
F,Wind_Land_F,6,1,42,0.0
G,Wind_Land_G,7,1,43,0.0
H,Wind_Land_H,8,1,44,0.0
K,Wind_Land_K,11,1,45,0.0
J,Wind_Offshore_J,11,1,46,0.0
K,Wind_Offshore_K,11,1,47,0.0
A,Solar_BTM_A,11,1,48,0.0
B,Solar_BTM_B,11,1,49,0.0
C,Solar_BTM_C,11,1,50,0.0
D,Solar_BTM_D,11,1,51,0.0
E,Solar_BTM_E,11,1,52,0.0
F,Solar_BTM_F,11,1,53,0.0
G,Solar_BTM_G,11,1,54,0.0
H,Solar_BTM_H,11,1,55,0.0
I,Solar_BTM_I,11,1,56,0.0
J,Solar_BTM_J,11,1,57,0.0
K,Solar_BTM_K,11,1,58,0.0
A,Solar_Utility_A,11,1,59,0.0
B,Solar_Utility_B,11,1,60,0.0
C,Solar_Utility_C,11,1,61,0.0
E,Solar_Utility_E,11,1,62,0.0
F,Solar_Utility_F,11,1,63,0.0
G,Solar_Utility_G,11,1,64,0.0
K,Solar_Utility_K,11,1,65,0.0
A,Battery_A,1,1,66,0.0
B,Battery_B,2,1,67,0.0
C,Battery_C,3,1,68,0.0
D,Battery_D,4,1,69,0.0
E,Battery_E,5,1,70,0.0
F,Battery_F,6,1,71,0.0
G,Battery_G,7,1,72,0.0
H,Battery_H,8,1,73,0.0
I,Battery_I,9,1,74,0.0
J,Battery_J,10,1,75,0.0
K,Battery_K,11,1,76,0.0
