Resource,CombinedCycle_NaturalGas_A_New,CombinedCycle_NaturalGas_A_Existing,CombustionTurbine_NaturalGas_A_New,CombustionTurbine_NaturalGas_A_Existing,SteamTurbine_NaturalGas_A_New,SteamTurbine_NaturalGas_A_Existing,CombinedCycle_NaturalGas_B_New,CombinedCycle_NaturalGas_B_Existing,SteamTurbine_NaturalGas_B_New,SteamTurbine_NaturalGas_B_Existing,CombinedCycle_NaturalGas_C_New,CombinedCycle_NaturalGas_C_Existing,SteamTurbine_FuelOil6_C_New,SteamTurbine_FuelOil6_C_Existing,SteamTurbine_NaturalGas_C_New,SteamTurbine_NaturalGas_C_Existing,CombinedCycle_NaturalGas_D_New,CombinedCycle_NaturalGas_D_Existing,CombinedCycle_NaturalGas_E_New,CombinedCycle_NaturalGas_E_Existing,CombinedCycle_NaturalGas_F_New,CombinedCycle_NaturalGas_F_Existing,CombinedCycle_NaturalGas_G_New,CombinedCycle_NaturalGas_G_Existing,CombustionTurbine_NaturalGas_G_New,CombustionTurbine_NaturalGas_G_Existing,SteamTurbine_NaturalGas_G_New,SteamTurbine_NaturalGas_G_Existing,CombinedCycle_NaturalGas_J_New,CombinedCycle_NaturalGas_J_Existing,CombustionTurbine_NaturalGas_J_New,CombustionTurbine_NaturalGas_J_Existing,SteamTurbine_NaturalGas_J_New,SteamTurbine_NaturalGas_J_Existing,CombinedCycle_NaturalGas_K_New,CombinedCycle_NaturalGas_K_Existing,CombustionTurbine_FuelOil2_K_New,CombustionTurbine_FuelOil2_K_Existing,CombustionTurbine_NaturalGas_K_New,CombustionTurbine_NaturalGas_K_Existing,SteamTurbine_NaturalGas_K_New,SteamTurbine_NaturalGas_K_Existing,CombinedCycle_NaturalGas_H_New,CombustionTurbine_NaturalGas_H_New,CombustionTurbine_FuelOil2_H_New,SteamTurbine_NaturalGas_H_New,SteamTurbine_FuelOil6_H_New,CombinedCycle_NaturalGas_I_New,CombustionTurbine_NaturalGas_I_New,CombustionTurbine_FuelOil2_I_New,SteamTurbine_NaturalGas_I_New,SteamTurbine_FuelOil6_I_New,Nuclear_A_New,Nuclear_B_New,Nuclear_B_Existing,Nuclear_C_New,Nuclear_C_Existing,Nuclear_D_New,Nuclear_E_New,Nuclear_F_New,Nuclear_G_New,Nuclear_H_New,Nuclear_I_New,Nuclear_J_New,Nuclear_K_New,Total
t711,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.824553233294867,0.0,1.1970408945011513,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.359094127796018
t712,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.824553233294867,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108953233294868
t713,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.824553233294867,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108953233294868
t714,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.824553233294867,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108953233294868
t715,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932400000000001
t716,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932400000000001
t717,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,0.8466731601455149,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.832173160145516
t718,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,0.5228783274946257,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.508378327494626
t719,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.2477402974729292,0.0,0.3229129707106676,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.908153268183597
t720,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,1.5291125974007092,0.0,0.3229129707106676,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.189525568111376
t721,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,1.5291125974007092,0.0,0.0759285232667635,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.942541120667473
t722,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,1.5291125974007092,0.0,0.0759285232667635,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.942541120667473
t723,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,1.5291125974007092,0.0,0.0759285232667635,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.942541120667473
t724,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,1.5291125974007092,0.0,0.12294761392670965,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.989560211327419
t725,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,1.9465698709966162,0.0,0.12294761392670965,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.407017484923326
t726,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,1.9465698709966162,0.0,0.19908349484373666,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.483153365840353
t727,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.394552334029592,0.0,0.9427676103291025,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.674819944358694
t728,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.394552334029592,0.0,0.9427676103291025,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.674819944358694
t729,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.152735132413359,0.0,0.9427676103291025,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.433002742742461
t730,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.152735132413359,0.0,1.2359395383792318,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.726174670792592
t731,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.152735132413359,0.0,1.2359395383792318,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.726174670792592
t732,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.2359395383792318,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.221439538379233
t733,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.2359395383792318,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.221439538379233
t734,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932400000000001
t735,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932400000000001
t736,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932400000000001
t737,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932400000000001
t738,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932400000000001
t739,0.0,0.44039999999999996,0.0,0.047299999999999995,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.979700000000001
t740,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932400000000001
t741,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932400000000001
t742,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.5918479824668412,0.0,1.202343317017783,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.131691299484624
t743,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.2870047795494264,0.0,0.8694627702206941,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.49396754977012
t744,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.2870047795494264,0.0,0.8694627702206941,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.49396754977012
t745,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.2870047795494264,0.0,0.8694627702206941,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.49396754977012
t746,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.2870047795494264,0.0,1.407881628636052,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.032386408185479
t747,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.0978077390841423,0.0,1.407881628636052,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.843189367720194
t748,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.0978077390841423,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.382207739084143
t749,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,2.0978077390841423,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.382207739084143
t750,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.4046649609755995,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6890649609756
t751,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932400000000001
t752,0.0,0.44039999999999996,0.0,0.047299999999999995,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.5073770585864378,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.487077058586438
t753,0.0,0.44039999999999996,0.0,0.047299999999999995,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,1.1293381113237346,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.109038111323736
t754,0.0,0.44039999999999996,0.0,0.047299999999999995,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,3.648,0.0,1.9469,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,1.1950999999999998,0.0,0.0,0.0,0.8066,0.0,0.0,0.0,0.5915199504618747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.766319950461876
