Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Wind_Land_C,3,None,1923.0,0.0,0.0,0.0,1923.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_Land_D,4,None,1935.0,0.0,0.0,3608.8901383486123,5543.890138348612,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_Land_E,5,None,1821.0,0.0,0.0,0.0,1821.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_Land_F,6,None,1864.0,0.0,0.0,1013.0375585932678,2877.037558593268,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_Land_G,7,None,606.0,0.0,0.0,0.0,606.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_Land_H,8,None,303.0,0.0,0.0,0.0,303.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_Land_K,11,None,121.0,0.0,0.0,0.0,121.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_Offshore_J,11,None,8250.0,0.0,0.0,0.0,8250.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind_Offshore_K,11,None,6488.0,0.0,0.0,0.0,6488.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_BTM_A,11,None,1297.0,0.0,0.0,0.0,1297.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_BTM_B,11,None,402.0,0.0,0.0,0.0,402.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_BTM_C,11,None,1098.0,0.0,0.0,0.0,1098.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_BTM_D,11,None,127.0,0.0,0.0,0.0,127.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_BTM_E,11,None,1240.0,0.0,0.0,0.0,1240.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_BTM_F,11,None,2154.0,0.0,0.0,0.0,2154.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_BTM_G,11,None,2270.0,0.0,0.0,0.0,2270.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_BTM_H,11,None,202.0,0.0,0.0,0.0,202.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_BTM_I,11,None,299.0,0.0,0.0,0.0,299.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_BTM_J,11,None,1676.0,0.0,0.0,0.0,1676.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_BTM_K,11,None,2883.0,0.0,0.0,0.0,2883.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_Utility_A,11,None,14440.0,0.0,0.0,0.0,14440.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_Utility_B,11,None,1648.0,0.0,0.0,0.0,1648.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_Utility_C,11,None,9006.0,0.0,0.0,0.0,9006.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_Utility_E,11,None,5698.0,0.0,0.0,0.0,5698.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_Utility_F,11,None,15647.0,0.0,0.0,0.0,15647.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_Utility_G,11,None,3353.0,0.0,0.0,0.0,3353.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar_Utility_K,11,None,1441.0,0.0,0.0,0.0,1441.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_A,1,None,2479.0,0.0,0.0,0.0,2479.0,-0.0,9916.0,0.0,0.0,9916.0,0.0,0.0,0.0,0.0
Battery_B,2,None,10.0,0.0,0.0,0.0,10.0,-0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
Battery_C,3,None,2538.0,0.0,0.0,0.0,2538.0,-0.0,10152.0,0.0,0.0,10152.0,0.0,0.0,0.0,0.0
Battery_D,4,None,2562.0,0.0,0.0,0.0,2562.0,-0.0,10248.0,0.0,0.0,10248.0,0.0,0.0,0.0,0.0
Battery_E,5,None,892.0,0.0,0.0,0.0,892.0,-0.0,3568.0,0.0,0.0,3568.0,0.0,0.0,0.0,0.0
Battery_F,6,None,4727.0,0.0,0.0,0.0,4727.0,-0.0,18908.0,0.0,0.0,18908.0,0.0,0.0,0.0,0.0
Battery_G,7,None,150.0,0.0,0.0,0.0,150.0,-0.0,600.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0
Battery_H,8,None,140.0,0.0,0.0,0.0,140.0,-0.0,560.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0
Battery_I,9,None,140.0,0.0,0.0,0.0,140.0,-0.0,560.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0
Battery_J,10,None,4263.0,0.0,0.0,0.0,4263.0,-0.0,17052.0,0.0,0.0,17052.0,0.0,0.0,0.0,0.0
Battery_K,11,None,1924.0,0.0,0.0,0.0,1924.0,-0.0,7696.0,0.0,7696.0,15392.0,0.0,0.0,0.0,0.0
Total,n/a,n/a,152392.90000000002,25650.0,0.0,11781.729634885023,138524.629634885,n/a,79300.0,0.0,7696.0,86996.0,0.0,0.0,0.0,0.0
