Fuel,AnnualSum
NG_A2E,1.3092650506136863e8
NG_F2I,1.65043873885961e8
NG_J,1.9834473352591923e8
NG_K,5.1193676795112774e7
FO2_UPNY,0.0
FO2_DSNY,135930.28398162668
FO6_UPNY,0.0
FO6_DSNY,0.0
coal_NY,0.0
None,0.0
