region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
A,CombinedCycle_NaturalGas_A_New,1,1,11,0.0,0.0,0.0,0.0,0.0,0.0,-5.454308092589039e-10,-3.3450860932476813e-9,0.0,0.0,0.0,0.0,4.805455662856566e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.805455662856566e-8,-3.890516902506585e-9,5.194507353107225e-8
A,CombustionTurbine_NaturalGas_A_Existing,1,1,12,0.0,0.0,0.0,1.22034e6,0.0,0.0,478591.44095592044,2.6031811096506435e6,0.0,0.0,0.0,0.0,9.60184266486842e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.60184266486842e6,4.302112550606564e6,5.299730114261856e6
A,CombustionTurbine_NaturalGas_A_New,1,1,13,1.8711735070356494e8,0.0,0.0,1.9319005680530675e7,0.0,0.0,1.044411835943284e7,5.6527929423896655e7,0.0,0.0,0.0,0.0,2.7340840416742593e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7340840416742593e8,2.734084041674251e8,8.344650268554688e-7
A,SteamTurbine_NaturalGas_A_Existing,1,1,14,0.0,0.0,0.0,8.262128571428573e6,0.0,0.0,186927.32698447103,399513.8173803271,0.0,0.0,0.0,0.0,1.0803256461114429e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0803256461114429e7,8.848569715793371e6,1.9546867453210577e6
B,CombinedCycle_NaturalGas_B_Existing,2,1,15,0.0,0.0,0.0,7.813275555555555e6,0.0,0.0,3.8663485499758804e6,2.218341709358363e7,0.0,0.0,0.0,0.0,5.791333752108873e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.791333752108873e7,3.386304119911507e7,2.405029632197366e7
B,CombinedCycle_NaturalGas_B_New,2,1,16,0.0,0.0,0.0,0.0,0.0,0.0,1.556561273581859e-10,8.170212209726968e-10,0.0,0.0,0.0,0.0,9.726773483308827e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.726773483308827e-10,9.726773483308827e-10,0.0
B,SteamTurbine_NaturalGas_B_Existing,2,1,17,0.0,0.0,0.0,0.0,0.0,0.0,8.49131845720258e-10,2.3173211029887834e-9,0.0,0.0,0.0,0.0,7.654114526391128e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.654114526391128e-9,3.1664529487090412e-9,4.487661577682087e-9
C,CombinedCycle_NaturalGas_C_Existing,3,1,18,0.0,0.0,0.0,9.269465333333331e7,0.0,0.0,4.6204523257962905e7,2.6633058058122757e8,0.0,0.0,0.0,0.0,7.197285660692143e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.197285660692143e8,4.052297571725238e8,3.1449880889669055e8
C,CombinedCycle_NaturalGas_C_New,3,1,19,0.0,0.0,0.0,0.0,0.0,0.0,-9.965703008150241e-12,-6.852031987441333e-10,0.0,0.0,0.0,0.0,-5.096767673108612e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.096767673108612e-10,-6.951689017522835e-10,1.8549213444142235e-10
C,SteamTurbine_FuelOil6_C_Existing,3,1,20,0.0,0.0,0.0,1.999348972393431e7,0.0,0.0,108513.0290799737,888816.5197973923,0.0,0.0,0.0,0.0,2.0990819272811692e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0990819272811692e7,2.0990819272811677e7,1.4901161193847656e-8
C,SteamTurbine_NaturalGas_C_Existing,3,1,21,0.0,0.0,0.0,1.7308928571428575e7,0.0,0.0,489648.0689865605,1.0532423857119316e6,0.0,0.0,0.0,0.0,1.9613537252914935e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9613537252914935e7,1.8851819026127066e7,761718.2267878689
D,CombinedCycle_NaturalGas_D_Existing,4,1,22,0.0,0.0,0.0,2.2555524444444448e7,0.0,0.0,1.1596942243297318e7,6.669077989353102e7,0.0,0.0,0.0,0.0,1.8291197103243494e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8291197103243494e8,1.0084324658127278e8,8.206872445116216e7
D,CombinedCycle_NaturalGas_D_New,4,1,23,5.7991817582490094e7,0.0,0.0,7.006347564182069e6,0.0,0.0,6.955179016252861e6,4.006991549851625e7,0.0,0.0,0.0,0.0,1.1202325966144584e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1202325966144584e8,1.1202325966144127e8,4.5746564865112305e-6
E,CombinedCycle_NaturalGas_E_Existing,5,1,24,0.0,0.0,0.0,1.3729955555555552e7,0.0,0.0,6.662780619936807e6,3.836424229522499e7,0.0,0.0,0.0,0.0,1.0731510995847419e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0731510995847419e8,5.875697847071735e7,4.855813148775684e7
E,CombinedCycle_NaturalGas_E_New,5,1,25,0.0,0.0,0.0,0.0,0.0,0.0,4.059795022363724e-10,2.2708048902347527e-9,0.0,0.0,0.0,0.0,-1.59685859576393e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.59685859576393e-8,2.676784392471125e-9,-1.8645370350110426e-8
F,CombinedCycle_NaturalGas_F_Existing,6,1,26,0.0,0.0,0.0,2.1223253333333328e8,0.0,0.0,4.988055055544345e7,3.455438305248706e8,0.0,0.0,0.0,0.0,1.275115159412811e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275115159412811e9,6.076569144136473e8,6.674582449991637e8
F,CombinedCycle_NaturalGas_F_New,6,1,27,0.0,0.0,0.0,0.0,0.0,0.0,2.447567789300041e-10,1.7335084773729924e-9,0.0,0.0,0.0,0.0,1.9992023291778045e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9992023291778045e-9,1.9782652563029965e-9,2.0937072874808015e-11
