generators,Capacity_MW,Capacity_MWh,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,OperatingRegulationRevenue,OperatingReserveRevenue,Operating_Revenue,Operating_Cost,operating_profit_per_gen,total_inv_costs,diff
NG 2-on-1 Combined Cycle (F-Frame),33500.06493196307,0.0,3.766880574549629e9,0.0,1.7336283602290888e9,0.0,4.568823411377501e8,4.715733191263342e9,0.0,1.151886463230483e8,0.0,1.1258981625019197e10,748578.562603489,715961.7420904919,1.126044616532389e10,7.021432538953229e9,4.239013626370661e9,3.766880574549629e9,4.721330518210316e8
NG Combustion Turbine (F-Frame),11691.107283499925,0.0,1.1826856849502404e9,0.0,4.5770685014902204e8,0.0,2.5961251355373543e7,1.45397970847357e8,0.0,1.1218365363107558e7,0.0,1.9767011196998086e9,277735.4112576933,881238.6480884266,1.9778600937591548e9,6.402844377148602e8,1.3375756560442946e9,1.1826856849502404e9,1.5488997109405422e8
Land-Based Wind - Class 1 - Technology 1,53880.598664410434,0.0,4.487678917988763e9,0.0,1.7480508092506917e9,0.0,1.7893622357566487e7,0.0,0.0,0.0,0.0,6.25979867699789e9,0.0,0.0,6.25979867699789e9,1.7659444316082582e9,4.493854245389632e9,4.487678917988763e9,6.1753274008693695e6
Utility PV - Class 1,23917.77007233342,0.0,1.7731238894179597e9,0.0,5.684202390994833e8,0.0,5.640380540124597e6,0.0,0.0,0.0,0.0,2.431302069152332e9,0.0,0.0,2.431302069152332e9,5.740606196396079e8,1.8572414495127242e9,1.7731238894179597e9,8.411756009476447e7
Utility-Scale Battery Storage - 4Hr,16257.361896154098,65029.44758461639,4.2691389957258785e8,0.0,1.9577115195348766e8,0.0,0.0,0.0,0.0,0.0,4.4647103672542715e8,1.1409460739954517e9,8.96934216934107e6,5.729192143823e6,1.1556446083086157e9,6.422421886789148e8,5.134024196297009e8,4.2691389957258785e8,8.648852005711305e7
