generators,Capacity_MW,Capacity_MWh,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,OperatingRegulationRevenue,OperatingReserveRevenue,Operating_Revenue,Operating_Cost,operating_profit_per_gen,total_inv_costs,diff
NG 2-on-1 Combined Cycle (F-Frame),33852.765345110834,0.0,3.8065396121550856e9,0.0,1.7518806066094856e9,0.0,4.643657501652272e8,4.792973559640957e9,0.0,1.4384325760592023e8,0.0,1.0371739129155449e10,1.26715032306994e6,2.2203721466285135e6,1.0375226651625149e10,7.153063174021589e9,3.2221634776035585e9,3.8065396121550856e9,-5.84376134551527e8
NG Combustion Turbine (F-Frame),10804.577669163382,0.0,1.0930033427447205e9,0.0,4.229992157477464e8,0.0,2.6140410055917718e7,1.4640136283190364e8,0.0,1.743108575767429e7,0.0,1.4920948677787576e9,675462.2119079792,3.7266322798087895e6,1.4964969622704742e9,6.129720743932421e8,8.835248878772321e8,1.0930033427447205e9,-2.0947845486748838e8
Land-Based Wind - Class 1 - Technology 1,54948.39388115297,0.0,4.576614865281233e9,0.0,1.7826933399390843e9,0.0,1.8297399821897186e7,0.0,0.0,0.0,0.0,6.140046189188417e9,0.0,0.0,6.140046189188417e9,1.8009907397609816e9,4.339055449427436e9,4.576614865281233e9,-2.3755941585379696e8
Utility PV - Class 1,21498.363833506442,0.0,1.5937632304895897e9,0.0,5.109215898276767e8,0.0,5.016354630546722e6,0.0,0.0,0.0,0.0,2.170627531863413e9,0.0,0.0,2.170627531863413e9,5.1593794445822346e8,1.6546895874051895e9,1.5937632304895897e9,6.092635691559982e7
Utility-Scale Battery Storage - 6Hr,13085.191242727506,78511.14745636504,4.761709623065359e8,0.0,2.215140662703562e8,0.0,0.0,0.0,0.0,0.0,4.3321216960439205e8,1.0388802389913384e9,7.718340786062911e6,1.2140667983259281e7,1.0587392477606606e9,6.547262358747482e8,4.040130118859124e8,4.761709623065359e8,-7.215795042062348e7
