BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t16,9696.831843379578,0.0,-0.0,0.0,0.0,0.0,0.0,-1090.6443841716148,-12.187459207964455,-8594.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-91.97714714609762,-0.5659278902524463,-2454.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1182.6215313177122,-11.62153131771201,-1171.0
t17,10742.525686207646,0.0,-0.0,0.0,0.0,0.0,0.0,-1298.7628431038238,-12.762843103823778,-9431.0,2693.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2693.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1298.7628431038238,-12.762843103823778,-1286.0
t18,11646.669367475475,0.0,-0.0,0.0,0.0,0.0,0.0,-1407.8346837377374,-13.834683737737437,-10225.0,2920.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2920.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1407.8346837377374,-13.834683737737437,-1394.0
t19,11578.51057627045,0.0,-0.0,0.0,0.0,0.0,0.0,-1399.7552881352253,-13.755288135225316,-10165.0,2903.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2903.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1399.7552881352253,-13.755288135225316,-1386.0
t20,11223.657073543447,0.0,-0.0,0.0,0.0,0.0,0.0,-1356.3285367717226,-13.328536771722655,-9854.0,2815.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2815.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1356.3285367717226,-13.328536771722655,-1343.0
t21,10809.684477412671,0.0,-0.0,0.0,0.0,0.0,0.0,-1306.842238706336,-12.842238706335904,-9490.0,2710.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2710.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1306.842238706336,-12.842238706335904,-1294.0
t22,10231.314903269338,0.0,-0.0,0.0,0.0,0.0,0.0,-1237.157451634669,-12.157451634668842,-8982.0,2565.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2565.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1237.157451634669,-12.157451634668842,-1225.0
t23,9355.040588801541,0.0,-0.0,0.0,0.0,0.0,0.0,-989.7487568825952,-12.291831918945613,-8353.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-160.55519202506838,-0.9878830112820957,-2385.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1150.3039489076637,-11.303948907663518,-1139.0
t24,8352.573592667488,0.0,-0.0,0.0,0.0,0.0,0.0,-692.0152588155703,-12.558333851920308,-7648.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-360.3260184116338,-2.2170566247162826,-2184.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1052.341277227204,-10.341277227204026,-1042.0
t25,7504.057261446941,0.0,-0.0,0.0,0.0,0.0,0.0,-440.2570932052952,-12.800168241645492,-7051.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-530.2803035464736,-3.2627714898767133,-2013.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,970.5373967517687,-9.53739675176878,-961.0
