Zone,1,2,3,Total
AnnualSum,2.7733582676501688e7,1.792815879314617e7,13206.417782706212,4.567494788743056e7
t1,3406.3628863282,962.0513779973727,0.0,4368.414264325573
t2,3167.590384508204,962.0513779973727,0.0,4129.6417625055765
t3,2989.8923351499375,962.0513779973727,0.0,3951.94371314731
t4,2900.4456333303146,962.0513779973727,0.0,3862.4970113276872
t5,2886.6576570249767,962.0513779973727,0.0,3848.7090350223493
t6,2955.2111278988855,962.0513779973727,0.0,3917.262505896258
t7,3102.1811565667776,962.0513779973727,0.0,4064.2325345641502
t8,3234.973794863091,962.0513779973727,0.0,4197.0251728604635
t9,3459.9504952305306,962.0513779973727,0.0,4422.001873227903
t10,3680.9944810654893,962.0513779973727,0.0,4643.045859062862
t11,3813.7792942145834,962.0513779973727,0.0,4775.830672211956
t12,3863.0321276372147,962.0513779973727,0.0,4825.083505634588
t13,3886.67054398165,962.0513779973727,0.0,4848.721921979023
t14,3842.935193438718,962.0513779973727,0.0,4804.986571436091
t15,3795.2623066295473,962.0513779973727,0.0,4757.31368462692
t16,3822.8382592402227,962.0513779973727,0.0,4784.889637237596
t17,4235.08820792262,1017.3809296000001,0.0,5252.46913752262
t18,4591.5340154221885,1103.1386240000002,0.0,5694.672639422189
t19,4564.663379844442,1096.7162416,0.0,5661.379621444442
t20,4424.7674253140585,1063.470968,0.0,5488.238393314059
t21,4261.564607700368,1023.8033120000001,0.0,5285.367919700368
t22,4033.5506159423103,969.024168,0.0,5002.57478394231
t23,3688.091910558647,962.0513779973727,0.0,4650.14328855602
t24,3292.8835323641415,962.0513779973727,0.0,4254.934910361514
t25,2958.368017712344,962.0513779973727,0.0,3920.419395709717
t26,2755.844022875882,962.0513779973727,0.0,3717.8954008732544
t27,2658.5162416968606,962.0513779973727,0.0,3620.567619694233
t28,2636.4577719658837,962.0513779973727,0.0,3598.5091499632563
t29,2716.0443902788898,962.0513779973727,0.0,3678.0957682762623
t30,2918.5683851153526,962.0513779973727,0.0,3880.619763112725
t31,3222.7501148767747,962.0513779973727,0.0,4184.801492874148
t32,3472.1663500696286,962.0513779973727,0.0,4434.217728067001
t33,3777.9280264445097,962.0513779973727,0.0,4739.979404441882
t34,4073.45450836171,978.8466352,0.0,5052.30114356171
t35,4257.606599405929,1023.0477376,0.0,5280.654337005929
t36,4333.487676539167,1040.803736,0.0,5374.291412539167
t37,4326.367956697512,1039.2925872,0.0,5365.660543897513
t38,4298.314613719766,1032.8702048000002,0.0,5331.184818519767
t39,4284.879295930894,1029.47012,0.0,5314.349415930894
t40,4350.084705875259,1044.9593952000002,0.0,5395.044101075259
t41,4623.98615137215,1273.0981932224042,0.0,5897.084344594554
t42,4623.98615137215,1773.0886502515941,0.0,6397.074801623744
t43,4623.98615137215,1718.0430688146157,0.0,6342.029220186765
t44,4623.98615137215,1568.20545867802,0.0,6192.191610050169
t45,4623.98615137215,1323.1781718538134,0.0,5947.164323225963
t46,4480.881936416769,1076.69352,0.0,5557.575456416769
t47,4086.503415497802,981.8689328,0.0,5068.372348297802
t48,3660.897546866993,962.0513779973727,0.0,4622.948924864366
t49,3364.991132264968,962.0513779973727,0.0,4327.042510262341
t50,3217.237453730836,962.0513779973727,0.0,4179.288831728209
t51,3146.3155646434684,962.0513779973727,0.0,4108.366942640841
t52,3154.9802938691073,962.0513779973727,0.0,4117.03167186648
t53,3303.5272657369987,962.0513779973727,0.0,4265.578643734371
t54,3744.823762393458,962.0513779973727,0.0,4706.875140390831
t55,4422.40201051406,1062.3376064000001,0.0,5484.73961691406
t56,4623.98615137215,1291.0699044145751,0.0,5915.056055786725
t57,4623.98615137215,1362.93221062563,0.0,5986.918361997779
t58,4623.98615137215,1403.0687143670873,0.0,6027.054865739237
t59,4623.98615137215,1455.816592246693,0.0,6079.802743618843
t60,4623.98615137215,1465.7600671366447,0.0,6089.746218508794
t61,4623.98615137215,1441.6753582299878,0.0,6065.661509602138
t62,4623.98615137215,1433.2570654489534,0.0,6057.2432168211035
t63,4623.98615137215,1410.7144856996674,0.0,6034.700637071817
t64,4623.98615137215,1492.1302103218597,0.0,6116.116361694009
t65,4623.98615137215,1958.8620912633567,0.0,6582.848242635507
t66,4623.98615137215,2469.1784881521367,0.0,7093.164639524286
t67,4623.98615137215,2482.554792229564,0.0,7106.540943601714
t68,4623.98615137215,2365.5857017018448,0.0,6989.571853073994
t69,4623.98615137215,2142.7307989361,0.0,6766.71695030825
t70,4623.98615137215,1751.6887876415867,0.0,6375.674939013737
t71,4623.98615137215,1229.5288602934734,0.0,5853.515011665623
t72,4344.155518580822,1043.8260336,0.0,5387.981552180822
t73,4109.021806981112,987.5357408000001,0.0,5096.557547781112
t74,3981.235671147213,962.0513779973727,0.0,4943.287049144586
t75,3902.826938500447,962.0513779973727,0.0,4864.8783164978195
t76,3911.496489459845,962.0513779973727,0.0,4873.547867457218
t77,4037.1065632895284,970.1575296,0.0,5007.264092889528
t78,4370.631918358567,1050.248416,0.0,5420.880334358568
t79,4623.98615137215,1538.7650904869786,0.0,6162.751241859129
t80,4623.98615137215,1938.6002680229888,0.0,6562.586419395138
t81,4623.98615137215,1946.6360958343835,0.0,6570.622247206533
t82,4623.98615137215,1929.429314581491,0.0,6553.415465953641
t83,4623.98615137215,1914.9027018556094,0.0,6538.88885322776
t84,4623.98615137215,1852.2189405952292,0.0,6476.205091967379
t85,4623.98615137215,1761.6199932527234,0.0,6385.606144624873
t86,4623.98615137215,1708.10718543384,0.0,6332.09333680599
t87,4623.98615137215,1659.1746017113492,0.0,6283.160753083499
t88,4623.98615137215,1722.6308844201849,0.0,6346.617035792335
t89,4623.98615137215,2156.8673551831666,0.0,6780.853506555317
t90,4623.98615137215,2510.0752440632327,0.0,7134.061395435383
t91,4623.98615137215,2455.7945925655345,0.0,7079.780743937685
t92,4623.98615137215,2294.105860460429,0.0,6918.092011832579
t93,4623.98615137215,2034.547283140702,0.0,6658.533434512852
t94,4623.98615137215,1605.6617938924658,0.0,6229.647945264615
t95,4580.866173380533,1100.8719008000003,0.0,5681.738074180534
t96,4162.770903283819,1000.3805056000001,0.0,5163.151408883819
t97,3868.9342028493943,962.0513779973727,0.0,4830.985580846767
t98,3691.243978638347,962.0513779973727,0.0,4653.29535663572
t99,3601.005801805264,962.0513779973727,0.0,4563.057179802637
t100,3584.8572324336856,962.0513779973727,0.0,4546.908610431058
t101,3702.2693009302247,962.0513779973727,0.0,4664.320678927597
t102,4070.69485776171,978.0910607999999,0.0,5048.78591856171
t103,4623.98615137215,1151.1634998891166,0.0,5775.149651261267
t104,4623.98615137215,1567.050472259926,0.0,6191.036623632076
t105,4623.98615137215,1611.3999181464885,0.0,6235.386069518639
t106,4623.98615137215,1638.1525263013416,0.0,6262.138677673492
t107,4623.98615137215,1610.6396659768486,0.0,6234.625817348999
t108,4623.98615137215,1525.3887864095511,0.0,6149.374937781701
t109,4623.98615137215,1450.8509894411247,0.0,6074.837140813274
t110,4623.98615137215,1421.800677728898,0.0,6045.786829101048
t111,4623.98615137215,1375.1611197941395,0.0,5999.147271166289
t112,4623.98615137215,1412.9999199782242,0.0,6036.986071350374
t113,4623.98615137215,1787.619940747114,0.0,6411.606092119264
t114,4623.98615137215,2197.768788863901,0.0,6821.754940236051
t115,4623.98615137215,2173.6963492360587,0.0,6797.682500608209
t116,4623.98615137215,2022.313696202554,0.0,6646.299847574704
t117,4623.98615137215,1779.201647966079,0.0,6403.187799338229
t118,4623.98615137215,1377.8412883211513,0.0,6001.827439693301
t119,4398.291025536313,1056.6707984000002,0.0,5454.9618239363135
t120,4012.9955783117825,964.4907216,0.0,4977.486299911782
t121,3700.689354316766,962.0513779973727,0.0,4662.740732314139
t122,3530.0839127178974,962.0513779973727,0.0,4492.1352907152705
t123,3442.616215045493,962.0513779973727,0.0,4404.6675930428655
