Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
t47,10365.632485679385,2599.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12964.632485679385
t48,9286.060644078983,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,11832.603719115334
t49,8535.47834129972,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,11082.02141633607
t50,8160.693305201698,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,10707.23638023805
t51,7980.796174886878,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,10527.339249923229
t52,8002.774719772044,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,10549.317794808394
t53,8379.571986453282,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10926.115061489632
t54,9498.943937596376,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12045.487012632726
t55,11217.657073543445,2812.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14029.657073543445
t56,11728.985930177192,3417.4527469818327,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15146.438677159025
t57,11728.985930177192,3607.6717544311455,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15336.657684608337
t58,11728.985930177192,3713.912791029149,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15442.89872120634
t59,11728.985930177192,3853.5360442246133,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15582.521974401805
t60,11728.985930177192,3879.8563507091944,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,15608.842280886387
t61,11728.985930177192,3816.10429953685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,15545.090229714042
t62,11728.985930177192,3793.8211391199943,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,15522.807069297187
t63,11728.985930177192,3734.1510927306886,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15463.13702290788
t64,11728.985930177192,3949.6579299718455,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,15678.643860149037
t65,11728.985930177192,5185.093860414954,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,16914.079790592146
t66,11728.985930177192,6535.897690954423,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,18264.883621131616
t67,11728.985930177192,6571.304671597036,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,18300.290601774228
t68,11728.985930177192,6261.688330631225,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17990.674260808417
t69,11728.985930177192,5671.793006581747,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17400.77893675894
t70,11728.985930177192,4636.7076164612945,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,16365.693546638486
t71,11728.985930177192,3254.5540460171055,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,14983.539976194297
t72,11019.18069992837,2763.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,13782.18069992837
t73,10422.751579083155,2614.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,13036.751579083155
t74,10098.615273263395,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,12645.158348299745
t75,9899.72736748019,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,12446.270442516541
t76,9921.718142948574,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,12468.261217984924
t77,10240.334752169967,2568.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,12808.334752169967
t78,11086.339491133396,2780.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,13866.339491133396
t79,11728.985930177192,4073.10012220366,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,15802.086052380851
t80,11728.985930177192,5131.460960093377,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,16860.44689027057
t81,11728.985930177192,5152.731738487655,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,16881.717668664845
t82,11728.985930177192,5107.185512324109,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,16836.1714425013
t83,11728.985930177192,5068.73367296618,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,16797.71960314337
t84,11728.985930177192,4902.810207956301,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16631.796138133494
t85,11728.985930177192,4662.995446253138,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16391.98137643033
t86,11728.985930177192,4521.347429012523,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16250.333359189715
t87,11728.985930177192,4391.823231997667,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16120.809162174859
t88,11728.985930177192,4559.791555722863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16288.777485900056
t89,11728.985930177192,5709.212369246937,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17438.19829942413
t90,11728.985930177192,6644.151109575,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,18373.137039752193
t91,11728.985930177192,6500.470615641648,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,18229.45654581884
t92,11728.985930177192,6072.481705204488,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17801.46763538168
t93,11728.985930177192,5385.432018715038,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17114.41794889223
t94,11728.985930177192,4250.175214757052,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15979.161144934245
t95,11619.609820773592,2914.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,14533.609820773592
t96,10559.089010393829,2648.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,13207.089010393829
t97,9813.756647289249,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,12360.299722325599
t98,9363.035976535733,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,11909.579051572084
t99,9134.142058649328,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,11680.685133685678
t100,9093.18035661319,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,11639.72343164954
t101,9391.002290837678,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,11937.545365874028
t102,10325.533241176245,2589.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,12914.533241176245
t103,11728.985930177192,3047.121500911403,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,14776.107431088596
t104,11728.985930177192,4147.971324226776,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15876.95725440397
t105,11728.985930177192,4265.363988368288,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15994.34991854548
t106,11728.985930177192,4336.177949653513,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16065.163879830705
t107,11728.985930177192,4263.351606345712,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,15992.337536522904
t108,11728.985930177192,4037.6931415610456,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,15766.679071738237
t109,11728.985930177192,3840.3921293286926,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15569.378059505885
t110,11728.985930177192,3763.4961632604227,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15492.482093437615
t111,11728.985930177192,3640.0415890060317,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15369.027519183224
t112,11728.985930177192,3740.2006208209914,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15469.186550998184
t113,11728.985930177192,4731.81712018595,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16460.80305036314
t114,11728.985930177192,5817.47816989009,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17546.464100067282
t115,11728.985930177192,5753.7585954104825,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17482.744525587674
t116,11728.985930177192,5353.049802117578,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,17082.03573229477
t117,11728.985930177192,4709.5339597690945,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16438.519889946285
t118,11728.985930177192,3647.13597581165,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15376.121905988843
t119,11156.49828233842,2797.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13953.49828233842
t120,10179.175960964942,2553.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12732.175960964942
t121,9386.994672520268,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,11933.537747556618
t122,8954.244928334507,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11500.788003370857
t123,8732.37847766614,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,11278.92155270249
t124,8677.413769578403,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,11223.956844614753
t125,8950.257158917728,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,11496.800233954078
t126,9919.718142948574,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,12466.261217984924
t127,11427.153296059147,2865.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,14292.153296059147
t128,11728.985930177192,3665.3495134680397,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15394.335443645232
t129,11728.985930177192,3792.8211391199943,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15521.807069297187
t130,11728.985930177192,3809.0222947538064,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15538.008224930998
t131,11728.985930177192,3740.2006208209914,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15469.186550998184
t132,11728.985930177192,3508.525104638763,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15237.511034815954
t133,11728.985930177192,3254.5540460171055,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14983.539976194297
t134,11728.985930177192,3120.992702934519,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14849.97863311171
t135,11706.808309779872,2935.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,14641.808309779872
t136,11728.985930177192,2984.381831761632,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14713.367761938824
t137,11728.985930177192,3850.511280179461,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15579.497210356654
t138,11728.985930177192,4681.221365932102,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,16410.207296109293
t139,11728.985930177192,4416.118774437096,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,16145.104704614288
t140,11728.985930177192,3945.620783904119,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15674.60671408131
t141,11728.985930177192,3320.318479212025,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15049.304409389217
t142,11384.054051556006,2855.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,14239.054051556006
t143,10505.950068089434,2635.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13140.950068089434
t144,9467.97762329443,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,12014.52069833078
t145,8597.438437121651,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11143.981512158001
t146,8114.7239848481495,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10661.2670598845
t147,7851.856134342389,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10398.399209378738
t148,7746.902257000473,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10293.445332036823
t149,7848.856134342388,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,10395.399209378738
t150,8243.644176492013,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10790.187251528363
t151,8956.24492833451,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,11502.78800337086
t152,9707.82723111377,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,12254.37030615012
t153,10414.751579083155,2611.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,13025.751579083155
t154,10787.624930710788,2704.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,13491.624930710788
t155,10891.863117518325,2731.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,13622.863117518325
t156,10804.664628512044,2709.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,13513.664628512044
t157,10606.18825489697,2659.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,13265.18825489697
t158,10381.652334580014,2603.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,12984.652334580014
t159,10224.295054368711,2564.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,12788.295054368711
t160,10332.533241176245,2591.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12923.533241176245
t161,11090.359340034025,2780.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,13870.359340034025
t162,11728.985930177192,3091.6476324047867,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,14820.63356258198
