Zone,1,2,3
t1,42.78039999999999,42.25717075768994,43.6295439084274
t2,42.78039999999999,42.25717075768994,43.6295439084274
t3,42.78039999999999,42.25717075768994,43.6295439084274
t4,42.78039999999999,42.25717075768994,43.6295439084274
t5,42.78039999999999,42.25717075768994,43.6295439084274
t6,42.78039999999999,42.25717075768994,43.6295439084274
t7,42.78039999999999,42.25717075768994,43.6295439084274
t8,42.78039999999999,42.25717075768994,43.6295439084274
t9,42.78039999999999,42.25717075768994,43.6295439084274
t10,42.78039999999999,42.25717075768994,43.6295439084274
t11,42.78039999999999,42.25717075768994,43.6295439084274
t12,42.78039999999999,42.25717075768994,43.6295439084274
t13,42.78039999999999,42.25717075768994,43.6295439084274
t14,42.78039999999999,42.25717075768994,43.6295439084274
t15,42.78039999999999,42.25717075768994,43.6295439084274
t16,42.78039999999999,42.25717075768994,43.6295439084274
t17,42.78039999999999,42.374,43.6295439084274
t18,42.78039999999999,42.374,43.6295439084274
t19,42.78039999999999,42.374,43.6295439084274
t20,42.78039999999999,42.374,43.6295439084274
t21,42.78039999999999,42.374,43.6295439084274
t22,42.78039999999999,42.374,43.6295439084274
t23,42.78039999999999,42.25717075768994,43.6295439084274
t24,42.78039999999999,42.25717075768994,43.6295439084274
t25,42.78039999999999,42.25717075768994,43.6295439084274
t26,42.78039999999999,42.25717075768994,43.6295439084274
t27,42.78039999999999,42.25717075768994,43.6295439084274
t28,42.78039999999999,42.25717075768994,43.6295439084274
t29,42.78039999999999,42.25717075768994,43.6295439084274
t30,42.78039999999999,42.25717075768994,43.6295439084274
t31,42.78039999999999,42.25717075768994,43.6295439084274
t32,42.78039999999999,42.25717075768994,43.6295439084274
t33,42.78039999999999,42.25717075768994,43.6295439084274
t34,42.78039999999999,42.374,43.6295439084274
t35,42.78039999999999,42.374,43.6295439084274
t36,42.78039999999999,42.374,43.6295439084274
t37,42.78039999999999,42.374,43.6295439084274
t38,42.78039999999999,42.374,43.6295439084274
t39,42.78039999999999,42.374,43.6295439084274
t40,42.78039999999999,42.374,43.6295439084274
t41,42.89867582462585,42.374,43.750167378142955
t42,42.89867582462585,42.374,43.750167378142955
t43,42.89867582462585,42.374,43.750167378142955
t44,42.89867582462585,42.374,43.750167378142955
t45,42.89867582462585,42.374,43.750167378142955
t46,42.78039999999999,42.374,43.6295439084274
t47,42.78039999999999,42.374,43.6295439084274
t48,42.78039999999999,42.25717075768994,43.6295439084274
t49,42.78039999999999,42.25717075768994,43.6295439084274
t50,42.78039999999999,42.25717075768994,43.6295439084274
t51,42.78039999999999,42.25717075768994,43.6295439084274
t52,42.78039999999999,42.25717075768994,43.6295439084274
t53,42.78039999999999,42.25717075768994,43.6295439084274
t54,42.78039999999999,42.25717075768994,43.6295439084274
t55,42.78039999999999,42.374,43.6295439084274
t56,42.89867582462585,42.374,43.750167378142955
t57,42.89867582462585,42.374,43.750167378142955
t58,42.89867582462585,42.374,43.750167378142955
t59,42.89867582462585,42.374,43.750167378142955
t60,42.89867582462585,42.374,43.750167378142955
t61,42.89867582462585,42.374,43.750167378142955
t62,42.89867582462585,42.374,43.750167378142955
t63,42.89867582462585,42.374,43.750167378142955
t64,42.89867582462585,42.374,43.750167378142955
t65,42.89867582462585,42.374,43.750167378142955
t66,42.89867582462585,42.374,43.750167378142955
t67,42.89867582462585,42.374,43.750167378142955
t68,42.89867582462585,42.374,43.750167378142955
t69,42.89867582462585,42.374,43.750167378142955
t70,42.89867582462585,42.374,43.750167378142955
t71,42.89867582462585,42.374,43.750167378142955
t72,42.78039999999999,42.374,43.6295439084274
t73,42.78039999999999,42.374,43.6295439084274
t74,42.78039999999999,42.25717075768994,43.6295439084274
t75,42.78039999999999,42.25717075768994,43.6295439084274
t76,42.78039999999999,42.25717075768994,43.6295439084274
t77,42.78039999999999,42.374,43.6295439084274
t78,42.78039999999999,42.374,43.6295439084274
t79,42.89867582462585,42.374,43.750167378142955
t80,42.89867582462585,42.374,43.750167378142955
t81,42.89867582462585,42.374,43.750167378142955
t82,42.89867582462585,42.374,43.750167378142955
t83,42.89867582462585,42.374,43.750167378142955
t84,42.89867582462585,42.374,43.750167378142955
t85,42.89867582462585,42.374,43.750167378142955
t86,42.89867582462585,42.374,43.750167378142955
t87,42.89867582462585,42.374,43.750167378142955
t88,42.89867582462585,42.374,43.750167378142955
t89,42.89867582462585,42.374,43.750167378142955
t90,101.18041303020254,42.374,103.18873299394214
t91,42.89867582462585,42.374,43.750167378142955
t92,42.89867582462585,42.374,43.750167378142955
t93,42.89867582462585,42.374,43.750167378142955
t94,42.89867582462585,42.374,43.750167378142955
t95,42.78039999999999,42.374,43.6295439084274
t96,42.78039999999999,42.374,43.6295439084274
