Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,1.580996655578299e9
CT_natural_gas_combined_cycle,CT_NG,2,8.693840826715441e8
ME_natural_gas_combined_cycle,ME_NG,3,458183.3731525183
