BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t54,15481.699999999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15481.699999999999
t55,17057.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17057.1
t56,18332.699999999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18332.699999999997
t57,18754.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18754.7
t58,18975.100000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18975.100000000002
t59,19141.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19141.6
t60,19195.232568697233,0.0,-36.832568697232496,0.0,0.0,0.0,0.0,0.0,0.0,-19158.4
t61,19125.7,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19020.7
t62,19098.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-18993.0
t63,19138.5,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19033.5
t64,19380.5,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19275.5
t65,19950.206728100857,70.99327189914358,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20021.2
t66,20783.1,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20888.1
t67,20670.4,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20775.4
t68,20234.7,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20339.7
t69,19730.200000000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19730.2
t70,18834.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18834.9
t71,17619.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17619.5
t72,16375.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16375.7
t73,15496.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15496.5
t74,14960.399999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14960.4
t75,14684.399999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14684.4
t76,14593.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14593.5
t77,14858.099999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14858.1
t78,15749.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15749.2
t79,17440.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17440.9
t80,18698.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18698.1
t81,18980.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18980.1
t82,18972.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18972.5
t83,18855.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18855.0
t84,18699.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18699.8
t85,18456.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18456.1
t86,18441.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18441.3
t87,18479.831244913992,0.0,-38.331244913990744,0.0,0.0,0.0,0.0,0.0,0.0,-18441.5
t88,18715.7,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-18610.7
t89,19328.3,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19223.3
t90,19972.8,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20077.8
t91,19786.3,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19891.3
t92,19378.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19378.9
t93,18874.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18874.3
t94,18183.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18183.5
t95,17165.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17165.8
