Resource,Battery_NY_Existing,Battery_NY_New,Hydro_NY,PumpedHydro_NY,Total
t143,0.0,0.0,2309.1617735516847,1007.1685451094727,3316.3303186611574
t144,0.0,0.0,2327.0617735516826,307.1685451094727,2634.2303186611553
t145,0.0,0.0,2236.0303186611545,0.0,2236.0303186611545
t146,0.0,0.0,3445.5060585414903,748.2553107789142,4193.761369320405
t147,33.8859632014539,0.0,6292.604944734783,1400.0,7726.490907936237
t148,130.47240881617336,0.0,9768.536399625309,1351.7446892210858,11250.753497662568
t149,227.02021985264687,0.0,12204.067854515837,2003.4893784421715,14434.577452810656
t150,323.52941176470586,0.0,14291.899309406364,1955.2340676632573,16570.66278883433
t151,420.0,0.0,14380.135170276437,2075.5743509047993,16875.709521181238
t152,305.7015652173913,0.0,13704.69694382812,2027.319040125885,16037.717549171395
t153,191.44884980869568,0.0,13029.258717379802,1979.0637293469708,15199.77129653547
t154,77.24183548616352,0.0,12353.820490931485,1930.8084185680566,14361.870744985705
t155,0.0,0.0,11678.382264483167,1882.5531077891424,13560.93537227231
t156,0.0,0.0,11002.94403803485,1834.2977970102281,12837.241835045077
t157,0.0,0.0,10327.505811586532,1786.042486231314,12113.548297817846
t158,0.0,0.0,9652.067585138215,1737.7871754523997,11389.854760590615
t159,0.0,0.0,8976.629358689897,1689.5318646734854,10666.161223363382
t160,0.0,0.0,8301.191132241582,1641.2765538945712,9942.467686136153
t161,0.0,0.0,7625.752905793265,1593.021243115657,9218.774148908922
t162,0.0,0.0,6950.314679344949,1544.7659323367427,8495.080611681691
t163,0.0,0.0,6274.876452896632,1496.5106215578285,7771.38707445446
t164,0.0,0.0,5599.438226448316,1448.2553107789142,7047.69353722723
t165,0.0,0.0,4923.999999999999,1400.0,6323.999999999999
t166,0.0,0.0,3848.985629440069,1351.7446892210858,5200.730318661154
t167,0.0,0.0,3191.930318661156,700.0,3891.930318661156
t168,0.0,0.0,2920.6303186611567,0.0,2920.6303186611567
t169,0.0,0.0,1656.7303186611553,748.2553107789142,2404.9856294400697
t170,0.0,0.0,641.0303186611545,1400.0,2041.0303186611545
t171,0.0,0.0,3162.84056573665,1303.4893784421715,4466.329944178822
t172,0.0,0.0,6806.261399069347,603.4893784421715,7409.750777511519
t173,33.344865623149964,0.0,9538.437813246446,1351.7446892210858,10923.527368090683
t174,129.9315276769007,0.0,12080.358646579143,1400.0,13610.290174256044
t175,226.47955506582994,0.0,13150.19010146967,1351.7446892210858,14728.414345756586
t176,322.98896324380365,0.0,12474.751875021355,1760.7590597810163,14558.499898046175
t177,419.45976765850617,0.0,11806.383329911881,1712.503749002102,13938.346846572489
t178,374.6938112936661,0.0,11130.945103463564,1664.2484382231878,13169.887352980419
t179,260.41349898654,0.0,10455.506877015247,1615.9931274442736,12331.91350344606
t180,174.51550895525412,0.0,9780.06865056693,1567.7378166653593,11522.321976187543
t181,165.9344868156353,0.0,9104.630424118612,1519.482505886445,10790.047416820691
t182,227.02021985264687,0.0,8429.192197670294,1471.2271951075309,10127.439612630473
t183,323.52941176470586,0.0,7753.753971221979,1477.7415656674614,9555.024948654147
t184,420.0,0.0,7217.766831169909,1593.021243115657,9230.788074285567
t185,342.66540010962655,0.0,6542.3286047215925,1544.7659323367427,8429.759937167963
t186,228.39789916697404,0.0,5866.890378273276,1496.5106215578285,7591.798898998079
t187,114.17610522469856,0.0,5191.452151824959,1448.2553107789142,6753.883567828572
t188,0.0,0.0,4516.013925376643,1400.0,5916.013925376643
t189,0.0,0.0,4248.561773551683,982.5685451094741,5231.130318661157
t190,0.0,0.0,3763.4617735516804,282.56854510947414,4046.0303186611545
t191,0.0,0.0,1855.4617735516804,982.5685451094741,2838.0303186611545
t192,0.0,0.0,1665.0617735516826,282.56854510947414,1947.6303186611567
t193,0.0,0.0,1454.5303186611545,0.0,1454.5303186611545
t194,0.0,0.0,503.3303186611538,700.0,1203.3303186611538
t195,0.0,0.0,0.0,1159.8303186611538,1159.8303186611538
t196,0.0,0.0,3241.330133690022,651.7446892210858,3893.0748229111077
t197,0.0,0.0,6714.206277801635,1351.7446892210858,8065.950967022721
t198,0.0,0.0,9951.68242191325,687.6446892210879,10639.327111134338
t199,0.0,0.0,10727.158566024866,1351.7446892210858,12078.903255245952
t200,0.0,0.0,10950.534710136479,1351.7446892210858,12302.279399357565
t201,0.0,0.0,10275.096483688161,1941.959059781017,12217.055543469178
t202,0.0,0.0,10046.023269012736,1930.8084185680566,11976.831687580792
t203,0.0,0.0,9785.454723903262,1882.5531077891424,11668.007831692405
t204,33.8859632014539,0.0,9444.353610096554,1834.2977970102281,11312.537370308235
t205,130.47240881617336,0.0,9068.98506498708,1786.042486231314,10985.499960034567
t206,227.02021985264687,0.0,8611.916519877606,1737.7871754523997,10576.723915182654
t207,323.52941176470586,0.0,8128.247974768134,1689.5318646734854,10141.309251206325
t208,420.0,0.0,7597.747054501806,1641.2765538945712,9659.023608396377
t209,342.66540010962655,0.0,6922.308828053489,1593.021243115657,8857.995471278773
t210,228.39789916697404,0.0,6246.870601605173,1544.7659323367427,8020.034433108889
t211,114.17610522469856,0.0,5571.432375156856,1496.5106215578285,7182.119101939383
t212,0.0,0.0,4895.99414870854,1448.2553107789142,6344.249459487454
t213,0.0,0.0,4248.561773551683,1400.0,5648.561773551683
t214,0.0,0.0,4063.3303186611574,700.0,4763.330318661157
t215,0.0,0.0,2902.930318661156,796.5106215578285,3699.4409402189845
t216,0.0,0.0,1389.0303186611545,1448.2553107789142,2837.285629440069
t217,0.0,0.0,930.0303186611545,1400.0,2330.0303186611545
t218,0.0,0.0,2636.1320910460527,965.1062155782847,3601.2383066243374
t219,6.3347981037569685,0.0,5519.277895823801,1616.8509047993705,7142.4635987269285
t220,102.93226418451547,0.0,9045.709350714327,1568.5955940204562,10717.2372089193
t221,199.49109127884168,0.0,12294.740805604855,1520.340283241542,14014.572180125238
t222,296.0112948423302,0.0,13888.972260495384,2172.084972462628,16357.068527800342
t223,392.4928903243933,0.0,14454.10371538591,2123.8296616837133,16970.426267394017
t224,420.0,0.0,13778.665488937593,2075.5743509047993,16274.239839842392
t225,305.7015652173913,0.0,13103.227262489276,2027.319040125885,15436.247867832551
t226,191.44884980869568,0.0,12427.789036040958,1979.0637293469708,14598.301615196626
t227,77.24183548616352,0.0,11752.35080959264,1930.8084185680566,13760.401063646861
t228,0.0,0.0,11076.912583144323,1882.5531077891424,12959.465690933466
t229,0.0,0.0,10401.474356696006,1834.2977970102281,12235.772153706233
t230,0.0,0.0,9726.036130247689,1786.042486231314,11512.078616479002
t231,0.0,0.0,9050.597903799371,1737.7871754523997,10788.385079251771
t232,0.0,0.0,8375.159677351054,1689.5318646734854,10064.691542024539
t233,0.0,0.0,7699.721450902737,1641.2765538945712,9340.998004797308
t234,0.0,0.0,7024.283224454421,1593.021243115657,8617.304467570077
t235,0.0,0.0,6348.844998006104,1544.7659323367427,7893.610930342847
t236,0.0,0.0,5673.406771557788,1496.5106215578285,7169.9173931156165
t237,0.0,0.0,4997.968545109471,1448.2553107789142,6446.2238558883855
t238,0.0,0.0,4322.5303186611545,1400.0,5722.5303186611545
t239,0.0,0.0,3147.6856294400695,1351.7446892210858,4499.430318661155
t240,0.0,0.0,4211.85884966718,1351.7446892210858,5563.603538888266
t241,0.0,0.0,6125.034993778792,665.6740873183896,6790.709081097182
t242,0.0,0.0,7805.375836939056,1358.7093882697377,9164.085225208793
t243,33.8859632014539,0.0,10362.884111402089,1351.7446892210858,11748.514763824629
t244,130.47240881617336,0.0,12164.824954562351,2044.7799901724338,14340.077353550958
t245,227.02021985264687,0.0,14400.565797722616,2037.815291123783,16665.401308699045
t246,323.52941176470586,0.0,15696.997252613142,1989.5599803448688,18010.086644722716
t247,420.0,0.0,15021.559026164825,2075.5743509047993,17517.133377069626
t248,305.7015652173913,0.0,14346.120799716507,2027.319040125885,16679.14140505978
t249,191.44884980869568,0.0,13670.68257326819,1979.0637293469708,15841.195152423858
t250,77.24183548616352,0.0,12995.244346819873,1930.8084185680566,15003.294600874093
t251,0.0,0.0,12319.806120371555,1882.5531077891424,14202.359228160698
t252,0.0,0.0,11644.367893923238,1834.2977970102281,13478.665690933465
t253,96.60000000000001,0.0,10968.92966747492,1786.042486231314,12851.572153706235
t254,0.0,0.0,10293.491441026603,1737.7871754523997,12031.278616479003
t255,0.0,0.0,9618.053214578285,1689.5318646734854,11307.58507925177
t256,0.0,0.0,8942.614988129968,1641.2765538945712,10583.89154202454
t257,0.0,0.0,8267.17676168165,1593.021243115657,9860.198004797308
t258,0.0,0.0,7591.738535233335,1544.7659323367427,9136.504467570077
t259,0.0,0.0,6916.300308785018,1496.5106215578285,8412.810930342846
t260,0.0,0.0,6240.862082336702,1448.2553107789142,7689.117393115616
t261,0.0,0.0,5565.423855888385,1400.0,6965.423855888385
t262,0.0,0.0,4889.985629440069,1351.7446892210858,6241.730318661154
t263,0.0,0.0,3807.3856294400703,1351.7446892210858,5159.130318661156
t264,0.0,0.0,3576.3303186611574,700.0,4276.330318661157
t265,0.0,0.0,3760.0303186611545,0.0,3760.0303186611545
t266,0.0,0.0,3418.5303186611545,0.0,3418.5303186611545
t267,0.0,0.0,2524.2303186611553,817.1481900248932,3341.3785086860485
t268,0.0,0.0,4248.561773551683,1468.892879245979,5717.454652797662
t269,0.0,0.0,6517.409553793619,1593.021243115657,8110.430796909276
t270,0.0,0.0,8577.741008684146,1544.7659323367427,10122.506941020889
t271,0.0,0.0,9980.472463574675,1496.5106215578285,11476.983085132504
t272,0.0,0.0,10610.2039184652,1448.2553107789142,12058.459229244114
t273,0.0,0.0,10534.135373355726,1400.0,11934.135373355726
t274,0.0,0.0,9995.966828246253,1351.7446892210858,11347.71151746734
t275,0.0,0.0,9441.342972357867,1351.7446892210858,10793.087661578953
t276,0.0,0.0,8900.508494911648,1448.2553107789142,10348.763805690562
t277,33.8859632014539,0.0,8692.40738110494,1400.0,10126.293344306394
t278,130.47240881617336,0.0,8594.438835995468,1351.7446892210858,10076.655934032728
t279,227.02021985264687,0.0,8083.527804654679,1689.5318646734854,10000.079889180812
t280,323.52941176470586,0.0,7749.0592595452035,1641.2765538945712,9713.865225204481
t281,420.0,0.0,7095.886969445077,1593.021243115657,9108.908212560735
t282,305.7015652173913,0.0,6420.44874299676,1544.7659323367427,8270.916240550894
t283,191.44884980869568,0.0,5745.010516548444,1496.5106215578285,7432.969987914968
t284,77.24183548616352,0.0,5069.572290100127,1448.2553107789142,6595.069436365206
t285,0.0,0.0,4394.134063651811,1400.0,5794.134063651811
t286,0.0,0.0,4248.561773551683,1094.3238558883884,5342.885629440071
t287,0.0,0.0,3044.6303186611567,1400.0,4444.630318661157
t288,0.0,0.0,2301.585629440071,1351.7446892210858,3653.3303186611565
t289,0.0,0.0,1761.585629440071,1351.7446892210858,3113.3303186611565
t290,0.0,0.0,2091.7303186611553,700.0,2791.7303186611553
t291,0.0,0.0,2636.2303186611553,0.0,2636.2303186611553
t292,0.0,0.0,2663.2303186611553,0.0,2663.2303186611553
t293,0.0,0.0,2245.0303186611545,748.2553107789142,2993.285629440069
t294,0.0,0.0,2382.5944665673815,1400.0,3782.5944665673815
t295,0.0,0.0,4562.6259214579095,1351.7446892210858,5914.370610678995
t296,0.0,0.0,5883.336133232777,1496.5106215578285,7379.846754790606
t297,0.0,0.0,6700.767588123303,1448.2553107789142,8149.022898902217
t298,0.0,0.0,7057.59904301383,1400.0,8457.59904301383
t299,0.0,0.0,7314.830497904355,1351.7446892210858,8666.575187125442
t300,0.0,0.0,7510.506642015967,1351.7446892210858,8862.251331237054
t301,33.8859632014539,0.0,7677.050217430349,1351.7446892210858,9062.68086985289
t302,130.47240881617336,0.0,7410.783875310648,1737.7871754523997,9279.043459579221
t303,227.02021985264687,0.0,7487.215330201174,1689.5318646734854,9403.767414727306
t304,323.52941176470586,0.0,7313.246785091702,1641.2765538945712,9278.05275075098
t305,420.0,0.0,6983.480732218324,1593.021243115657,8996.50197533398
t306,305.7015652173913,0.0,6308.042505770008,1544.7659323367427,8158.5100033241415
t307,191.44884980869568,0.0,5632.604279321691,1496.5106215578285,7320.563750688216
t308,77.24183548616352,0.0,4957.166052873375,1448.2553107789142,6482.663199138453
t309,0.0,0.0,4281.727826425058,1400.0,5681.727826425058
t310,0.0,0.0,3954.585629440071,1351.7446892210858,5306.3303186611565
t311,0.0,0.0,3683.1856294400695,651.7446892210858,4334.930318661155
t312,0.0,0.0,3576.288247764487,1351.7446892210858,4928.032936985573
t313,0.0,0.0,4661.3836286975,2208.425452399686,6869.809081097186
t314,0.0,0.0,6800.7790096305125,2365.1062155782856,9165.885225208798
t315,33.8859632014539,0.0,9306.477895823806,2316.850904799371,11657.214763824632
t316,130.47240881617336,0.0,11783.209350714335,2268.5955940204567,14182.277353550964
t317,227.02021985264687,0.0,13989.740805604863,2220.3402832415422,16437.101308699053
t318,323.52941176470586,0.0,15211.972260495388,2172.084972462628,17707.586644722724
t319,420.0,0.0,14648.403715385914,2123.8296616837133,17192.233377069628
t320,305.7015652173913,0.0,13972.965488937596,2075.5743509047993,16354.241405059785
t321,191.44884980869568,0.0,13297.527262489279,2027.319040125885,15516.29515242386
t322,77.24183548616352,0.0,12622.089036040961,1979.0637293469708,14678.394600874097
t323,0.0,0.0,11946.650809592644,1930.8084185680566,13877.4592281607
t324,0.0,0.0,11271.212583144326,1882.5531077891424,13153.76569093347
t325,96.60000000000001,0.0,10595.774356696009,1834.2977970102281,12526.672153706237
t326,0.0,0.0,9920.336130247691,1786.042486231314,11706.378616479005
t327,0.0,0.0,9244.897903799374,1737.7871754523997,10982.685079251774
t328,0.0,0.0,8569.459677351057,1689.5318646734854,10258.991542024542
t329,0.0,0.0,7894.02145090274,1641.2765538945712,9535.29800479731
t330,0.0,0.0,7218.5832244544235,1593.021243115657,8811.60446757008
t331,0.0,0.0,6543.144998006107,1544.7659323367427,8087.9109303428495
t332,0.0,0.0,5867.7067715577905,1496.5106215578285,7364.217393115619
t333,0.0,0.0,5192.268545109474,1448.2553107789142,6640.523855888388
t334,0.0,0.0,4516.830318661157,1400.0,5916.830318661157
t335,0.0,0.0,3281.085629440071,1351.7446892210858,4632.8303186611565
t336,0.0,0.0,3007.6856294400695,651.7446892210858,3659.430318661155
t337,0.0,0.0,4013.2405359877066,1351.7446892210858,5364.985225208792
t338,0.0,0.0,6394.916680099319,1351.7446892210858,7746.661369320404
t339,33.8859632014539,0.0,8998.6602555137,1351.7446892210858,10384.29090793624
t340,130.47240881617336,0.0,10898.136399625315,2051.7446892210855,13080.353497662574
t341,227.02021985264687,0.0,13187.172260495387,2172.084972462628,15586.277452810662
t342,323.52941176470586,0.0,14681.903715385912,2123.8296616837133,17129.26278883433
t343,420.0,0.0,14380.135170276437,2075.5743509047993,16875.709521181238
t344,305.7015652173913,0.0,13704.69694382812,2027.319040125885,16037.717549171395
t345,191.44884980869568,0.0,13029.258717379802,1979.0637293469708,15199.77129653547
t346,77.24183548616352,0.0,12353.820490931485,1930.8084185680566,14361.870744985705
t347,0.0,0.0,11678.382264483167,1882.5531077891424,13560.93537227231
t348,0.0,0.0,11002.94403803485,1834.2977970102281,12837.241835045077
t349,0.0,0.0,10327.505811586532,1786.042486231314,12113.548297817846
t350,0.0,0.0,9652.067585138215,1737.7871754523997,11389.854760590615
t351,0.0,0.0,8976.629358689897,1689.5318646734854,10666.161223363382
t352,0.0,0.0,8301.191132241582,1641.2765538945712,9942.467686136153
t353,0.0,0.0,7625.752905793265,1593.021243115657,9218.774148908922
t354,0.0,0.0,6950.314679344949,1544.7659323367427,8495.080611681691
t355,0.0,0.0,6274.876452896632,1496.5106215578285,7771.38707445446
t356,0.0,0.0,5599.438226448316,1448.2553107789142,7047.69353722723
t357,0.0,0.0,4923.999999999999,1400.0,6323.999999999999
t358,0.0,0.0,4017.585629440071,1351.7446892210858,5369.3303186611565
t359,0.0,0.0,3471.485629440069,651.7446892210858,4123.230318661154
t360,0.0,0.0,1848.8856294400703,1351.7446892210858,3200.630318661156
t361,0.0,0.0,2087.0856294400674,651.7446892210858,2738.830318661153
t362,0.0,0.0,4248.561773551683,938.7391009485364,5187.300874500219
t363,33.8859632014539,0.0,6929.799760693513,1351.7446892210858,8315.430413116053
t364,130.47240881617336,0.0,10032.775904805125,1351.7446892210858,11514.993002842384
t365,227.02021985264687,0.0,12874.252048916736,1351.7446892210858,14453.01695799047
t366,323.52941176470586,0.0,14137.54101757595,2039.5318646734854,16500.60229401414
t367,420.0,0.0,14378.029986235164,2027.319040125885,16825.349026361047
t368,305.7015652173913,0.0,13702.591759786847,1979.0637293469708,15987.357054351207
t369,191.44884980869568,0.0,13027.153533338529,1930.8084185680566,15149.410801715281
t370,77.24183548616352,0.0,12351.715306890212,1882.5531077891424,14311.510250165518
t371,66.3130427779101,0.0,11676.277080441894,1834.2977970102281,13576.887920230032
t372,66.28651756079894,0.0,11000.838853993577,1786.042486231314,12853.16785778569
t373,66.26000295377463,0.0,10325.40062754526,1737.7871754523997,12129.447805951435
t374,66.23349895259312,0.0,9649.962401096942,1689.5318646734854,11405.72776472302
t375,66.2070055530121,0.0,8974.524174648624,1641.2765538945712,10682.007734096209
t376,162.7805227507909,0.0,8299.085948200307,1593.021243115657,10054.887714066754
t377,228.39789916697404,0.0,7623.6477217519905,1544.7659323367427,9396.811553255708
t378,114.17610522469856,0.0,6948.209495303674,1496.5106215578285,8558.896222086201
