NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 10Hr
31574.20761267268,0.0,19463.586080198398,0.0,0.0
32332.170769957727,0.0,18529.57776700517,0.0,0.0
33440.847939258056,0.0,17727.319720726817,0.0,64.57251577928957
33884.75984183081,435.96461956376584,17396.636509933553,0.0,481.41436678344115
33884.75984183081,1884.1648049900245,16874.558359219816,0.0,867.186702211296
33884.75984183081,2735.6765856446423,15968.868572236213,0.0,2119.870110151614
33884.75984183081,2735.6765856446423,14851.101352092046,0.0,3788.6131298563278
33884.75984183081,2735.6765856446423,13788.584705678759,235.7787219497341,5169.61893762066
33884.75984183081,2735.6765856446423,12304.592147226958,4609.61529207655,2580.586693523768
33884.75984183081,1688.2942514246283,10784.722903417396,11786.88583594833,0.0
33884.75984183081,1633.388894421337,9115.275283700788,12686.13897415584,0.0
33884.75984183081,1633.388894421337,7484.641707128333,13127.536743078008,0.0
33884.75984183081,1633.388894421337,5941.014882326406,14623.413761927004,0.0
33884.75984183081,1633.388894421337,5259.566890172175,15653.100573338485,0.0
33376.42728415259,1633.388894421337,4669.5532115603455,14627.763131019776,0.0
30724.73982593649,2269.8711321531055,4141.987919143473,15457.74389675303,0.0
33884.75984183081,7607.536838101851,3676.5134964680756,10640.930877453524,0.0
33884.75984183081,10101.832261644524,3736.0275392166945,1851.9637543251902,7643.477177397866
33884.75984183081,10101.832261644524,5104.92206535897,0.4985243262208293,8212.335298782833
33884.75984183081,10101.832261644524,6831.344793044379,0.0,6262.484551234188
33884.75984183081,10101.832261644524,8242.336306754134,0.0,3455.393946948263
33884.75984183081,10101.832261644524,9363.402420382672,0.0,449.0396605258299
33884.75984183081,10101.832261644524,10109.845550486147,0.0,0.0
33884.75984183081,10101.832261644524,10991.017887692176,0.0,0.0
33884.75984183081,10101.832261644524,11603.72023323197,0.0,0.0
33884.75984183081,10101.832261644524,11637.767448820516,0.0,0.0
33884.75984183081,10101.832261644524,11674.184082384912,0.0,0.0
33884.75984183081,10101.832261644524,11467.856998004612,0.0,0.0
33884.75984183081,10101.832261644524,10690.33373987831,0.0,162.89266914348715
33884.75984183081,10101.832261644524,9871.419968751545,0.0,3155.8924993063188
33884.75984183081,10101.832261644524,9141.942337714981,0.0,4891.668195528432
33884.75984183081,10101.832261644524,7890.8931934014245,256.56423639580487,6478.720547293839
33884.75984183081,10101.832261644524,6324.335212883768,4531.153822379265,4259.149482599519
33884.75984183081,10101.832261644524,5135.04049149442,2506.2943297107454,7455.542466188632
33884.75984183081,10101.832261644524,4491.83010687488,3480.941767408619,6454.5993401122605
33884.75984183081,10101.832261644524,4229.637783444421,4487.911160464363,4967.245671365873
33884.75984183081,10101.832261644524,4380.638929776675,5520.1407498831795,3248.671765448792
33884.75984183081,10101.832261644524,5038.362865788011,5833.138039427987,2073.3301785645253
33884.75984183081,10101.832261644524,5903.351542559139,8335.871107353229,0.0
33884.75984183081,10101.832261644524,6881.471329561687,8058.048548086701,76.30972065029567
33884.75984183081,10101.832261644524,7545.152422626258,6229.527761012917,3465.778494135485
33884.75984183081,10101.832261644524,8224.200724159176,1464.7880135706769,8330.843108990122
33884.75984183081,10101.832261644524,9084.895766817786,0.6135684015025592,8545.356904811233
33884.75984183081,10101.832261644524,9106.263438870361,0.0,7542.524248914063
33884.75984183081,10101.832261644524,8941.481587134498,0.0,5696.0412996245395
33884.75984183081,10101.832261644524,10290.468224862674,0.0,1886.2010852362018
33884.75984183081,6756.983045555561,13865.913210025734,0.0,0.0
33163.9605234033,1528.310458998971,19117.211592060612,0.0,0.0
33347.64672842749,0.0,24780.752906924645,0.0,0.0
33884.75984183081,0.0,28425.55714684364,0.0,0.0
33884.75984183081,0.0,30930.882499488755,0.0,0.0
33884.75984183081,0.0,31794.12728708206,0.0,0.0
33884.75984183081,0.0,31490.50994651913,0.0,0.0
33834.025051810146,0.0,31430.12248172247,0.0,0.0
33884.75984183081,0.0,31606.002595149817,0.0,0.0
33884.75984183081,0.0,29844.249380244448,396.9146762222238,0.0
33884.75984183081,0.0,25874.546425651144,6980.744607595265,0.0
31510.1556057881,0.0,16428.99722341646,16377.115276726414,0.0
33884.75984183081,0.0,8068.436926356006,18693.89090110436,0.0
33884.75984183081,0.0,5389.814545672391,17783.80535763863,0.0
33884.75984183081,0.0,4412.806269960034,17138.757288163742,0.0
33114.269899454855,0.0,3310.8096045463926,17521.372775513708,0.0
32008.476098594216,0.0,2620.788848062926,18403.231644381245,0.0
26675.96468279385,0.0,1949.6778436366392,18382.77658480949,0.0
33511.47843076545,0.0,1593.6171234487122,12834.532150966397,0.0
33884.75984183081,4768.591293822162,1451.318419867723,2502.366986315317,7519.80595694328
33884.75984183081,7511.584119787626,1484.313819088329,0.03834802509390995,8147.6203690708735
33884.75984183081,7986.661102921093,1707.1333599006152,0.0,7849.981156773258
33884.75984183081,5170.720551790836,2137.7036235383343,0.0,9402.820468924
33884.75984183081,3962.143852786251,2678.5336306375293,0.0,8417.17436908134
33884.75984183081,4451.56996972961,3386.3271859357355,0.0,5985.4728853163415
33884.75984183081,3978.917191104122,4663.4232618351725,0.0,4738.177567778718
33884.75984183081,4451.56996972961,6019.489791307696,0.0,2921.2876359014112
33884.75984183081,4451.56996972961,7200.381241279028,0.0,2225.804968889066
33884.75984183081,4451.56996972961,8054.512161812378,0.0,2255.9437627111843
33884.75984183081,2782.508839205929,9043.264221022051,0.0,4867.077113810349
