Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
Coal-new,1,1,-1,0,0,-1,0,305892.2151841723,129750.0,13.950000000000001,8.49,BIT,337.0723926380369,29.06194832613996,0,15.0,9.0,0.2921520454475485,0.3268746241675365,0.4227956711343432,0.25,0.5,0,0,ERCOT,0
HTGR,1,1,-1,0,0,-1,0,39065000.0,820000.0,0.0,10.46,UM,164.0,500.0,0,20.0,20.0,6.0,6.0,0.1999999999999999,0.25,0.5,0,0,ERCOT,0
Microreactor,1,1,-1,0,0,-1,0,54509850.0,1321650.0,0.0,10.46,UM,6.7,500.0,0,20.0,20.0,6.0,6.0,0.4029850746268656,0.25,0.5,0,0,ERCOT,0
NG 2-on-1 Combined Cycle (F-Frame),1,1,-1,0,0,-1,0,112443.97830869799,51750.0,3.255,6.363,NG,143.3689655172414,33.58207681309256,0,3.0,2.0,0.306884871831378,0.3419506794722491,0.7743718883036288,0.25,0.5,0,0,ERCOT,0
NG 2-on-1 Combined Cycle (H-Frame) 95% CCS,1,1,-1,0,0,-1,0,219313.3963727177,98700.0,7.290000000000001,7.007,NG,143.3689655172414,33.58207681309256,0,3.0,2.0,0.306884871831378,0.3419506794722491,0.7743718883036288,0.25,0.5,0,0,ERCOT,0
NG Combustion Turbine (F-Frame),1,1,-1,0,0,-1,0,101161.13523476143,39150.0,10.41,9.717,DFO,34.148170731707346,24.81885366632592,0,2.0,2.0,0.3434467533575733,0.382860437420166,0.5970694427084262,0.25,0.5,0,0,ERCOT,0
PBR-HTGR,1,1,-1,0,0,-1,0,22845000.0,500000.0,0.0,10.46,UM,80.0,500.0,0,20.0,20.0,3.0,3.0,0.4,0.25,0.5,0,0,ERCOT,0
RICE,1,1,-1,0,0,-1,0,135750.0,52740.0,8.535,9.717,DFO,21.4,24.81885366632592,0,2.0,2.0,0.3434467533575733,0.382860437420166,0.5,0.25,0.5,0,0,ERCOT,0
iPWR_Pack,1,1,-1,0,0,-1,0,27675100.0,575000.0,80.0,10.46,UM,462.0,83.33333333333333,0,20.0,20.0,0.4,0.4,0.0333333333333333,0.25,0.5,0,0,ERCOT,0
