BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t15,7142.34659391627,1117.6805788065049,-1076.9293343434945,0.0,0.0,0.0,0.0,3144.2484661768544,-19.34630455613619,-10308.0,7085.005334109437,2417.113176544596,-3394.5237399210423,0.0,0.0,0.0,0.0,-3144.2484661768544,-19.34630455613619,-2944.0,634.6062267639182,1292.5603918562765,-522.1666186201948,0.0,0.0,0.0,0.0,-0.0,-0.0,-1405.0
t16,5259.226127560952,698.8430023695239,-1495.7669107804757,0.0,0.0,0.0,0.0,5900.0,-36.30221915,-10326.0,8686.068944831493,3005.4350953920725,-2806.2018210735664,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2949.0,1546.251331669099,838.2378394036859,-976.4891710727853,0.0,0.0,0.0,0.0,-0.0,-0.0,-1408.0
t17,1840.8980343742573,1006.0213553347919,-1188.5885578152077,0.0,0.0,0.0,0.0,9218.582847022259,-68.91367891609993,-10808.0,6926.643745231547,3953.6476951920463,-1857.989221273592,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3086.0,3904.469152575706,1367.7260823445613,-447.0009281319099,0.0,0.0,0.0,0.0,-3318.582847022258,-32.61145976609993,-1474.0
t18,0.0,1948.6099131499989,-246.00000000000045,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-11527.0,5451.57123629673,4794.183949659455,-1017.452966806184,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3292.0,6545.607215028241,439.71374472411486,-1375.0132657523563,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1571.0
t19,0.0,1950.6099131499996,-243.99999999999977,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-11531.0,11775.267425332842,1632.835855141399,-4178.8010613242395,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3293.0,7426.034704476471,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1572.0
t20,0.0,1845.1099131499996,-349.49999999999994,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-11320.0,5343.296511208318,4818.82131220366,-992.8156042619776,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3233.0,5752.360342846698,822.8371808148866,-991.8898296615847,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1544.0
t21,0.0,1637.609913149999,-557.0000000000003,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-10905.0,9067.497534230688,2897.7208006924757,-2913.916115773163,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3115.0,7341.03470447647,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1487.0
t22,0.0,1296.109913149999,-898.5000000000003,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-10222.0,7913.168884601784,3377.3851255069276,-2434.2517909587114,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2920.0,3617.580683523529,1814.7270104764712,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1393.0
t23,0.0,2194.6099131499996,-0.0,0.0,0.0,0.0,0.0,7313.5834827458075,-50.19339589580662,-9458.0,10294.903283798143,2077.0179259087477,-3734.6189905568904,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2701.0,4531.201669968084,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-1413.583482745807,-13.891176745806616,-1289.0
t24,0.0,1458.8799999999999,-735.7299131499994,0.0,0.0,0.0,0.0,8016.955289987628,-57.10537683762874,-8683.0,9284.701545871872,2471.1187948718834,-3340.518121593755,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2479.0,5136.4854581517275,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-2116.955289987628,-20.803157687628733,-1184.0
