Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,276590.38807236735,1.4949124119556518e7,457260.53100075404,1.828652943937724e7,0.0,0.0,0.0,3.3969504478006884e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,3545.083714727659,0.0,0.0,0.0,3545.083714727659
t2,0.0,0.0,0.0,0.0,0.0,0.0,71.85549902843835,0.0,0.0,0.0,71.85549902843835
t3,0.0,0.0,0.0,0.0,1115.2242480664256,0.0,3552.0135859888346,0.0,0.0,0.0,4667.2378340552605
t4,0.0,0.0,0.0,0.0,0.0,0.0,5663.9834307340025,0.0,0.0,0.0,5663.9834307340025
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,3835.5592073497132,0.0,0.0,0.0,3835.5592073497132
t7,0.0,0.0,0.0,0.0,0.0,0.0,4924.27166317243,0.0,0.0,0.0,4924.27166317243
t8,0.0,0.0,0.0,0.0,0.0,0.0,4542.279719535649,0.0,0.0,0.0,4542.279719535649
t9,0.0,0.0,0.0,0.0,10726.846548771939,0.0,2657.12967418535,0.0,0.0,0.0,13383.976222957288
t10,0.0,0.0,0.0,0.0,3021.195838483073,0.0,928.5466214905349,0.0,0.0,0.0,3949.742459973608
t11,0.0,0.0,0.0,0.0,194.74380924517,0.0,0.0,0.0,0.0,0.0,194.74380924517
t12,0.0,0.0,0.0,0.0,519.8422961395793,0.0,0.0,0.0,0.0,0.0,519.8422961395793
t13,0.0,0.0,0.0,0.0,1242.0518281874288,0.0,0.0,0.0,0.0,0.0,1242.0518281874288
t14,0.0,0.0,0.0,0.0,543.0339919475775,0.0,0.0,0.0,0.0,0.0,543.0339919475775
t15,0.0,0.0,0.0,0.0,91.63462325307775,0.0,0.0,0.0,0.0,0.0,91.63462325307775
