Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,6.250011373961297e6,1.8515760518812455e7,5.652675326035326e6,3.0418447218809076e7
t1,1629.0000000000005,3594.814631953203,-0.0,5223.814631953203
t2,1772.5,3535.48762753175,1814.7270104764712,7122.714638008221
t3,1841.5,3249.9200202655747,220.0286755375843,5311.448695803159
t4,0.0,3192.1657890029846,232.86680021390896,3425.0325892168935
t5,1339.9047026067446,2488.6772675856096,1814.7270104764712,5643.308980668826
t6,-0.0,2761.5648475960465,1814.7270104764712,4576.291858072518
t7,0.0,3145.190730161228,982.8460845301512,4128.03681469138
t8,123.55667809291182,2532.084306705311,150.96515858383108,2806.6061433820537
t9,874.8296381761513,402.78337469977464,1814.7270104764712,3092.340023352397
t10,2194.6099131499996,2279.3405862471877,982.8460845301512,5456.796583927339
t11,2194.6099131499996,4425.828925484062,809.0089632813886,7429.44780191545
t12,2194.6099131499996,4646.489154943779,548.825506928097,7389.924575021875
t13,2194.6099131499996,4960.771277239339,452.68254547015414,7608.063735859492
t14,2194.6099131499996,3872.332295092254,377.86031259776365,6444.802520840017
t15,1076.9293343434945,3394.5237399210423,522.1666186201948,4993.619692884731
t16,1495.7669107804757,2806.2018210735664,976.4891710727853,5278.457902926827
t17,1188.5885578152077,1857.989221273592,447.0009281319099,3493.5787072207095
t18,246.00000000000045,1017.452966806184,1375.0132657523563,2638.466232558541
t19,243.99999999999977,4178.8010613242395,1814.7270104764712,6237.528071800711
t20,349.49999999999994,992.8156042619776,991.8898296615847,2334.2054339235624
t21,557.0000000000003,2913.916115773163,1814.7270104764712,5285.643126249634
t22,898.5000000000003,2434.2517909587114,-0.0,3332.751790958712
t23,-0.0,3734.6189905568904,1814.7270104764712,5549.346001033362
t24,735.7299131499994,3340.518121593755,1814.7270104764712,5890.975045220226
t25,1946.5000000000005,3841.320615422304,89.0319705132577,5876.852585935562
t26,2088.5,5649.323756309299,1814.7270104764712,9552.550766785771
t27,2146.0,0.0,-0.0,2146.0
t28,2143.0,5486.857540775423,1814.7270104764712,9444.584551251894
t29,42.65384699999997,5811.636916465639,363.86350523823563,6218.154268703875
t30,1657.4999999999998,2016.6587256507787,1814.7270104764712,5488.885736127249
t31,992.4999999999998,3355.7027826916474,150.9651585838311,4499.167941275478
t32,618.9999999999998,316.8656375693972,1814.7270104764712,2750.5926480458684
t33,-0.0,0.0,150.9651585838311,150.9651585838311
t34,1932.304511412808,5811.636916465639,1814.7270104764712,9558.668438354918
t35,2194.6099131499996,4172.809329731759,150.9651585838311,6518.38440146559
t36,2194.6099131499996,4078.9492921948513,1814.7270104764712,8088.286215821322
t37,2194.6099131499996,555.7821812856627,150.9651585838311,2901.3572530194933
t38,771.8203477717607,5811.636916465639,1814.7270104764712,8398.18427471387
t39,2194.6099131499996,5355.461448369445,150.9651585838311,7701.0365201032755
t40,1188.5885578152077,1522.3461619978743,1814.7270104764712,4525.661730289553
t41,583.6233381392443,2099.191154662778,150.9651585838311,2833.7796513858534
t42,0.0,3820.8772540697737,1814.7270104764712,5635.604264546245
t43,49.99999999999982,0.0,146.00031155661608,196.0003115566159
t44,238.9999999999999,4906.481717332997,1814.7270104764712,6960.208727809468
t45,511.0000000000001,5296.77996258959,-0.0,5807.77996258959
t46,911.0000000000005,0.0,1814.7270104764712,2725.7270104764716
t47,1412.4999999999995,4908.311804223747,-0.0,6320.811804223746
t48,1491.8959707759525,5773.964852505576,1814.7270104764712,9080.587833758
t49,2155.9999999999995,1878.292433708562,-0.0,4034.2924337085615
t50,2194.6099131499996,-0.0,1814.7270104764712,4009.3369236264707
t51,859.3554524338915,5811.636916465639,-0.0,6670.99236889953
t52,471.15384700000004,0.0,422.36350523823563,893.5173522382356
t53,2194.6099131499996,2909.5587510351256,-0.0,5104.168664185125
t54,32.15384700000001,0.0,1814.727010476471,1846.880857476471
t55,1341.0000000000002,1936.9881010544761,278.74206880918587,3556.730169863662
t56,0.0,0.0,1814.7270104764712,1814.7270104764712
t57,242.71027181312257,5172.980184402084,836.5896442627421,6252.2801004779485
t58,1989.1799390873723,2079.6979312812623,312.86267307883566,4381.74054344747
t59,1879.304684600196,5018.1059622246,1549.9200439825447,8447.330690807341
t60,2194.6099131499996,5811.636916465639,502.87468524964527,8509.121514865285
t61,2194.6099131499996,5811.636916465639,1523.039118768148,9529.285948383786
t62,2194.6099131499996,5811.636916465639,715.5090087901445,8721.755838405783
t63,2194.6099131499996,4971.083816068563,885.2926351104819,8050.986364329044
