Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.0397286450455267e7,8240.607109337332,0.14403123825640432
CT_natural_gas_combined_cycle,2,3.443241737328053e6,2103.268264074616,0.1868825446471035
ME_natural_gas_combined_cycle,3,890947.0304435508,556.0265906740905,0.18291621969158364
MA_solar_pv,1,2.731135601783305e7,16888.972792424378,0.18460179571315097
CT_onshore_wind,2,2.8229094211949535e7,15009.611408281577,0.21469572073569027
CT_solar_pv,2,2.7593660063290577e7,16741.505987971257,0.18815279800412293
ME_onshore_wind,3,2.395470425308533e7,10683.94897311049,0.25594986338056686
MA_battery,1,5.290009626920839e6,2194.6099131499996,0.0
CT_battery,2,1.5671739703122873e7,5811.636916465639,0.0
ME_battery,3,4.784424395956314e6,1814.7270104764712,0.0
