Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle
t738,3362.935174663003,5446.649005234343,0.0
t739,3362.935174663003,5446.649005234343,0.0
t740,3362.935174663003,5446.649005234343,0.0
t741,3362.935174663003,5446.649005234343,0.0
t742,3362.935174663003,5446.649005234343,0.0
t743,3362.935174663003,5446.649005234343,0.0
t744,2152.278511784322,3485.8553633499796,0.0
t745,0.0,0.0,0.0
t746,0.0,0.0,0.0
t747,0.0,0.0,0.0
t748,0.0,0.0,0.0
t749,0.0,0.0,0.0
t750,0.0,0.0,0.0
t751,0.0,0.0,0.0
t752,0.0,0.0,0.0
t753,0.0,0.0,0.0
t754,0.0,0.0,0.0
t755,0.0,0.0,0.0
t756,0.0,0.0,0.0
t757,0.0,0.0,0.0
t758,0.0,0.0,0.0
t759,0.0,0.0,0.0
t760,0.0,0.0,0.0
t761,0.0,0.0,0.0
t762,4006.865957453181,0.0,0.0
t763,4407.125483165138,0.0,0.0
t764,4407.125483165138,0.0,0.0
t765,4407.125483165138,0.0,0.0
t766,4407.125483165138,0.0,0.0
t767,4407.125483165138,0.0,0.0
t768,4407.125483165138,0.0,0.0
t769,4407.125483165138,0.0,0.0
t770,2062.5347261212846,0.0,0.0
t771,2062.5347261212846,0.0,0.0
t772,4407.125483165138,0.0,0.0
t773,2820.5603092256883,0.0,0.0
t774,0.0,0.0,0.0
t775,0.0,0.0,0.0
t776,0.0,0.0,0.0
t777,0.0,0.0,0.0
t778,0.0,0.0,0.0
t779,0.0,0.0,0.0
t780,0.0,0.0,0.0
t781,0.0,0.0,0.0
t782,0.0,0.0,0.0
t783,0.0,0.0,0.0
t784,0.0,0.0,0.0
t785,0.0,0.0,0.0
t786,770.7662069068151,0.0,4168.189678280763
t787,847.7606758227196,0.0,5220.1645105493035
t788,847.7606758227196,0.0,5220.1645105493035
t789,847.7606758227196,0.0,5220.1645105493035
t790,847.7606758227196,0.0,5220.1645105493035
t791,847.7606758227196,0.0,5220.1645105493035
t792,847.7606758227196,0.0,5220.1645105493035
t793,847.7606758227196,0.0,5220.1645105493035
t794,847.7606758227196,0.0,3437.7999432643155
t795,847.7606758227196,0.0,2474.3579780003697
t796,847.7606758227196,0.0,2474.3579780003697
t797,542.5668325265406,0.0,5220.1645105493035
t798,0.0,0.0,1879.2592237977492
t799,0.0,0.0,3964.6819067463066
t800,0.0,0.0,2537.3964203176374
t801,0.0,0.0,0.0
t802,0.0,0.0,0.0
t803,0.0,0.0,0.0
t804,0.0,0.0,0.0
t805,0.0,0.0,0.0
t806,0.0,0.0,0.0
t807,0.0,0.0,0.0
t808,0.0,0.0,0.0
t809,0.0,0.0,0.0
t810,0.0,0.0,0.0
t811,0.0,0.0,0.0
t812,811.4190466436926,0.0,5602.968748904674
t813,892.4744665683675,0.0,7017.055574307021
t814,892.4744665683675,0.0,3326.084342221528
t815,892.4744665683675,0.0,5451.229895380934
t816,892.4744665683675,0.0,6500.65530194965
t817,892.4744665683675,0.0,7017.055574307021
t818,892.4744665683675,0.0,7017.055574307021
t819,892.4744665683675,0.0,7017.055574307021
t820,892.4744665683675,0.0,7017.055574307021
t821,892.4744665683675,0.0,7017.055574307021
t822,892.4744665683675,0.0,7017.055574307021
t823,571.1836586037551,0.0,4490.915567556493
t824,0.0,0.0,0.0
t825,0.0,0.0,0.0
