Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,2.347138860136297e8
CT_natural_gas_combined_cycle,CT_NG,2,5.53537139254193e7
ME_natural_gas_combined_cycle,ME_NG,3,2.3729218921211846e7
