Resource,MA_battery,CT_battery,ME_battery,Total
t182,8632.496237888865,20061.696200288992,5879.524973338778,34573.717411516634
t183,10651.537357986865,25408.40216343738,5988.828647104503,42048.76816852874
t184,11292.447259673907,27827.424220866633,5988.828647104503,45108.70012764505
t185,11292.447259673907,24726.207251367443,5988.828647104503,42007.48315814586
t186,10274.456230792357,18409.210603035226,5988.828647104503,34672.49548093209
t187,8150.918499107575,21940.545375815476,5988.828647104503,36080.29252202755
t188,6230.083376118447,26955.157505752708,5988.828647104503,39174.069528975655
t189,4714.653470520622,20638.160857420495,5988.828647104503,31341.64297504562
t190,3869.547043183667,25984.86682056888,5988.828647104503,35843.242510857046
t191,2569.9801491985377,27827.424220866633,5988.828647104503,36386.233017169674
t192,3216.042417513757,27777.64140517737,5988.828647104503,36982.512469795634
t193,4356.8194684376695,22555.510013322557,5988.828647104503,32901.15812886473
t194,3840.4456318281577,16238.513364990344,5988.828647104503,26067.787643923006
t195,4234.531244679034,9921.516716658129,5988.828647104503,20144.876608441664
t196,5692.407426037731,6986.842398782168,5988.828647104503,18668.078471924404
t197,3306.961868265992,9820.641111413366,5988.828647104503,19116.431626783862
t198,3803.505875711645,14759.471084664248,4016.2992878909477,22579.27624826684
t199,2983.4864048964287,14408.200376094639,5685.848137529301,23077.53491852037
t200,1621.2323776938197,8091.203727762423,4319.27979746615,14031.715902922393
t201,646.8300356179502,2769.8858914404414,5988.828647104503,9405.544574162894
t202,1471.5641779509665,3002.274544633198,4322.086218403859,8795.924940988023
t203,3490.6052980489662,5549.268530230137,4809.334749358862,13849.208577637964
t204,5509.646418146966,9679.892197727995,3163.6653641364783,18353.20398001144
t205,7254.3650194779075,15026.598160876383,4833.214213774832,27114.177394129125
t206,9273.406139575907,20373.30412402477,5693.375174626013,35340.085438226684
t207,11292.447259673907,25720.01008717316,5611.060536933024,42623.517883780085
t208,11292.447259673907,27827.424220866633,5988.828647104503,45108.70012764505
t209,11292.447259673907,24760.32453064778,5988.828647104503,42041.60043742618
t210,11292.447259673907,26342.623174464396,4016.2992878909477,41651.36972202925
t211,10814.653132857879,25192.59931280394,5627.870784906435,41635.12323056826
t212,10575.98944082446,20331.79261224343,5988.828647104503,36896.61070017239
t213,9404.958591234956,16770.213521618003,5988.828647104503,32164.000759957464
t214,9404.958591234956,18467.322171543507,4124.798931885392,31997.07969466386
t215,9189.509518897148,21684.55986202679,2493.9269674718607,33367.9963483958
t216,9189.509518897148,19946.92803301855,806.308804399417,29942.746356315114
t217,9189.509518897148,24650.493375600618,-0.0,33840.00289449777
t218,10658.686667584396,27827.424220866633,-0.0,38486.11088845103
t219,11292.447259673907,27827.424220866633,240.1175837672772,39359.98906430782
t220,11292.447259673907,26765.146895140824,1470.8561428713028,39528.45029768603
t221,11292.447259673907,22549.78504027005,3140.4049925096565,36982.63729245361
t222,11292.447259673907,16795.253278217908,4222.121632617206,32309.82217050902
t223,11117.302272510473,10631.24324470414,5602.341386473237,27350.886903687846
t224,9306.381365937246,4314.246596371924,5988.828647104503,19609.456609413675
t225,9306.381365937246,2355.1107190658436,4016.2992878909477,15677.791372894038
t226,9306.381365937246,2355.1107190658436,3458.665017830472,15120.157102833562
t227,9306.381365937246,4505.435979033502,3458.665017830472,17270.48236280122
t228,9306.381365937246,8682.642299215217,2006.63661392538,19995.66027907784
t229,9306.381365937246,13372.964776339326,2006.63661392538,24685.982756201953
t230,11292.447259673907,18719.670739487716,2006.63661392538,32018.754613087003
t231,11292.447259673907,23020.662511769617,915.8638010252313,35228.973572468756
t232,11292.447259673907,27005.868931462865,-0.0,38298.31619113677
t233,11292.447259673907,27827.424220866633,1278.2736050714811,40398.14508561202
t234,8907.001701902167,25948.32767851912,2947.822454709835,37803.151835131124
t235,8907.001701902167,23940.49687871104,2227.375342570645,35074.873923183855
t236,8907.001701902167,23092.659908720037,3896.9241922089986,35896.58580283121
t237,8907.001701902167,21728.528405100027,5566.473041847353,36202.00314884955
t238,8907.001701902167,21197.485024568163,5988.828647104503,36093.315373574835
t239,8907.001701902167,21197.485024568163,5988.828647104503,36093.315373574835
t240,8907.001701902167,21197.485024568163,5858.462721237211,35962.949447707535
t241,8907.001701902167,21676.35266060229,5988.828647104503,36572.183009608954
t242,8907.001701902167,25638.3728964422,5988.828647104503,40534.203245448865
t243,8907.001701902167,25638.3728964422,5988.828647104503,40534.203245448865
t244,8907.001701902167,24202.515497954133,5988.828647104503,39098.3458469608
t245,8907.001701902167,21893.841568391188,5733.395115155994,36534.23838544935
t246,8907.001701902167,17849.39570827046,5733.395115155994,32489.792525328623
t247,8907.001701902167,11541.07263542156,5376.001859318422,25824.07619664215
t248,7746.776849960466,5224.075987089345,4608.682029982727,17579.53486703254
t249,6724.273618981409,4485.784144741625,3378.1701298668263,14588.227893589861
t250,6724.273618981409,4485.784144741625,3378.1701298668263,14588.227893589861
t251,6724.273618981409,6699.573436245542,3378.1701298668263,16802.017185093777
t252,6724.273618981409,8747.706731483337,3378.1701298668263,18850.150480331573
t253,6724.273618981409,11347.834182220462,3378.1701298668263,21450.277931068696
t254,6724.273618981409,13951.384909753986,3378.1701298668263,24053.828658602222
t255,6724.273618981409,18519.992020941165,3378.1701298668263,28622.4357697894
t256,6724.273618981409,21742.60925560052,3378.1701298668263,31845.053004448757
t257,6724.273618981409,21742.60925560052,3378.1701298668263,31845.053004448757
t258,6035.667263888092,15425.612607268306,3378.1701298668263,24839.450001023222
t259,6035.667263888092,10940.242067837275,3378.1701298668263,20354.07946159219
t260,4770.891115543477,10940.242067837275,3378.1701298668263,19089.30331324758
t261,4770.891115543477,10940.242067837275,3378.1701298668263,19089.30331324758
t262,4770.891115543477,10940.242067837275,3378.1701298668263,19089.30331324758
t263,4770.891115543477,11895.247579471656,3378.1701298668263,20044.30882488196
t264,4770.891115543477,11895.247579471656,3378.1701298668263,20044.30882488196
t265,4770.891115543477,11895.247579471656,3378.1701298668263,20044.30882488196
t266,4770.891115543477,11895.247579471656,3378.1701298668263,20044.30882488196
t267,4770.891115543477,11895.247579471656,3378.1701298668263,20044.30882488196
t268,4770.891115543477,11895.247579471656,3378.1701298668263,20044.30882488196
t269,4770.891115543477,11895.247579471656,3378.1701298668263,20044.30882488196
t270,4770.891115543477,8418.58410969701,3025.4995351232956,16214.974760363782
t271,2385.4455577717385,4761.58129486062,2183.5171423609536,9330.543994993312
t272,-0.0,-0.0,1086.1646595285201,1086.1646595285201
t273,-0.0,-0.0,955.9840931632518,955.9840931632518
t274,-0.0,1167.8382659073322,955.9840931632518,2123.822359070584
t275,829.8912184975867,6514.54422905572,955.9840931632518,8300.419540716559
t276,829.8912184975867,10270.584270980888,955.9840931632518,12056.459582641726
t277,829.8912184975867,12185.524184683598,955.9840931632518,13971.399496344437
t278,829.8912184975867,14284.908893079335,955.9840931632518,16070.784204740174
t279,829.8912184975867,14284.908893079335,955.9840931632518,16070.784204740174
t280,829.8912184975867,14257.41050780371,8.841315872608515,15096.143042173906
t281,829.8912184975867,9949.664365147211,-0.0,10779.555583644798
t282,829.8912184975867,5028.912838018381,-0.0,5858.804056515968
t283,829.8912184975867,2795.5684254626835,24.685067321821954,3650.144711282092
t284,-0.0,-0.0,1226.8854080649398,1226.8854080649398
t285,-0.0,-0.0,761.9483026615404,761.9483026615404
t286,-0.0,-0.0,1448.1452443974745,1448.1452443974745
t287,-0.0,-0.0,3117.694094035828,3117.694094035828
t288,-0.0,-0.0,4787.242943674181,4787.242943674181
t289,-0.0,1029.2193168116628,4319.27979746615,5348.499114277813
t290,1139.505705033499,4475.574733398997,5988.828647104503,11603.909085536998
t291,3158.5468251314987,9487.853913321469,4319.27979746615,16965.68053591912
t292,4283.563332143919,13365.59972524716,5988.828647104503,23637.991704495584
t293,6302.604452241919,14406.103048224499,4319.27979746615,25027.987297932566
t294,3917.1588944701803,13791.102364949884,5988.828647104503,23697.08990652457
t295,1531.7133366984422,9017.39194671173,5988.828647104503,16537.933930514675
t296,722.5989519164381,4506.3144914292425,5988.828647104503,11217.742090450183
t297,1407.4333671959262,1532.561377602676,4319.27979746615,7259.274542264752
t298,827.7895181033676,4049.5460131454824,5988.828647104503,10866.164178353352
t299,2846.830638201367,4951.402328930581,4439.493174925598,12237.726142057545
t300,4865.871758299367,7355.407390181633,2901.1959636162583,15122.475112097258
t301,6884.9128783973665,10695.7419794618,4319.27979746615,21899.93465532532
t302,8903.953998495366,15078.348833161659,5988.828647104503,29971.13147876153
t303,10922.995118593366,19692.763087403102,5988.828647104503,36604.58685310098
t304,11292.447259673907,22601.192599490296,5988.828647104503,39882.468506268706
t305,11292.447259673907,23018.771188788254,4502.71230536038,38813.93075382254
t306,11186.461688074613,25409.490517945866,2952.711457402998,39548.663663423475
t307,10092.492652042005,21455.347643702262,980.1820981894425,32528.02239393371
t308,7707.047094270266,15138.350995370047,2649.730947827796,25495.12903746811
t309,7235.234579976787,15250.72508268643,4319.27979746615,26805.239460129364
t310,5199.307049216074,19484.043154866264,5988.828647104503,30672.17885118684
t311,5941.703230574772,20485.897782607597,4016.2992878909477,30443.900301073314
t312,7419.648977150859,14168.901134275384,5514.387443558098,27102.937554984343
t313,5468.014792314772,7851.904485943169,4319.27979746615,17639.199075724093
t314,7487.055912412772,11934.998820496912,5988.828647104503,25410.883380014187
t315,5987.99042322886,14815.737354501218,5531.171605718697,26334.899383448774
t316,4549.13362969712,8498.740706169003,4407.310916148487,17455.18525201461
t317,3037.0229231219037,9700.231450826568,3272.411965708713,16009.666339657186
t318,1218.8513469814693,11600.36492989569,4941.960815347066,17761.177092224225
t319,1988.765542793308,8248.19840736934,2969.431456133509,13206.395406296157
t320,335.74996467774366,4283.328401323672,1656.9168535198214,6275.995219521236
t321,1734.8623499947573,1721.2968042680327,267.1344248191768,3723.293579081967
t322,1197.2416591839074,4866.754939910879,1443.4462724714024,7507.442871566189
t323,3216.282779281907,10213.460903059267,2790.2962483975193,16220.039930738692
t324,5235.323899379907,15560.166866207655,4459.845098035872,25255.335863623433
t325,7254.365019477907,20906.87282935604,3675.356771041136,31836.594619875086
t326,9273.406139575905,25756.530550698535,4319.27979746615,39349.21648774059
t327,11292.447259673907,27827.424220866633,5988.828647104503,45108.70012764505
t328,11292.447259673907,27827.424220866633,5988.828647104503,45108.70012764505
t329,11292.447259673907,24636.4113320722,5988.828647104503,41917.6872388506
t330,8907.001701902167,22615.669688212154,5988.828647104503,37511.50003721882
t331,8343.87266586956,22713.200407477383,5988.828647104503,37045.901720451446
t332,8049.675803749995,16396.20375914517,5988.828647104503,30434.708209999666
t333,5664.230245978256,17240.674352208654,5988.828647104503,28893.733245291412
t334,6127.659470815214,10923.67770387644,5988.828647104503,23040.165821796156
t335,7192.172173913042,12306.018903812579,5988.828647104503,25487.019724830123
t336,4894.337989076956,13503.431754882065,4747.561001012555,23145.330744971572
t337,2019.0411200979997,10183.81528047341,1740.8401843395404,13943.696584910951
t338,4038.0822401959995,15530.521243621799,3335.4423867810556,22904.045870598853
t339,6057.123360293999,14550.191577115253,5004.991236419409,25612.306173828663
t340,5641.814392849217,8233.19492878304,4019.6105468491987,17894.619868481455
t341,5029.544455938098,12896.32299495705,5689.159396487552,23615.0268473827
t342,3697.0563580585326,14773.828166534828,4579.347402569517,23050.231927162877
t343,1311.610800286794,8920.711049217438,3070.194934394378,13302.516783898609
t344,908.8937387352568,2774.2240530493564,1675.3951143893867,5358.512906174
t345,1249.7534596324779,2998.602724647412,251.49442481917706,4499.850609099067
t346,3216.282779281908,3868.4742053912114,1921.0432744575307,9005.80025913065
t347,5235.323899379908,8326.437163935756,3590.5921240958846,17152.353187411547
t348,7254.3650194779075,13673.143127084144,2157.634280866019,23085.142427428073
t349,9273.406139575907,19005.37879744728,2649.7309478277957,30928.515884850982
t350,11292.447259673907,22741.156832990328,4319.27979746615,38352.88389013038
t351,11292.447259673907,27827.424220866633,5988.828647104503,45108.70012764505
t352,11292.447259673907,27827.424220866633,5988.828647104503,45108.70012764505
t353,11292.447259673907,27058.971506997746,5988.828647104503,44340.24741377616
t354,11292.447259673907,26558.767830857527,5988.828647104503,43840.04373763593
t355,11292.447259673907,25471.144692123158,5988.828647104503,42752.42059890156
t356,10863.314027391298,23612.687542499978,5988.828647104503,40464.830216995775
t357,10701.576295706514,20972.735118517234,5988.828647104503,37663.140061328246
t358,11292.447259673907,17266.700249568115,5988.828647104503,34547.97615634653
t359,8907.001701902167,16894.431376953486,4705.2119404794075,30506.64501933506
t360,7360.772734457385,18175.649317245876,4319.27979746615,29855.70184916941
t361,6381.508984403908,19194.76060223767,5988.828647104503,31565.09823374608
t362,6330.710765636866,22444.95887192045,4319.27979746615,33094.94943502347
t363,6531.391903480702,24987.326157346324,5988.828647104503,37507.54670793153
t364,6978.888282263102,22387.276751926864,4016.2992878909477,33382.464322080916
t365,6039.2046775817535,16070.280103594649,3364.813704839147,25474.29848601555
t366,3653.759119810015,9753.283455262434,5034.3625544775,18441.40512954995
t367,1268.3135620382761,3436.2868069302185,3061.833195263944,7766.433564232439
t368,945.5405211888022,2682.1867817410935,1671.0472883024302,5298.774591232326
t369,1218.7356229637971,3076.5030710827264,255.1744248191767,4550.413118865701
t370,987.5032888214414,6312.945361321436,1453.5692164714026,8754.01786661428
t371,3006.544408919441,10962.30907252917,3123.118066109756,17091.971547558365
t372,5025.585529017441,16309.015035677558,3056.6297936709916,24391.230358365992
t373,5235.323899379908,21655.720998825946,4726.178643309346,31617.223541515195
t374,7254.3650194779075,27002.42696197433,5988.828647104503,40245.620628556746
t375,9273.406139575907,26591.944978671232,5988.828647104503,41854.17976535164
t376,11292.447259673907,27827.424220866633,5988.828647104503,45108.70012764505
t377,11292.447259673907,27827.424220866633,5988.828647104503,45108.70012764505
t378,11292.447259673907,27032.364950452935,5988.828647104503,44313.64085723134
t379,11292.447259673907,23984.624207193676,4016.2992878909477,39293.37075475853
t380,8907.001701902167,19789.58816199499,4319.27979746615,33015.86966136331
t381,6521.556144130429,18463.788733885787,5988.828647104503,30974.173525120717
t382,6923.773195054343,16477.41059141893,4016.2992878909477,27417.48307436422
t383,8330.47198510869,12312.573362555659,5685.848137529301,26328.89348519365
t384,5945.026427336952,10365.449708164459,4319.27979746615,20629.75593296756
t385,7964.067547434952,6458.883854810708,5988.828647104503,20411.780049350164
t386,5578.621989663214,7111.77707025899,4016.2992878909477,16706.69834781315
t387,7597.6631097612135,4635.943715414175,5685.848137529301,17919.45496270469
t388,6205.944285956183,8634.165474102812,4319.27979746615,19159.389557525144
t389,3820.4987281844446,7165.8986349055685,5988.828647104503,16975.226010194514
t390,5839.539848282444,2872.8955212628075,4882.755510417062,13595.190879962314
t391,3454.0942905107054,2915.0871939515473,3369.182231691471,9738.363716153724
t392,1068.6487327389673,3158.937181061535,1677.5690274328645,5905.154941233366
t393,1114.5368327077376,2672.981533097904,249.6544248191767,4037.1727906248184
t394,1794.500495413644,3084.2943935343214,1458.2413444714025,6337.036233419369
