generators,Capacity_MW,Capacity_MWh,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,OperatingRegulationRevenue,OperatingReserveRevenue,Operating_Revenue,Operating_Cost,operating_profit_per_gen,total_inv_costs,diff
NG 2-on-1 Combined Cycle (F-Frame),24749.554022344666,0.0,2.7829383156384726e9,0.0,1.2807894206563365e9,0.0,1.160323131721673e8,4.79053253949315e9,0.0,1.4485847986300963e8,0.0,8.724381810151556e9,865923.3933336806,2.4045258606284717e6,8.727652259405518e9,6.332212753184664e9,2.3954395062208548e9,2.7829383156384726e9,-3.874988094176178e8
NG Combustion Turbine (F-Frame),8188.3532589710185,0.0,8.283431113807666e8,0.0,3.205740300887154e8,0.0,6.069496372791939e6,1.359707118257507e8,0.0,7.417319191586539e6,0.0,1.2175038763362997e9,1.2483476625427394e6,2.0588575649022125e6,1.2208110815637448e9,4.700315574788446e8,7.507795240849001e8,8.283431113807666e8,-7.756358729586649e7
Land-Based Wind - Class 1 - Technology 1,79198.09375260018,0.0,6.596356100126312e9,0.0,2.5694274990821457e9,0.0,2.083153566401128e7,0.0,0.0,0.0,0.0,9.998088804519308e9,0.0,0.0,9.998088804519308e9,2.590259034746157e9,7.407829769773151e9,6.596356100126312e9,8.114736696468391e8
Utility PV - Class 1,68234.30987168133,0.0,5.058493519484791e9,0.0,1.6216295505288043e9,0.0,1.370663825457399e7,0.0,0.0,0.0,0.0,7.014445153555443e9,0.0,0.0,7.014445153555443e9,1.6353361887833784e9,5.379108964772064e9,5.058493519484791e9,3.206154452872734e8
Utility-Scale Battery Storage - 4Hr,50674.644446826016,202698.57778730406,1.3307023740036585e9,0.0,6.10224068428679e8,0.0,0.0,0.0,0.0,0.0,1.412972099115983e9,3.1988492205243635e9,8.724102261732517e6,4.416280617804366e6,3.2119896034039006e9,2.023196167544662e9,1.1887934358592386e9,1.3307023740036585e9,-1.419089381444199e8
