Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
Coal-new,1,1,-1,0,0,-1,0,152946.10759208616,64875.0,6.9750000000000005,8.49,BIT,337.0723926380369,29.06194832613996,0,15.0,9.0,0.2921520454475485,0.3268746241675365,0.4227956711343432,0.25,0.5,0,0,ERCOT,0
HTGR,1,1,-1,0,0,-1,0,585975.0,12300.0,0.0,10.46,UM,164.0,500.0,0,20.0,20.0,6.0,6.0,0.1999999999999999,0.25,0.5,0,0,ERCOT,0
Microreactor,1,1,-1,0,0,-1,0,817647.75,19824.75,0.0,10.46,UM,6.7,500.0,0,20.0,20.0,6.0,6.0,0.4029850746268656,0.25,0.5,0,0,ERCOT,0
NG 2-on-1 Combined Cycle (F-Frame),1,1,-1,0,0,-1,0,56221.989154348994,25875.0,1.6275,6.363,NG,143.3689655172414,33.58207681309256,0,3.0,2.0,0.306884871831378,0.3419506794722491,0.7743718883036288,0.25,0.5,0,0,ERCOT,0
NG 2-on-1 Combined Cycle (H-Frame) 95% CCS,1,1,-1,0,0,-1,0,109656.69818635884,49350.0,3.6450000000000005,7.007,NG,143.3689655172414,33.58207681309256,0,3.0,2.0,0.306884871831378,0.3419506794722491,0.7743718883036288,0.25,0.5,0,0,ERCOT,0
NG Combustion Turbine (F-Frame),1,1,-1,0,0,-1,0,50580.567617380715,19575.0,5.205,9.717,DFO,34.148170731707346,24.81885366632592,0,2.0,2.0,0.3434467533575733,0.382860437420166,0.5970694427084262,0.25,0.5,0,0,ERCOT,0
PBR-HTGR,1,1,-1,0,0,-1,0,342675.0,7500.0,0.0,10.46,UM,80.0,500.0,0,20.0,20.0,3.0,3.0,0.4,0.25,0.5,0,0,ERCOT,0
RICE,1,1,-1,0,0,-1,0,67875.0,26370.0,4.2675,9.717,DFO,21.4,24.81885366632592,0,2.0,2.0,0.3434467533575733,0.382860437420166,0.5,0.25,0.5,0,0,ERCOT,0
iPWR_Pack,1,1,-1,0,0,-1,0,415126.5,8625.0,1.2000000000000002,10.46,UM,462.0,83.33333333333333,0,20.0,20.0,0.4,0.4,0.0333333333333333,0.25,0.5,0,0,ERCOT,0
