Time_Index,CombinedCycle_NaturalGas_NY_Existing,CombinedCycle_NaturalGas_NY_New,CombustionTurbine_NaturalGas_NY_Existing,CombustionTurbine_NaturalGas_NY_New,CombustionTurbine_FuelOil2_NY_Existing,CombustionTurbine_FuelOil2_NY_New,SteamTurbine_NaturalGas_NY_Existing,SteamTurbine_NaturalGas_NY_New,SteamTurbine_FuelOil6_NY_Existing,SteamTurbine_FuelOil6_NY_New,Nuclear_NY_Existing,Nuclear_NY_New,Hydro_NY,PumpedHydro_NY,WindLand_NY_Existing,WindLand_NY_New,WindOffshore_NY_New,SolarUtility_NY_Existing,SolarUtility_NY_New,SolarBTM_NY_New,Battery_NY_Existing,Battery_NY_New
1,0.941149243792405,0.941149243792405,0.9485108219674612,0.9485108219674612,0.9731142857142856,0.9731142857142856,0.6843813282956935,0.6843813282956935,0.9014748281215348,0.9014748281215348,0.04205656886069255,0.04205656886069255,0.856107981701802,0.856107981701802,0.7202104206722728,0.7202104206722728,0.7202104206722728,0.0,0.0,0.0,1.0,1.0
2,0.941149243792405,0.941149243792405,0.9485108219674612,0.9485108219674612,0.9731142857142856,0.9731142857142856,0.6843813282956935,0.6843813282956935,0.9014748281215348,0.9014748281215348,0.04205656886069255,0.04205656886069255,0.856107981701802,0.856107981701802,0.7147088342702514,0.7147088342702514,0.7147088342702514,0.0,0.0,0.0,1.0,1.0
3,0.941149243792405,0.941149243792405,0.9485108219674612,0.9485108219674612,0.9731142857142856,0.9731142857142856,0.6843813282956935,0.6843813282956935,0.9014748281215348,0.9014748281215348,0.04205656886069255,0.04205656886069255,0.856107981701802,0.856107981701802,0.7119482600468424,0.7119482600468424,0.7119482600468424,0.0,0.0,0.0,1.0,1.0
4,0.941149243792405,0.941149243792405,0.9485108219674612,0.9485108219674612,0.9731142857142856,0.9731142857142856,0.6843813282956935,0.6843813282956935,0.9014748281215348,0.9014748281215348,0.04205656886069255,0.04205656886069255,0.856107981701802,0.856107981701802,0.7024751546488024,0.7024751546488024,0.7024751546488024,0.0,0.0,0.0,1.0,1.0
5,0.941149243792405,0.941149243792405,0.9485108219674612,0.9485108219674612,0.9731142857142856,0.9731142857142856,0.6843813282956935,0.6843813282956935,0.9014748281215348,0.9014748281215348,0.04205656886069255,0.04205656886069255,0.856107981701802,0.856107981701802,0.6488607599541543,0.6488607599541543,0.6488607599541543,0.0,0.0,0.0,1.0,1.0
6,0.941149243792405,0.941149243792405,0.9485108219674612,0.9485108219674612,0.9731142857142856,0.9731142857142856,0.6843813282956935,0.6843813282956935,0.9014748281215348,0.9014748281215348,0.04205656886069255,0.04205656886069255,0.856107981701802,0.856107981701802,0.68966540408389,0.68966540408389,0.68966540408389,0.0,0.0,0.0,1.0,1.0
7,0.941149243792405,0.941149243792405,0.9485108219674612,0.9485108219674612,0.9731142857142856,0.9731142857142856,0.6843813282956935,0.6843813282956935,0.9014748281215348,0.9014748281215348,0.04205656886069255,0.04205656886069255,0.856107981701802,0.856107981701802,0.7075975848432323,0.7075975848432323,0.7075975848432323,0.0,0.0,0.0,1.0,1.0
8,0.941149243792405,0.941149243792405,0.9485108219674612,0.9485108219674612,0.9731142857142856,0.9731142857142856,0.6843813282956935,0.6843813282956935,0.9014748281215348,0.9014748281215348,0.04205656886069255,0.04205656886069255,0.856107981701802,0.856107981701802,0.7199576150536754,0.7199576150536754,0.7199576150536754,0.0,0.0,0.0,1.0,1.0
9,0.941149243792405,0.941149243792405,0.9485108219674612,0.9485108219674612,0.9731142857142856,0.9731142857142856,0.6843813282956935,0.6843813282956935,0.9014748281215348,0.9014748281215348,0.04205656886069255,0.04205656886069255,0.856107981701802,0.856107981701802,0.7128689557399603,0.7128689557399603,0.7128689557399603,0.05805959062882681,0.05805959062882681,0.05805959062882681,1.0,1.0
10,0.941149243792405,0.941149243792405,0.9485108219674612,0.9485108219674612,0.9731142857142856,0.9731142857142856,0.6843813282956935,0.6843813282956935,0.9014748281215348,0.9014748281215348,0.04205656886069255,0.04205656886069255,0.856107981701802,0.856107981701802,0.6793277460064026,0.6793277460064026,0.6793277460064026,0.1668345638160422,0.1668345638160422,0.1668345638160422,1.0,1.0
