Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
,,,,,,,313,16748.6
,,,,,,,314,16394.3
,,,,,,,315,16196.1
,,,,,,,316,16156.9
,,,,,,,317,16427.1
,,,,,,,318,17411.4
,,,,,,,319,19197.2
,,,,,,,320,20513.6
,,,,,,,321,20836.1
,,,,,,,322,20954.5
,,,,,,,323,20819.2
,,,,,,,324,20556.1
,,,,,,,325,20177.8
,,,,,,,326,20024.7
,,,,,,,327,19968.7
,,,,,,,328,20242.600000000002
,,,,,,,329,20843.8
,,,,,,,330,22063.8
,,,,,,,331,22138.7
,,,,,,,332,21779.2
,,,,,,,333,21160.2
,,,,,,,334,20286.4
,,,,,,,335,19006.9
,,,,,,,336,17722.9
,,,,,,,337,16749.5
,,,,,,,338,16308.7
,,,,,,,339,16049.8
,,,,,,,340,15985.9
,,,,,,,341,16176.0
,,,,,,,342,17138.9
,,,,,,,343,18935.4
,,,,,,,344,20225.6
,,,,,,,345,20507.3
,,,,,,,346,20540.5
,,,,,,,347,20487.2
,,,,,,,348,20342.199999999997
,,,,,,,349,20161.9
,,,,,,,350,20112.7
,,,,,,,351,20080.0
,,,,,,,352,20238.8
,,,,,,,353,20791.600000000002
,,,,,,,354,21748.0
,,,,,,,355,21701.1
,,,,,,,356,21330.1
,,,,,,,357,20691.600000000002
,,,,,,,358,19751.7
,,,,,,,359,18459.4
,,,,,,,360,17213.3
,,,,,,,361,16290.7
,,,,,,,362,15828.9
,,,,,,,363,15559.3
,,,,,,,364,15482.400000000001
,,,,,,,365,15743.900000000001
,,,,,,,366,16634.3
,,,,,,,367,18357.1
,,,,,,,368,19660.8
,,,,,,,369,20042.2
,,,,,,,370,20286.5
,,,,,,,371,20353.0
,,,,,,,372,20147.7
,,,,,,,373,19938.9
,,,,,,,374,19872.3
,,,,,,,375,19826.3
,,,,,,,376,19948.2
,,,,,,,377,20525.6
,,,,,,,378,21514.1
,,,,,,,379,21535.0
,,,,,,,380,21150.1
,,,,,,,381,20541.2
,,,,,,,382,19652.7
,,,,,,,383,18441.4
,,,,,,,384,17243.9
,,,,,,,385,16455.9
,,,,,,,386,16061.2
,,,,,,,387,15878.3
,,,,,,,388,15878.0
,,,,,,,389,16197.3
,,,,,,,390,17190.2
,,,,,,,391,18971.1
,,,,,,,392,20270.1
,,,,,,,393,20525.899999999998
,,,,,,,394,20548.8
,,,,,,,395,20411.3
,,,,,,,396,20230.9
,,,,,,,397,20025.3
,,,,,,,398,20080.4
,,,,,,,399,20190.8
,,,,,,,400,20508.5
,,,,,,,401,21049.5
,,,,,,,402,21985.699999999997
,,,,,,,403,21945.2
,,,,,,,404,21559.2
,,,,,,,405,20939.0
,,,,,,,406,19985.4
,,,,,,,407,18708.7
,,,,,,,408,17441.8
,,,,,,,409,16503.8
,,,,,,,410,16003.5
,,,,,,,411,15706.5
,,,,,,,412,15591.7
,,,,,,,413,15846.9
,,,,,,,414,16743.3
,,,,,,,415,18357.399999999998
,,,,,,,416,19570.1
,,,,,,,417,20017.5
,,,,,,,418,20348.1
,,,,,,,419,20442.5
,,,,,,,420,20314.7
,,,,,,,421,20174.5
,,,,,,,422,20063.7
,,,,,,,423,19963.9
,,,,,,,424,20004.0
,,,,,,,425,20483.8
,,,,,,,426,21033.5
,,,,,,,427,20849.8
,,,,,,,428,20382.7
,,,,,,,429,19828.8
,,,,,,,430,19080.2
,,,,,,,431,18040.2
,,,,,,,432,17025.6
,,,,,,,433,16132.5
,,,,,,,434,15596.8
,,,,,,,435,15345.5
,,,,,,,436,15256.8
,,,,,,,437,15347.599999999999
,,,,,,,438,15717.5
,,,,,,,439,16384.9
,,,,,,,440,17175.1
,,,,,,,441,17977.1
,,,,,,,442,18581.2
,,,,,,,443,18948.2
,,,,,,,444,19068.9
,,,,,,,445,19182.6
,,,,,,,446,19222.8
,,,,,,,447,19291.6
,,,,,,,448,19473.2
,,,,,,,449,19943.8
,,,,,,,450,20669.6
,,,,,,,451,20636.2
,,,,,,,452,20260.3
,,,,,,,453,19824.7
,,,,,,,454,19180.399999999998
,,,,,,,455,18362.6
,,,,,,,456,17444.399999999998
,,,,,,,457,16674.9
,,,,,,,458,16115.0
,,,,,,,459,15730.7
,,,,,,,460,15538.9
,,,,,,,461,15518.0
,,,,,,,462,15724.699999999999
,,,,,,,463,16143.4
,,,,,,,464,16660.5
,,,,,,,465,17361.1
,,,,,,,466,18250.3
,,,,,,,467,18966.0
,,,,,,,468,19452.2
,,,,,,,469,19568.0
,,,,,,,470,19583.5
