generators,Capacity_MW,Capacity_MWh,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,OperatingRegulationRevenue,OperatingReserveRevenue,Operating_Revenue,Operating_Cost,operating_profit_per_gen,total_inv_costs,diff
NG 2-on-1 Combined Cycle (F-Frame),33884.75984183081,0.0,3.8101372006502647e9,0.0,1.7535363218147447e9,0.0,4.6635752123533463e8,4.813531721116979e9,0.0,1.5608395083341926e8,0.0,1.0317997056504482e10,1.8507040273749216e6,5.516837770721176e6,1.0325364598302578e10,7.189509515000477e9,3.135855083302101e9,3.8101372006502647e9,-6.742821173481636e8
NG Combustion Turbine (F-Frame),10101.832261644524,0.0,1.0219128195390977e9,0.0,3.954867330433831e8,0.0,2.25038384240733e7,1.2603446568687032e8,0.0,2.1423338824355464e7,0.0,1.4101000796570325e9,529952.7226916755,6.576648764477948e6,1.4172066811442022e9,5.654483759786822e8,8.517583051655202e8,1.0219128195390977e9,-1.7015451437357748e8
Land-Based Wind - Class 1 - Technology 1,54187.70836738427,0.0,4.513257879130778e9,0.0,1.758014383860466e9,0.0,1.7831104658813488e7,0.0,0.0,0.0,0.0,5.6365067802918625e9,0.0,0.0,5.6365067802918625e9,1.7758454885192795e9,3.860661291772583e9,4.513257879130778e9,-6.525965873581953e8
Utility PV - Class 1,22186.502367391688,0.0,1.644777805425753e9,0.0,5.2727561734703463e8,0.0,5.506660712224653e6,0.0,0.0,0.0,0.0,2.214963142957827e9,0.0,0.0,2.214963142957827e9,5.327822780592593e8,1.682180864898568e9,1.644777805425753e9,3.74030594728148e7
Utility-Scale Battery Storage - 10Hr,10061.408181614566,100614.08181614567,5.699862167622321e8,0.0,2.6865793458073014e8,0.0,0.0,0.0,0.0,0.0,3.6006295768940365e8,1.2495003487147052e9,2.068855446366157e7,2.7828070519058675e7,1.2980169736974256e9,6.287208922701337e8,6.692960814272919e8,5.699862167622321e8,9.93098646650598e7
